TNS_ID,ZTF_ID,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023usg,ZTF18adjcbyz,,,,18.5975,,2023-10-07T03:18:51.001914,1,1,,,SN,1.6,18.5975,,17.3208,17.0409,0.28,0.185839,60224.1,60224.1,235.7669879,51.21315
2023usl,ZTF23abjfrbi,SN Ia,0.17,0.92,19.9496,19.0338,2023-12-10T04:33:21.000961,12,3,,fading,SN,3.01,17.8457,17.9588,19.4764,18.7856,0.69,0.082625,60258.3,60288.2,6.210204835714287,-13.321200499999998
2023usn,ZTF23abdivkl,,0.29,0.34,19.4669,19.1266,2023-12-13T10:03:28.995834,6,4,,,AGN,0.23,19.3288,19.1074,20.3511,20.1275,0.22,0.978333,60262.4,60291.4,139.19592274285714,20.370583528571427
2023utc,ZTF23abjjrwv,SN Ibn,-0.16,-0.04,19.9849,20.0246,2023-11-14T11:49:16.000312,19,9,,fading,SN,1.65,17.4048,17.5183,21.5799,21.262,0.32,0.0025,60234.4,60262.5,137.99651994736843,53.71739721578947
2023utd,ZTF23abjdfzb,,0.27,0.09,20.585,20.4903,2023-10-17T07:21:37.998741,1,1,,fading,SN,1.74,20.585,20.1967,20.9954,19.9422,1.05,,60224.3,60234.3,29.523328375,11.1439670375
2023utf,ZTF23abiqkeu,,0.17,0.19,20.3294,20.1417,2023-10-25T10:04:54.998390,4,3,rising/peak,,SN,1.77,20.1324,20.1417,21.2507,21.0417,0.21,0.00583333,60224.3,60242.4,24.36441653,12.34564142
2023utk,ZTF23abjieca,SN Ia,0.12,0.44,20.3414,19.8995,2023-11-14T11:16:45.001922,16,6,,fading,SN,1.32,18.8412,18.9123,20.8979,-999.0,1019.9,0.5,60232.5,60262.5,119.51289263157896,27.00183548947368
2023utp,ZTF23abjhsib,,0.38,0.51,20.423,19.9099,2023-11-11T08:04:18.998405,13,3,,fading,SN,1.94,19.6398,19.2052,19.9914,19.084,0.91,0.00908333,60231.4,60259.3,61.40961119375,-10.38630341875
2023utr,ZTF23abigzui,,0.3,0.55,20.2838,19.7367,2023-10-22T10:56:19.996780,17,15,,fading,SN,0.89,19.7718,19.4517,19.2814,18.4159,0.87,0.00125,60223.4,60239.5,38.17112544705883,-13.414394947058824
2023utv,ZTF23abhzznc,,0.15,0.43,20.055,19.6265,2023-10-21T05:07:07.996803,31,25,,fading,SN,1.0,19.5739,19.4473,19.6377,18.6928,0.94,0.02775,60220.2,60238.2,325.85136782424246,32.99193585454545
