TNS_ID,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2018mlb,ZTF18aapukti,,0.19,0.05,19.6918,19.6402,2023-10-25T02:56:40.001289,10.0,9.0,,fading,NT,0.88,19.4347,19.3623,19.7402,19.1693,0.57,,60224.2,60242.1,265.0474394333333,55.42911539166667
2018mlc,ZTF18acnbobv,,0.54,0.57,19.4809,18.9131,2023-10-24T12:12:57.997428,5.0,5.0,,,SN,0.92,19.3838,18.9131,18.3024,17.8364,0.47,0.0158333,60232.4,60241.5,132.93705955,48.49369868333333
2018mld,ZTF18acvvylr,,-0.07,-0.07,18.8914,18.9569,2023-12-12T11:06:39.000946,2.0,2.0,rising/peak,,AGN,0.41,18.8914,18.9569,17.2707,16.9428,0.33,0.0748631,60288.5,60290.5,163.58689385000002,-9.36555925
2018mle,ZTF18acetljn,,0.05,-0.01,18.4269,18.4383,2023-12-10T02:35:19.000305,5.0,2.0,,fading,AGN,0.46,18.336,18.2372,16.5699,16.2793,0.29,0.234595,60258.2,60288.1,342.01806945000004,-17.475217366666666
2019aatv,ZTF19aasufxv,,0.18,0.28,19.9653,19.6893,2023-11-06T12:29:43.995834,16.0,9.0,,fading,NT,0.79,19.3695,19.4305,18.7219,18.0517,0.67,0.00125,60234.5,60254.5,125.67451532777778,29.634636466666663
2020afgj,ZTF20aawkhmv,,-0.11,-0.11,20.1589,20.2686,2023-12-13T10:23:20.002571,2.0,2.0,rising/peak,,AGN,0.33,20.1589,20.2686,18.8885,18.7111,0.18,0.309583,60291.4,60291.4,156.32465000000002,56.17823885
2020afgk,ZTF20acajgkd,,-0.02,0.01,19.6174,19.6046,2023-11-14T05:22:21.002876,3.0,1.0,,fading,AGN,0.55,19.31,19.6046,17.9174,17.9069,0.01,0.498542,60233.2,60262.2,5.499685525,-19.083287925
2020afgl,ZTF20aaswsoo,,-0.14,0.11,19.6586,19.5479,2023-11-07T02:49:29.003501,5.0,5.0,,fading,NT,0.57,19.2597,19.5479,18.7327,17.7213,1.01,0.0192917,60250.1,60255.1,255.83242854,61.59429296
2023wvy,ZTF23abjrlqd,,1.09,1.08,20.8043,19.7207,2023-10-20T07:50:06.999366,1.0,1.0,,fading,SN,1.95,20.6345,19.4788,19.7424,19.5069,0.24,0.04625,60228.4,60237.3,49.01143472,44.88416782
2023wwb,ZTF23abipwsa,,0.75,0.7,20.2073,19.5121,2023-10-22T13:02:15.002876,20.0,18.0,,fading,NT,1.3,20.2073,19.3088,20.051,19.3413,0.71,,60224.5,60239.5,149.98207346956522,3.099368634782609
2023wwd,ZTF23abjbgkz,,-0.03,0.11,20.0515,19.9383,2023-11-13T03:43:52.003181,14.0,7.0,,fading,NT,0.35,19.3582,19.4214,20.0086,19.0094,1.0,,60232.2,60261.2,358.88003650588234,13.989617888235294
2023wwe,ZTF23abipbsa,,,,19.6714,,2023-10-20T11:08:27.000961,4.0,4.0,,fading,SN,1.46,19.4512,,19.0293,18.4813,0.55,0.0116667,60224.5,60237.5,147.58122146,38.73011308
2023wwf,ZTF23abimemi,,0.34,0.41,20.2404,19.8266,2023-10-21T08:38:21.001937,10.0,9.0,,fading,SN,2.11,19.686,19.468,19.0282,18.1982,0.83,0.00125,60224.3,60238.4,33.52916074,26.99899813
2023wwi,ZTF23aayvygr,,0.02,-0.15,19.9684,20.1196,2023-11-04T03:39:26.997138,16.0,6.0,,fading,SN,0.4,19.4068,19.4773,19.2774,18.7401,0.54,0.00475,60224.4,60252.2,335.1262815176471,28.37216618823529
2023wwj,ZTF23aawmbha,,0.27,0.1,19.9383,19.8432,2023-10-18T03:09:35.000625,7.0,4.0,,,SN,2.25,19.9383,19.6941,18.8636,18.6873,0.18,0.033125,60206.1,60235.1,262.959463575,22.027777925
2023wwk,ZTF23abjhdsv,,,,19.7036,,2023-10-18T08:02:21.001907,3.0,3.0,,fading,NT,1.21,19.3847,,18.5025,17.5861,0.92,0.143857,60228.4,60235.3,14.345060875,-26.281098375
2023wwl,ZTF23abjspao,,0.11,0.12,19.8281,19.7093,2023-10-18T11:55:01.004158,3.0,3.0,,fading,SN,2.83,19.5372,19.4441,19.1316,18.8256,0.31,0.0849583,60230.5,60235.5,136.311244075,18.1143632
2023wwm,ZTF23abjpfjq,,,,19.5917,,2023-10-21T06:20:58.001266,2.0,2.0,,,SN,3.01,19.5363,,18.5516,17.6608,0.89,0.00458333,60230.4,60238.3,28.18820296,-6.30475276
2023wwn,ZTF23abjrqec,,0.26,0.31,20.066,19.76,2023-10-25T11:40:24.000946,12.0,12.0,,fading,SN,2.9,19.8162,19.6293,18.8254,18.145,0.68,0.0229167,60230.5,60242.5,137.51787670714285,31.63937505
2023wwo,ZTF23abjrrbo,,-0.05,0.04,19.4071,19.3647,2023-10-20T10:54:49.000335,4.0,4.0,,,SN,4.24,19.249,19.3644,18.5626,17.9549,0.61,0.0353333,60230.5,60237.5,125.22474435,-10.702898483333334
2023wwp,ZTF23abkioyi,,,,,19.5698,2023-10-16T12:25:37.004173,3.0,3.0,,,SN,3.51,,19.5698,19.3989,18.6565,0.74,,60224.5,60233.5,162.4608263,15.531836900000002
2023wwq,ZTF23abiprmt,,0.02,0.17,20.2118,20.0408,2023-11-15T10:03:37.998725,6.0,2.0,,fading,SN,0.47,19.4871,19.6327,19.5481,18.9564,0.59,,60234.4,60263.4,116.92235943076923,-0.8797858153846152
2023wxa,ZTF23aabisjx,,,,,19.8923,2023-01-27T07:06:15.998390,,,,,NT,1.15,,19.8923,19.4994,18.7931,0.71,0.0144583,59971.3,59971.3,125.6292784,33.7381451
2023wxa,ZTF23abkgonn,,0.17,0.22,19.7632,19.541,2023-10-28T12:18:05.996162,7.0,7.0,,,NT,1.26,19.5861,19.4871,19.4994,18.7931,0.71,0.0144583,60232.4,60245.5,125.62990855714284,33.73811241428572
2023wxb,ZTF23abidxvs,,0.51,0.41,20.9396,20.5288,2023-10-25T10:57:09.002868,3.0,3.0,,fading,SN,20.45,19.5381,19.4638,-999.0,21.5122,-1020.51,0.529119,60222.5,60242.5,144.05199973846155,48.74825265384615
2023wxc,ZTF23abjsmhp,,0.66,0.73,20.749,20.0215,2023-11-10T10:12:01.995826,7.0,1.0,,fading,SN,4.2,20.1448,19.4744,20.729,19.4433,1.29,0.0745714,60230.5,60258.4,70.14420500000001,16.863187821739132
2023wxd,ZTF20aciboqy,,0.59,0.69,19.9092,19.222,2023-10-25T11:03:55.998733,7.0,7.0,,fading,SN,0.84,19.6197,19.222,17.837,17.4286,0.41,0.147845,60230.4,60242.5,65.54988327142857,-16.86443077142857
2023wxe,ZTF23abkgvdu,,-0.17,-0.05,19.9593,20.0045,2023-10-27T12:12:30.997451,6.0,6.0,,fading,SN,1.45,19.6883,20.0045,19.7837,19.0365,0.75,,60232.5,60244.5,120.69878128571428,30.93611581428572
2023wxg,ZTF23abjrdgi,,0.07,0.15,19.6518,19.5045,2023-11-04T09:54:01.002258,,,,fading,SN,2.26,19.3018,19.394,-999.0,21.4255,-1020.43,0.5,60232.4,60252.4,126.14172200000002,60.80775634545455
2023wxh,ZTF23abkgomj,,,,,20.8768,2023-12-14T09:21:40.000312,1.0,1.0,,,SN,1.0,,20.8768,20.8973,20.4543,0.44,0.0025,60292.4,60292.4,135.2911146,51.6388387
2023wxi,ZTF23abkpmsk,,0.18,0.24,19.7094,19.4741,2023-11-10T10:48:28.002235,24.0,14.0,,fading,SN,1.3,19.0444,18.9587,18.3849,17.5733,0.81,0.01625,60233.5,60258.5,136.15777180384617,79.58857659230769
2023wxk,ZTF23abipain,,-0.07,-0.08,19.7478,19.83,2023-10-22T10:36:54.996459,7.0,7.0,rising/peak,,SN,1.66,19.6609,19.7704,20.9622,20.2587,0.7,,60225.4,60239.4,53.45818657692308,-14.720922938461538
2023wxm,ZTF23abhzjka,,0.23,0.18,19.7719,19.5948,2023-10-24T12:08:12.998413,6.0,6.0,,fading,SN,20.4,19.2499,19.0928,21.0441,20.5708,0.47,0.00125,60222.5,60241.5,132.30868719999998,19.66191133
2023wxw,ZTF23abllsfp,,0.54,0.58,20.3299,19.7541,2023-12-16T08:22:06.003845,9.0,9.0,,fading,VS,0.27,19.9553,19.7541,17.6914,17.107,0.58,0.0579167,60292.3,60294.3,96.050018425,50.05079095833332
2023wxz,ZTF23abipwzp,,,,,19.4952,2023-10-18T12:29:17.998069,2.0,2.0,,fading,SN,2.25,,18.8663,21.9073,21.8753,0.03,0.5,60224.5,60235.5,160.6419241142857,8.661333985714284
2023wyf,ZTF23abjywac,,0.24,0.31,20.1196,19.8128,2023-10-22T11:51:14.999023,4.0,4.0,,fading,SN,0.24,19.7423,19.6162,20.3926,20.045,0.35,0.005,60231.5,60239.5,148.14669034,59.24363082
2023wyg,ZTF23abkhcpw,,0.05,-0.15,19.7881,19.9404,2023-11-02T10:20:38.996162,9.0,6.0,,fading,NT,0.23,19.6848,19.5574,20.2486,20.0247,0.22,0.00125,60230.4,60250.4,144.96790110909092,55.49144510909091
2023wyi,ZTF23ablauns,,0.71,0.52,20.0175,19.4974,2023-10-31T11:49:45.998382,10.0,8.0,rising/peak,,NT,0.63,20.0175,19.4005,19.3953,18.6757,0.72,0.0197083,60232.4,60248.5,123.77901278000002,30.49211503
2023wyk,ZTF23abkmkrl,,0.27,0.27,19.9451,19.6742,2023-10-22T10:41:04.001266,8.0,8.0,rising/peak,,SN,0.87,19.9315,19.6742,19.7894,19.3012,0.49,0.00291667,60228.4,60239.4,45.89980511,6.29738866
2023wyl,ZTF19abpxevi,,,,19.7354,,2023-10-20T06:01:04.998718,3.0,2.0,,,NT,0.5,19.7354,,18.6207,18.2218,0.4,,60207.4,60237.3,6.628839133333333,-24.48634506666666
2023wyo,ZTF23abmgkeh,,0.23,0.53,20.4269,19.9013,2023-11-12T10:30:39.000953,12.0,8.0,,fading,SN,4.33,19.7933,19.4436,19.6056,18.9465,0.66,0.0220417,60232.5,60260.4,149.73900484499998,37.04098938499999
2023wyp,ZTF23ablafxe,,0.16,0.51,20.5332,20.0188,2023-11-14T11:27:07.004142,10.0,4.0,,fading,SN,3.16,19.5045,19.3319,19.178,18.6122,0.57,0.057256,60234.4,60262.5,126.74948782105264,56.11080197368421
2023wys,ZTF23ablvwzz,,,,,19.8325,2023-10-22T12:37:10.001258,1.0,1.0,,,SN,3.95,,19.7147,20.4834,20.0753,0.41,0.0045,60230.5,60239.5,160.06696485000003,-4.132686475
2023wyt,ZTF23ablvsnu,,,,,19.4797,2023-10-21T12:37:43.999671,3.0,3.0,,,NT,1.45,,19.4797,18.7455,17.9259,0.82,0.0152917,60236.5,60238.5,153.59736030000002,0.0085464333333333
2023wzc,ZTF23ablnpxp,,,,,19.2264,2023-10-22T02:57:27.996482,2.0,2.0,,,SN,0.24,,19.2264,19.7933,18.7634,1.03,0.0311667,60236.1,60239.1,288.3505197,-8.24048915
2023wzd,ZTF23abkgqto,,0.07,0.15,20.1045,19.9512,2023-10-24T11:15:55.995834,3.0,3.0,,fading,SN,2.23,19.8501,19.7882,20.8883,20.5864,0.3,,60228.4,60241.5,122.13611669,24.76134197
2023wzh,ZTF23abmapuh,,0.27,0.53,19.8781,19.3496,2023-10-28T03:35:57.001937,1.0,1.0,,,SN,3.69,19.6962,19.3496,-999.0,20.2626,-1019.26,0.845,60231.2,60245.1,297.0015351875,-10.3186126625
2023wzm,ZTF23abizlxe,,0.1,0.05,19.7026,19.6503,2023-10-25T03:38:25.998718,4.0,4.0,,,SN,2.89,19.6655,19.473,20.5294,20.0526,0.48,0.63908,60227.2,60242.2,280.06097427,19.50960695
2023wzp,ZTF23abhzccn,,0.47,0.44,20.8291,20.3841,2023-12-14T09:58:31.995834,4.0,3.0,,,SN,0.11,20.8291,20.1996,20.3404,19.8522,0.49,0.00645833,60262.4,60292.4,131.6688719,60.98157598
2023wzr,ZTF18abfaulo,,0.19,-0.24,19.663,19.8999,2023-11-05T03:12:22.996818,20.0,4.0,,fading,SN,0.2,19.3757,19.1021,18.6915,18.0382,0.65,0.00333333,60224.1,60253.1,266.09869550909093,42.21124572727273
2023wzw,ZTF23abmsevn,,,,,19.3329,2023-11-04T12:57:31.999664,16.0,13.0,,,SN,1.99,,19.144,19.5509,19.0375,0.51,,60238.5,60252.5,174.45712479230772,7.3575269115384625
2023wzy,ZTF23abllgca,,-0.07,-0.04,20.0235,20.0641,2023-11-12T09:28:16.999687,9.0,4.0,,fading,AGN,2.68,19.2548,19.4155,-999.0,-999.0,0.0,0.5,60232.5,60260.4,124.01232650833332,19.61185893333333
2023xac,ZTF23ablpbwc,,0.19,0.61,20.6913,20.0833,2023-11-06T05:35:06.999366,6.0,5.0,,fading,SN,0.84,19.6571,19.7983,20.661,20.2697,0.39,0.00125,60234.2,60254.2,9.055919528571428,18.395579685714285
2023xad,ZTF23abnkcfh,,,,,19.5495,2023-11-07T12:41:14.997116,1.0,1.0,,,SN,1.15,,19.3527,21.9851,21.8435,0.14,0.0015,60241.5,60255.5,169.758698864,0.4231878839999999
2023xaf,ZTF23abmrvup,,0.2,0.58,20.089,19.5068,2023-11-09T12:29:41.999992,3.0,2.0,,fading,SN,2.57,19.7016,19.5068,-999.0,-999.0,0.0,0.5,60238.5,60257.5,142.6741939714286,2.5030360714285718
2023xai,ZTF23abkipez,,-0.41,0.54,19.8758,19.3315,2023-11-13T11:26:27.000938,3.0,1.0,,fading,SN,1.83,18.9744,18.9708,21.2832,20.4395,0.84,,60232.5,60261.5,151.14737355714286,-1.796982392857143
2023xaj,ZTF23abluzcz,,0.13,0.46,20.0493,19.5896,2023-11-13T12:05:34.998703,11.0,7.0,,fading,SN,0.66,19.307,19.2463,18.3346,18.0189,0.32,0.00375,60236.5,60261.5,137.89389990714287,-12.23628662142857
2023xal,ZTF23abnhxme,,0.16,0.4,19.8713,19.469,2023-11-14T11:27:07.004142,14.0,10.0,,fading,SN,1.52,19.4864,19.3434,19.4787,18.9637,0.52,0.069006,60241.4,60262.5,124.3386495875,55.39389365
2023xap,ZTF23ablupxd,,0.32,0.31,20.307,19.9989,2023-11-13T11:03:20.998077,9.0,5.0,,fading,SN,3.0,19.6497,19.4362,-999.0,21.8943,-1020.89,0.004375,60235.4,60261.5,83.59901247777778,5.022760611111112
2023xaq,ZTF23abnoqbo,,,,,19.7083,2023-11-03T12:00:24.001922,4.0,4.0,,,AGN,0.38,,19.7083,19.9421,19.1965,0.75,,60242.5,60251.5,173.938664275,21.139354475
