TNS_ID,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2022aeqx,ZTF20acnvscb,,-0.04,0.06,18.9612,18.9033,2023-12-09T11:29:25.002227,2,1,rising/peak,,NT,0.44,18.9612,18.9033,17.5252,16.5602,0.97,0.212506,60258.5,60287.5,175.26506086666666,1.7255876666666667
2023xli,ZTF23abppbgx,,-0.04,-0.09,19.7141,19.808,2023-11-15T02:44:08.001579,2,2,rising/peak,,NT,0.81,19.7141,19.808,21.5453,21.2308,0.31,0.00729167,60257.2,60263.1,324.58428295,-0.41538015
2023xlj,ZTF23abpdvtb,,0.25,0.51,20.1746,19.6667,2023-12-06T03:04:25.999687,5,1,,fading,SN,5.37,19.3306,19.2314,20.7177,20.3433,0.37,,60254.2,60284.1,348.9882216,-2.169409633333333
2023xlk,ZTF23abopqsx,,-0.09,-0.19,19.6375,19.8262,2023-11-15T02:55:38.000656,6,6,rising/peak,,SN,2.53,19.6375,19.7448,19.7486,19.4143,0.33,0.0117917,60250.1,60263.1,261.8889087857143,68.71294808571429
2023xlo,ZTF23abpecgv,,0.0,0.1,19.6337,19.5312,2023-12-12T05:09:30.997436,7,4,,fading,SN,2.18,19.2228,19.2744,20.5705,20.9233,-0.35,0.5,60261.2,60290.2,9.5455401125,18.485654525
2023xlt,ZTF19adlxpcc,,0.49,0.7,19.8879,19.1894,2023-11-11T05:33:44.003517,7,7,,fading,AGN,0.65,19.6833,19.1894,19.0058,18.0978,0.91,0.0464583,60250.2,60259.2,358.6777403285715,6.681471571428572
2023xlu,ZTF23abqbjjb,SN II,0.2,-0.13,18.1356,18.2632,2023-12-27T02:44:31.001296,7,1,,fading,SN,4.79,17.9102,17.6075,18.3673,17.4271,0.94,0.152399,60284.1,60305.1,11.941327571428571,12.265506714285715
2023xlv,ZTF23aboqkwu,,0.11,-0.06,19.7621,19.8247,2023-11-13T07:11:11.002540,5,5,rising/peak,,SN,1.48,19.729,19.8247,19.9307,19.4774,0.45,0.00145833,60252.2,60261.3,13.497158133333334,19.143963116666665
2023xmf,ZTF23abptike,,0.8,0.86,20.152,19.2872,2023-12-17T12:09:06.998397,4,4,,fading,VS,0.64,19.8528,19.1149,18.5243,18.0272,0.5,0.0221667,60288.4,60295.5,126.6944082,-8.662358275
2023xmh,ZTF23abpzpil,,,,,19.5185,2023-12-09T09:43:53.999031,2,1,,,NT,0.56,,19.4298,20.5619,20.2894,0.27,0.0175833,60259.5,60287.4,180.5385029,51.1665267
2023xmi,ZTF23abpizxn,SN Ia,1.07,1.05,21.4227,20.3686,2023-12-15T10:37:13.002235,1,1,,,SN,1.55,21.4227,20.3222,20.9971,20.7119,0.29,,60288.4,60293.4,113.2900267,27.252870375
2023xmo,ZTF23abogncq,,-0.17,0.0,19.7909,19.7902,2023-12-13T02:36:19.998733,5,4,,fading,SN,1.15,19.5781,19.7902,21.4472,21.8914,-0.44,0.0265,60261.3,60291.1,9.540650233333336,23.484866683333337
2023xmr,ZTF23abqgktn,,,,,19.5265,2023-11-11T13:04:41.001602,5,5,,fading,NT,0.94,,19.216,18.7923,17.9676,0.82,0.127893,60257.5,60259.5,178.75874566666664,1.109341666666667
2023xms,ZTF18aaaqgep,SN Ia,-0.01,-0.08,17.9982,18.0735,2023-11-12T11:36:41.996154,8,8,rising/peak,,NT,0.87,17.9969,18.0735,17.9833,17.4606,0.52,0.0609583,60257.5,60260.5,155.33763648,22.50760499
2023xms,ZTF23abptnaj,SN Ia,0.63,1.17,19.6377,18.4709,2023-12-13T12:08:34.002243,8,4,,fading,NT,1.21,17.7875,17.9196,17.9833,17.4606,0.52,0.0609583,60262.4,60291.5,155.33764906363638,22.507607627272726
2023xnl,ZTF23abqfuwf,SN Ia,1.16,0.93,18.3429,17.4133,2023-12-17T12:05:02.002548,5,5,,fading,SN,1.26,18.1672,16.9369,16.6463,15.7861,0.86,0.150982,60287.4,60295.5,141.62373325,-14.528783583333334
2023xnq,ZTF23abqfaho,,0.04,0.03,20.1377,20.1107,2023-11-11T10:59:05.003532,3,3,rising/peak,,SN,1.04,20.0206,20.1107,19.5459,18.5791,0.97,0.320455,60253.4,60259.5,119.575809025,36.560917725
2023xnr,ZTF23abqdxmt,,0.07,0.02,20.0972,20.08,2023-11-15T08:50:28.999679,2,2,rising/peak,,SN,0.55,20.0972,20.08,21.3783,21.2498,0.13,0.0261012,60259.2,60263.4,43.036086525,78.60676176250001
2023xnt,ZTF20ablxoqq,,0.21,0.61,20.5273,19.922,2020-07-27T10:30:36.996459,7,7,,fading,SN,0.14,19.9147,19.922,18.7149,17.9374,0.78,0.00375,59045.4,59057.4,352.21265759999994,11.088375985714285
2023xnt,ZTF23abqbnkl,,0.35,0.05,19.4514,19.3987,2023-11-20T03:54:44.003509,4,4,rising/peak,,SN,2.45,19.4514,19.3987,18.7149,17.9374,0.78,0.00375,60259.2,60268.2,352.21238529999994,11.087796825
2023xnu,ZTF23abqbfwi,,,,20.4904,,2023-11-11T04:03:41.999023,1,1,,,SN,2.61,20.4904,,20.329,20.2646,0.06,0.5,60254.2,60259.2,339.75114565,5.0554366
2023xnv,ZTF23abpzvxa,,,,20.4819,,2023-11-10T12:40:30.000015,1,1,,,SN,0.32,20.4819,,21.6452,21.1423,0.5,0.01125,60254.5,60258.5,150.78958655,48.31206765
2023xnx,ZTF23abpigrj,,0.14,-0.16,18.769,18.9291,2023-11-14T11:04:07.999671,6,6,,,SN,0.28,18.769,18.8323,18.4687,17.6166,0.85,0.00666667,60254.4,60262.5,82.72322943333334,-26.82145095
2023xny,ZTF23abpdaom,,0.16,-0.15,19.9758,20.126,2023-11-11T04:03:41.999023,2,2,rising/peak,,SN,0.81,19.9758,20.126,20.2058,19.4469,0.76,0.0015,60254.1,60259.2,336.61993010000003,5.2275881250000005
