TNS_ID,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2018mli,ZTF18aabuoxd,,-0.4,-0.32,18.2485,18.5724,2023-12-13T12:19:26.002563,2,2,rising/peak,,NT,0.15,18.2485,18.5724,19.1499,18.5323,0.62,0.0141667,60287.4,60291.5,166.970222675,44.362469975
2023zmd,ZTF23absjgwn,,,,18.0783,,2023-12-13T11:57:15.001899,1,1,,,SN,2.15,18.0783,,21.4779,21.333,0.14,0.5,60287.5,60291.5,209.4452395,21.004594
2023zmi,ZTF23abseukr,,0.18,0.21,19.7643,19.5589,2023-12-13T04:28:34.999694,4,4,rising/peak,,SN,0.11,19.7643,19.5589,21.5634,21.1048,0.46,0.00333333,60287.2,60291.2,28.77045782,16.7952237
2023zmo,ZTF23absaajb,,0.23,0.6,20.4784,19.8827,2023-12-17T04:06:37.995857,4,4,,fading,SN,1.45,19.9202,19.8827,20.7181,19.8523,0.87,0.00875,60287.1,60295.2,12.114969811111113,23.941276
2023zmp,ZTF23abrzsqg,,-0.16,-0.31,20.1264,20.4389,2023-12-13T04:32:24.996475,4,4,,fading,SN,0.44,19.9447,19.9485,-999.0,-999.0,0.0,0.989167,60287.1,60291.2,14.575838200000002,16.37339472
2023zmq,ZTF23abrvwaq,,0.23,0.1,20.0024,19.8992,2023-12-13T03:14:38.999053,3,3,,fading,SN,3.45,19.9866,19.5205,18.888,18.453,0.44,0.020625,60287.2,60291.1,24.987197580000004,32.49970612
2023zmr,ZTF23absjgzq,,,,19.2233,,2023-12-09T12:26:15.996482,1,1,,,SN,1.56,19.2233,,21.315,21.0817,0.23,0.5,60287.5,60287.5,205.394665,31.6918002
2023zms,ZTF23absjgsh,SN Ib,0.23,0.3,17.3461,17.049,2023-12-12T12:51:45.000015,2,2,,,SN,3.99,17.2196,17.049,19.6613,18.5537,1.11,0.5,60287.5,60290.5,197.72317740000005,8.7033061
2023zmt,ZTF23abshhcr,,0.04,0.01,19.8125,19.7996,2023-12-18T11:13:26.999053,10,10,,fading,SN,0.35,19.6086,19.3192,21.5967,20.8294,0.77,,60287.3,60296.5,131.08286702941174,37.76679455882353
2023zmw,ZTF23absdntv,,0.09,0.15,19.297,19.146,2023-12-18T11:46:09.998390,4,4,,,AGN,2.23,19.1015,19.0847,18.436,18.0144,0.42,0.058,60287.4,60296.5,153.3912457,31.024771416666667
2023zmx,ZTF23absdhyl,SN Ia,0.17,0.05,19.2922,19.2408,2023-12-18T10:12:24.001907,3,3,rising/peak,,SN,2.62,19.2922,19.2408,21.7388,21.4951,0.24,0.00729167,60287.4,60296.4,137.32271328333334,17.733024783333335
2023zmz,ZTF23absbyjn,,0.53,0.48,20.5908,20.1115,2023-12-18T10:41:50.000656,4,4,,fading,SN,11.26,20.0258,19.5745,21.5078,20.9405,0.57,0.0331667,60287.3,60296.4,112.66863548125,40.93190423125
2023zna,ZTF23aamhlnl,,,,19.6254,,2023-12-09T11:15:53.999992,1,1,,,NT,0.51,19.6254,,19.0996,18.3934,0.71,0.0543869,60287.5,60287.5,179.1750288,33.821458
2023znb,ZTF18adgnrge,,,,19.9761,,2023-12-09T10:09:43.004150,1,1,,,SN,1.03,19.9761,,20.5437,20.2634,0.28,0.00166667,60287.4,60287.4,142.4637924,10.9439165
2023znb,ZTF23abswqwk,,0.04,-0.04,19.8659,19.9021,2023-12-18T11:56:41.997131,5,5,,fading,SN,0.35,19.652,19.6276,20.5437,20.2634,0.28,0.00166667,60287.4,60296.5,142.46392641666668,10.943898566666666
2023znd,ZTF23absrvdt,,0.36,-0.07,18.9954,19.0637,2023-12-13T04:04:03.002891,3,3,rising/peak,,SN,5.24,18.9954,19.0637,20.0374,19.7582,0.28,0.0707917,60287.1,60291.2,2.386113725,14.288636225
2023zne,ZTF23abdlqgo,,,,,19.4299,2023-12-12T13:20:01.999664,5,5,,,SN,1.51,,19.4118,20.4978,20.5211,-0.02,0.00866667,60287.5,60290.6,221.76414291666663,11.210280358333334
2023znf,ZTF23abqmlri,,-0.18,-0.18,19.5564,19.7318,2023-12-10T11:36:57.997436,1,1,rising/peak,,SN,1.53,19.5564,19.7318,18.8461,18.5373,0.31,0.041,60260.5,60288.5,158.0839637,-10.85542815
2023znh,ZTF23abseqlc,,0.32,0.36,19.3597,18.9982,2023-12-13T04:04:03.002891,4,4,,,SN,2.79,19.2126,18.9982,20.2053,19.6585,0.55,0.005,60287.1,60291.2,0.420066925,12.56300885
2023znj,ZTF23absdoxb,,0.48,0.46,19.5858,19.1219,2023-12-18T10:10:21.996490,9,9,,fading,NT,0.47,19.339,18.7113,18.5373,18.4044,0.13,,60287.4,60296.4,140.94456120769232,7.139227615384616
2023znm,ZTF23abshecv,,-0.19,0.05,19.3094,19.2611,2023-12-18T11:12:46.002258,10,10,,,SN,0.13,19.1299,19.2611,-999.0,21.7182,-1020.72,0.00125,60287.3,60296.5,122.41892265882352,38.43664286470588
2023znn,ZTF22abnezom,,0.11,0.32,19.3676,19.0432,2023-12-28T09:25:52.996803,6,2,,,SN,0.51,19.2239,19.0432,19.5885,19.3886,0.2,0.01375,60287.5,60306.4,156.81602083333334,48.127701083333335
2023zno,ZTF23abshzag,,-0.07,-0.1,18.6876,18.7892,2023-12-18T11:07:03.996467,13,13,rising/peak,,SN,4.86,18.5927,18.7892,19.5547,19.0071,0.55,0.0670714,60287.4,60296.5,124.37419553571426,12.547140999999998
2023znp,ZTF23abshxld,,-0.1,-0.09,19.4986,19.5913,2023-12-18T11:18:14.002571,18,18,rising/peak,,SN,0.89,19.4803,19.5077,20.5184,20.3902,0.13,0.001,60287.3,60296.5,120.79243394444444,54.33548600277778
2023znq,ZTF23abscqxm,,-0.15,-0.03,19.1044,19.1307,2023-12-18T11:20:56.002578,15,15,rising/peak,,SN,3.68,19.0024,19.1307,21.2543,21.0555,0.2,0.00645833,60287.3,60296.5,134.62727941764706,52.16617438235295
2023zns,ZTF23absiydc,,,,18.9867,,2023-12-13T10:48:54.000007,2,2,,fading,SN,4.74,18.7104,,-999.0,-999.0,0.0,0.5,60287.4,60291.5,191.2171622333333,53.966128966666666
2023znt,ZTF23absjcxo,,0.26,0.13,20.249,20.1221,2023-12-13T10:15:46.998710,1,1,,fading,SN,8.27,20.249,19.8406,18.8848,18.5329,0.35,0.0275417,60287.4,60291.4,174.1578723,60.96610432
2023znv,ZTF23absjgwq,,0.08,0.23,18.9995,18.7712,2023-12-13T11:53:09.997436,1,1,,fading,SN,3.22,18.6961,18.7712,21.1427,19.9126,1.23,0.5,60287.5,60291.5,208.2196596,46.527035075
2023znw,ZTF22aakqruk,,0.08,0.56,19.6117,19.0543,2022-06-23T06:13:28.997741,23,11,,fading,NT,0.57,18.4115,18.4078,18.4894,17.6115,0.88,0.0411667,59724.4,59753.3,193.9291823217391,63.34675270434781
