TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2024iek,ZTF24aalqgjr,,7.672346121631563,0.15,-0.26,19.3078,19.5708,2024-05-06T11:21:19.002250,3,3,rising/peak,,SN,0.44,19.3078,19.5708,20.4637,20.215,0.25,,60431.4,60436.5,252.48556563333332,23.3941372
2024iff,ZTF24aalqbuc,,7.673387821763754,-0.03,-0.21,20.315,20.5271,2024-05-06T10:10:45.998413,2,2,rising/peak,,SN,0.78,20.315,20.5271,21.3238,20.7679,0.56,0.5,60431.4,60436.4,253.38722472499998,37.308328825000004
2024ifc,ZTF24aaminbv,,7.656281321775168,-0.4,-0.19,20.0583,20.2482,2024-05-06T10:29:53.001609,1,1,rising/peak,,SN,0.23,20.0583,20.2482,21.7501,21.1393,0.61,,60432.4,60436.4,255.83897443333333,22.5602473
2024iey,ZTF24aamipnt,,3.63842252176255,-0.09,-0.09,19.8763,19.9615,2024-05-06T10:45:50.996170,1,1,rising/peak,,SN,5.81,19.8763,19.9615,19.7929,19.6367,0.16,0.0615,60436.4,60436.4,245.62250085,43.5224039
2024iej,ZTF19adhxlkv,,13.603572921361774,-0.09,0.02,18.3063,18.2852,2024-05-06T10:41:40.997764,7,7,,,NT,0.15,18.2118,18.2164,17.7539,16.9883,0.77,0.0900714,60429.3,60436.4,249.68319801428575,25.340843928571424
2024ife,ZTF24aamijxq,,2.663769721519202,0.48,0.03,20.2037,20.1699,2024-05-06T10:36:54.996459,1,1,rising/peak,,SN,1.99,20.2037,20.1699,-999.0,-999.0,0.0,0.5,60434.4,60436.4,263.22803783333336,25.904452566666663
2024ier,ZTF24aamilxy,,2.5721030216664076,0.46,0.51,19.5584,19.0468,2024-05-06T10:55:43.000320,3,3,,,SN,1.87,19.4589,19.0468,18.0161,17.4478,0.57,0.154899,60436.4,60436.5,293.1316954,62.2670838
2024iei,ZTF18aawfqax,,3.6331910216249526,,,18.6949,,2024-05-06T10:09:24.998413,2,2,,,NT,1.23,18.6949,,19.6094,18.9502,0.66,0.0465833,60433.4,60436.4,234.95198084999998,42.295557450000004
2024iel,ZTF24aalwvuf,,2.800910921767354,,,19.7576,,2024-05-05T04:53:18.003845,3,3,,,NT,0.62,19.7576,,18.9237,18.0895,0.83,0.00433333,60433.2,60435.2,141.13563553333333,55.866749533333326
2024ifd,ZTF24aamilmk,,3.6331910216249526,,,20.1021,,2024-05-06T10:09:24.998413,1,1,,,SN,11.55,20.1021,,21.9555,21.4423,0.51,0.202208,60436.4,60436.4,232.7773847,38.9754769
