TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2024fgi,ZTF24aahupff,,8.806640452239662,-0.19,-0.19,19.0472,19.2347,2024-03-28T05:37:48.999374,2.0,2.0,rising/peak,,SN,2.23,19.0472,19.2347,21.3389,20.4648,0.87,0.0103869,60397.2,60397.2,125.2738253,4.9726292999999995
2018mng,ZTF18abfedgq,,139.84253175230697,0.56,0.64,20.2139,19.5781,2023-12-12T03:29:27.000953,,,rising/peak,,SN,3.98,20.2139,19.5781,20.2717,19.0681,1.2,0.992083,60261.2,60290.1,348.8874931666667,27.89524151666667
2018mng,ZTF18adksxrj,,158.6815016521141,0.57,0.66,20.2996,19.6389,2023-11-02T05:50:42.996459,,,,fading,SN,4.17,19.4962,19.4219,20.2717,19.0681,1.2,0.992083,60221.2,60250.2,348.88744504,27.895225100000005
2024ffw,ZTF18acxyefw,,8.797797952312976,,,,18.7745,2024-03-28T06:49:36.998420,2.0,2.0,,,VS,0.7,,18.7745,18.0035,17.2624,0.74,0.0399167,60390.3,60397.3,105.21312745,70.94609485000001
