TNS_ID,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023yrr,ZTF23abtucbd,,0.61,0.73,19.4513,18.7217,2023-12-13T11:08:14.999984,2.0,2.0,,fading,NT,0.65,19.2078,18.7217,18.4767,17.7149,0.76,0.028375,60289.5,60291.5,179.15290960000002,12.376396333333334
2023yrw,ZTF23abrytzv,,0.05,0.27,20.1836,19.9176,2023-12-12T05:09:30.997436,3.0,3.0,,fading,SN,1.05,19.4739,19.5452,21.7453,21.5318,0.21,0.00166667,60284.1,60290.2,7.609675416666666,19.36826615
2023yrx,ZTF23abryfmg,SN Ia,0.0,-0.02,17.6678,17.6829,2023-12-12T05:28:17.999053,4.0,4.0,rising/peak,,SN,29.05,17.6678,17.6829,20.9396,20.5026,0.44,,60284.1,60290.2,346.4951311666666,15.2099782
2023ysc,ZTF23abrypah,,-0.1,-0.02,18.4911,18.5138,2023-12-12T03:15:40.999687,3.0,3.0,rising/peak,,SN,0.81,18.4911,18.5138,21.2458,20.9836,0.26,0.00741667,60284.1,60290.1,326.87252118000004,15.6988835
2023ysn,ZTF23abrzxfe,,,,19.7891,,2023-12-12T05:32:39.998397,2.0,2.0,,fading,SN,2.57,19.3753,,18.9769,18.4596,0.52,0.057,60284.2,60290.2,34.752922866666665,-26.56103003333333
2023ysu,ZTF23abswflc,SN Ib,0.41,0.41,18.9276,18.519,2023-12-11T11:57:07.001258,2.0,2.0,rising/peak,,SN,7.27,18.9276,18.519,19.7526,19.77,-0.02,0.058244,60289.4,60289.5,166.3557312,32.0180374
2023ysv,ZTF23abrzfge,SN II,0.76,0.88,18.9622,18.0816,2023-12-16T06:11:43.995857,15.0,15.0,,fading,SN,3.93,18.7373,18.03,18.9864,18.2874,0.7,0.124429,60284.2,60294.3,60.86477266666667,27.358472911111114
2023ysw,ZTF23abrylzz,,0.24,0.1,20.1801,20.0775,2023-12-13T02:36:19.998733,2.0,2.0,,fading,SN,0.08,20.0327,19.664,21.6335,21.6996,-0.07,0.01275,60268.2,60291.1,11.327451983333331,25.844414916666665
2023yta,ZTF23absbkhe,SN Ia,0.18,0.47,19.063,18.5932,2023-12-17T06:41:17.001609,7.0,7.0,,fading,SN,1.63,18.4472,18.3675,20.1446,18.6992,1.45,0.5,60285.2,60295.3,52.142051728571424,-0.5880879571428571
2023yts,ZTF23abrygjs,,-0.01,0.04,19.0771,19.0402,2023-12-12T05:20:01.000335,5.0,5.0,rising/peak,,SN,1.65,19.0606,19.0402,19.8293,20.0934,-0.26,,60284.1,60290.2,355.2441860166667,30.60179646666667
2023yty,ZTF23abudlca,,0.46,0.44,20.8966,20.4572,2023-12-15T11:09:37.995834,1.0,1.0,,fading,SN,0.13,20.6458,20.4437,21.3511,21.081,0.27,0.0025,60288.4,60293.5,116.800896,22.892137833333333
2023ytz,ZTF23absbqtw,,-0.17,-0.17,18.5372,18.7077,2023-12-17T06:45:21.003829,5.0,5.0,,,SN,3.35,18.3786,18.5466,-999.0,21.2108,-1020.21,0.5,60285.2,60295.3,21.83037985,-9.6707548
2023yud,ZTF23absdnjb,SN Ia,0.03,0.21,18.8373,18.6262,2023-12-18T11:35:13.997756,5.0,5.0,,fading,NT,0.46,18.4527,18.4668,18.7185,18.1085,0.61,0.014375,60287.4,60296.5,155.65238698333334,44.29812031666666
2023yuj,ZTF23absepck,SN Ia,,,18.1934,,2023-12-13T04:23:06.999343,3.0,3.0,,,SN,3.76,18.0193,,18.3476,17.4928,0.85,0.0284167,60287.1,60291.2,10.143547533333331,-8.833851133333333
