TNS_ID,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2020afgq,ZTF19abqziwz,,0.7,0.78,18.0212,17.2452,2023-11-20T04:21:36.996490,12,5,,fading,AGN,0.69,16.1088,15.8173,16.5359,13.387,3.15,0.15219,60239.2,60268.2,306.67788718571427,10.694931909523811
2020afgq,ZTF23abhvuft,,0.61,0.73,17.9734,17.2452,2023-11-20T03:11:58.001296,12,5,,fading,VS,1.39,16.1088,15.8173,16.5359,13.387,3.15,0.15219,60239.2,60268.1,306.67789624,10.6949412
2023yfi,ZTF23abprgop,,0.04,-0.12,18.5551,18.6713,2023-12-13T05:58:03.999343,7,5,rising/peak,,VS,0.05,18.4343,18.6005,18.0783,17.4486,0.63,0.0325,60261.3,60291.2,21.612409314285717,29.0774719
2023yfj,ZTF21acelrhe,,0.76,0.61,20.2181,19.6046,2023-11-20T04:50:32.997131,1,1,rising/peak,,SN,4.92,20.2181,19.6046,19.6757,18.9875,0.69,0.00666667,60260.2,60268.2,28.57261773333333,9.6570275
2023yfp,ZTF23abtugis,,,,19.9713,,2023-12-13T11:55:12.002891,1,1,,fading,SN,1.0,19.7407,,21.3766,21.1652,0.21,0.003125,60287.5,60291.5,210.40344205,28.7171062
2023yfq,ZTF23aahwila,,-0.03,-0.31,19.6104,19.9246,2023-09-07T03:59:42.999351,5,1,,,SN,0.3,19.6104,19.8105,20.2373,19.4038,0.83,,60165.2,60194.2,228.35950952857144,27.081967557142857
2023ygb,ZTF19aboznhi,,0.45,0.56,19.1559,18.5926,2023-12-12T02:38:22.004142,4,3,,fading,AGN,0.05,18.4848,18.1986,18.731,18.2416,0.49,0.998333,60262.2,60290.1,336.44688745,-4.950371366666666
2023yge,ZTF23abqkywu,,0.69,0.82,21.1362,20.3184,2023-12-15T09:57:22.003219,1,1,,fading,SN,0.51,20.748,20.2605,-999.0,20.2566,-1019.26,0.5,60287.4,60293.4,122.96133858333332,20.59616133333333
2023ygf,ZTF23abeorpy,,0.19,0.19,20.5076,20.3183,2023-11-10T11:08:35.001602,1,1,rising/peak,,SN,1.65,20.5076,20.3183,20.0948,19.6594,0.44,0.0199286,60258.4,60258.5,133.53519469999998,32.01959795
2023ygf,ZTF23abqkxjm,,-0.58,-0.54,19.9046,20.4416,2023-12-14T09:14:52.002243,2,1,rising/peak,,SN,2.04,19.9046,20.4416,20.0948,19.6594,0.44,0.0199286,60262.4,60292.4,133.5349705,32.01963146666667
