TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2024npo,ZTF20aavgair,,96.0807631071657,0.12,0.12,20.6235,20.4997,2024-04-11T08:32:35.998092,2,2,rising/peak,,AGN,0.29,20.6235,20.4997,19.188,18.8177,0.37,0.0208333,60411.3,60411.4,190.2302899,-15.646376100000001
2024nqf,ZTF24aaqygdp,,37.17253390699625,0.12,0.22,20.7406,20.5184,2024-06-08T06:35:04.004158,1,1,,fading,NT,1.48,20.4288,20.4188,-999.0,19.2221,-1018.22,0.5,60457.3,60469.3,220.32623172499999,-2.4955881
2023adwv,ZTF18aamykhr,,6.182846406940371,0.39,0.26,20.0266,19.7634,2024-07-09T07:17:14.003509,7,6,,,NT,0.14,20.0242,19.6476,18.5524,17.9748,0.58,0.0113333,60485.3,60500.3,231.31453292857145,65.82987862857144
2024noi,ZTF24aasxfkk,,16.139443607069552,,,20.1283,,2024-07-03T04:46:24.000976,1,1,,,SN,1.26,19.9528,,20.7546,20.0385,0.72,0.00645833,60480.2,60494.2,211.69672415,37.430423250000004
2024npg,ZTF24aaudyhb,,15.92763810697943,,,,19.7742,2024-06-30T11:14:11.996154,1,1,,,SN,0.56,,19.7742,21.1212,21.266,-0.14,0.00416667,60488.5,60491.5,49.3063528,42.65270895
