tns_name,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023aagk,ZTF23abusdxc,,,,,19.6881,2023-12-16T06:04:57,1,1,,,SN,0.49,,19.6881,-999.0,21.4717,-1020.47,0.272587,60294.3,60294.3,64.7066946,7.7182095
2023aagm,ZTF17aaaxenk,,,,,19.5047,2023-06-22T11:12:23.996177,1,1,,,NT,0.6,,19.5047,18.0327,17.2925,0.74,0.0604881,60117.5,60117.5,32.6323091,34.5885885
2023aagm,ZTF23abupqks,,,,,19.7049,2023-12-16T01:56:55.999687,1,1,,,NT,0.26,,19.7049,18.0327,17.2925,0.74,0.0604881,60294.1,60294.1,32.6325476,34.5885892
2023aagn,ZTF23abufsyf,,0.14,0.01,20.8559,20.8417,2023-12-15T11:14:50.997108,1,1,rising/peak,,SN,1.51,20.8559,20.8417,21.1843,-999.0,1020.18,0.5,60291.4,60293.5,127.8011464625,38.940904024999995
2023aagp,ZTF23abuespm,,,,20.6742,,2023-12-15T11:47:45.997421,1,1,,,NT,1.39,20.6742,,19.8121,18.8052,1.01,0.00383333,60292.4,60293.5,130.27188930000003,53.95754827999999
2023aags,ZTF23abubqzk,,-0.1,-0.24,20.6451,20.8893,2023-12-16T09:26:31.997764,1,1,rising/peak,,NT,1.09,20.6381,20.8893,20.1998,20.0521,0.15,,60289.4,60294.4,110.51913862,37.532451529999996
2023aagy,ZTF23abtjykt,,0.16,0.06,21.0808,21.0198,2023-12-15T12:56:47.996162,1,1,,fading,SN,1.7,20.8128,21.0198,-999.0,21.1528,-1020.15,,60291.4,60293.5,127.3160573625,46.3866105375
2023aagz,ZTF23abtgaua,,,,,20.6365,2023-12-16T06:08:19.003204,1,1,,,SN,1.38,,20.6365,20.3514,19.3714,0.98,0.00327381,60294.3,60294.3,67.8616863,9.2713486
2023aahd,ZTF23abjlbev,,0.15,0.47,20.7944,20.3262,2023-12-16T04:06:19.998733,4,4,,fading,SN,0.09,20.491,20.3262,20.8335,20.1418,0.69,0.00125,60291.2,60294.2,34.578141884615384,21.586904176923078
2023aahe,ZTF23abjiujg,,0.01,-0.1,20.5978,20.6957,2023-12-16T04:09:40.999694,1,1,,,SN,0.12,20.4271,20.6183,21.7473,20.6022,1.15,0.0175833,60290.2,60294.2,45.69014551666667,19.51818575
2023aahm,ZTF23abtuakd,,0.04,0.04,20.368,20.328,2023-12-13T11:04:10.004165,1,1,rising/peak,,SN,3.52,20.368,20.328,21.1883,19.9615,1.23,,60291.4,60291.5,155.97061465,1.16526715
2023aahz,ZTF23abteemj,,0.31,0.13,19.5887,19.4623,2023-12-17T06:44:41.000625,3,3,rising/peak,,SN,0.99,19.5887,19.4623,19.9406,18.9697,0.97,0.00708333,60290.2,60295.3,24.187502933333334,-6.286847966666667
2023aaik,ZTF23abtjhfa,,0.74,0.73,20.0856,19.3546,2023-12-17T07:17:22.004150,2,2,rising/peak,,SN,1.34,20.0856,19.3546,19.5254,18.4096,1.12,0.080875,60290.4,60295.3,77.73057991666667,76.30082945
2023aain,ZTF23abveine,,1.3,1.3,20.3168,19.0156,2023-12-18T10:13:03.996498,1,1,rising/peak,,SN,4.06,20.3168,19.0156,18.6729,-999.0,1017.67,0.5,60291.4,60296.4,133.33815729999998,27.6886377
