TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023acoy,ZTF19aascfxq,,966.8752350970171,-0.28,-0.39,20.1562,20.5499,2021-07-10T05:27:30.003860,7.0,6.0,,fading,SN,0.15,20.1562,20.2952,20.9696,20.3793,0.59,,59376.3,59405.2,228.01047367,6.83521513
2023acph,ZTF22aaaovxp,,239.87741099717095,-0.05,-0.34,20.0497,20.3884,2023-07-09T05:38:45.997451,5.0,2.0,,fading,AGN,0.48,20.0497,20.1696,19.3611,19.2162,0.14,0.01225,60109.2,60134.2,214.3766234375,-0.2882042375
2023adlk,ZTF23abdrrfj,,112.84062859695405,-0.19,-0.17,20.1845,20.3504,2023-11-13T04:57:21.997451,,,,fading,AGN,0.21,19.8985,20.2492,20.2284,19.9322,0.3,0.138571,60231.3,60261.2,356.8165981458333,0.9341696375
2023adfx,ZTF23aawzxej,,177.72831379715353,0.03,-0.07,20.4272,20.4939,2023-09-17T09:29:05.003532,5.0,5.0,,fading,SN,0.33,20.2872,20.2909,21.5206,20.3041,1.22,0.000833333,60183.4,60204.4,345.2970302625,-0.170507275
2023aczl,ZTF20aavykce,,1005.8454086971469,0.09,-0.03,20.6784,20.7076,2021-06-03T04:59:51.996475,5.0,1.0,,fading,AGN,0.33,20.327,20.3621,19.9241,19.6628,0.26,0.11108,59338.4,59368.2,222.42738743,8.275541409999999
2023adfu,ZTF19aascfup,,2.6538114971481264,-0.01,-0.03,19.3355,19.3671,2024-02-15T12:26:35.998062,6.0,5.0,rising/peak,,VS,0.16,19.3355,19.3671,19.7574,18.9658,0.79,0.0116667,60326.5,60355.5,224.2400964333333,7.27335995
2023acqg,ZTF23aaqmhaj,,234.88513099681586,0.02,-0.02,20.1087,20.1253,2023-07-14T05:12:07.001258,5.0,5.0,rising/peak,,NT,0.31,20.1087,20.1253,19.7959,19.1185,0.68,,60132.2,60139.2,214.99957305999996,-0.5491800600000001
2023adht,ZTF19acasjgm,,606.636242096778,-0.11,-0.02,20.0028,20.0226,2022-07-05T10:37:44.996147,3.0,2.0,,,AGN,0.15,19.8126,20.0226,19.6424,19.1166,0.53,0.00125,59742.4,59765.4,350.4817308,-0.5264262000000001
2023adfz,ZTF17aacnwqd,,550.6022258969024,-0.07,-0.01,20.5821,20.5951,2022-09-02T09:05:42.999343,,,,,AGN,0.18,20.5124,20.5951,,,,,59798.5,59824.4,31.792168275,-1.74665815
2024doj,ZTF24aaedhgo,,30.805535996798426,0.09,0.02,20.4335,20.4132,2024-02-16T10:40:21.000007,3.0,3.0,,fading,SN,0.6,20.0154,19.9615,21.5879,21.7906,-0.2,0.003,60339.3,60356.4,167.2474496875,15.9792099875
2023adhm,ZTF22abpskrk,,133.69603369710967,0.03,0.08,20.341,20.2611,2023-10-25T11:05:20.999038,4.0,4.0,,,SN,0.53,20.1905,20.2611,20.4193,20.1667,0.25,0.115625,60223.4,60242.5,55.287365316666666,-14.209870416666666
2023adbl,ZTF21aaekmoc,,639.8432443970814,-0.01,0.09,20.4459,20.36,2022-06-02T06:33:58.996788,6.0,5.0,,,AGN,0.93,20.2685,20.36,20.1317,19.2764,0.86,0.0208333,59707.3,59732.3,228.6579778,6.198014575
2023adik,ZTF20aagjrhr,,44.95342959696427,0.12,0.15,18.8723,18.7194,2024-02-18T03:05:45.997436,7.0,5.0,rising/peak,,AGN,0.02,18.7892,18.7078,18.8986,18.6666,0.23,0.150229,60336.3,60358.1,46.2361870875,2.1882482125
2023adnx,ZTF18abuwcgq,,46.88437859714031,0.08,0.16,17.5572,17.3979,2024-02-14T03:38:51.002883,7.0,3.0,rising/peak,,AGN,0.41,17.5572,17.3979,16.0094,15.8746,0.13,0.975042,60325.2,60354.2,44.42005592857142,-16.51277244285714
2023actv,ZTF22aahegap,,285.73925129696727,-0.16,0.16,20.5671,20.4062,2023-05-24T07:28:01.001289,25.0,15.0,,fading,AGN,0.28,19.4115,20.2026,19.5658,19.083,0.48,0.00166667,60058.3,60088.3,223.20108060000004,8.156448083333334
2023adbd,ZTF20abgvrvr,,79.52087169699371,0.22,0.18,20.2336,20.0585,2024-02-15T12:29:19.000312,,,rising/peak,,AGN,0.34,20.2047,20.0585,19.8243,19.657,0.17,0.9885,60325.5,60355.5,216.35911498333334,-1.3072325833333334
2023adfw,ZTF23aafvstv,,20.575003596954048,0.1,0.23,20.3406,20.1111,2024-02-15T12:25:55.001258,2.0,2.0,,,SN,0.12,20.2059,20.1111,-999.0,21.8415,-1020.84,0.00375,60327.5,60355.5,225.79214245,8.397774133333332
2023adgr,ZTF22abrifjy,,143.8373762969859,0.22,0.32,20.365,20.0431,2023-10-11T06:59:09.000946,5.0,1.0,rising/peak,,AGN,0.18,20.365,20.0431,19.2407,18.8969,0.34,,60200.4,60228.3,334.3154819363636,0.9417714454545454
2023acue,ZTF23aacdmqq,,350.7117281970568,0.12,0.34,19.4851,19.1475,2023-03-18T11:01:44.999038,4.0,2.0,,fading,AGN,0.82,18.6273,18.7284,-999.0,-999.0,0.0,0.5,59994.5,60021.5,225.67670945000003,7.938968525
2023adcy,ZTF20acpcfgt,,136.92721429700032,0.0,0.34,20.5351,20.193,2023-10-18T05:36:42.998405,14.0,9.0,,fading,AGN,0.07,19.941,19.9757,20.0558,19.5244,0.53,0.00446429,60206.2,60235.2,339.99600897999994,0.8606914
2023adlh,ZTF23aaxbilz,,201.70430919714272,0.5,0.61,20.9348,20.3241,2023-08-14T09:05:17.001617,1.0,1.0,,fading,ORPHAN,0.0,20.7145,20.3241,-999.0,-999.0,0.0,0.0172083,60150.4,60170.4,350.25314756666666,0.1374988
2023adgk,ZTF21acmbstw,,114.8639966971241,0.24,0.7,20.0122,19.3082,2023-11-14T04:34:13.998703,10.0,5.0,,fading,VS,0.39,19.6351,19.3082,19.3743,18.8699,0.5,,60233.2,60262.2,331.23900585454544,-5.4599750818181825
2024doe,ZTF21acomcaf,,37.920883296988904,0.87,0.79,19.5553,18.7634,2024-02-11T03:59:02.996154,2.0,2.0,rising/peak,,AGN,0.35,19.5553,18.7634,19.9104,19.9966,-0.09,0.999583,60340.2,60351.2,22.615132,8.712876066666666
