TNS_ID,ZTF_ID,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2018mfl,ZTF18achdfqm,,0.25,0.25,19.8923,19.6395,2018-12-12T12:41:03.998382,6.0,3.0,,fading,SN,1.14,19.8123,19.2882,19.5148,18.6458,0.87,0.045208,58438.5,58464.5,132.4704375888889,38.94684197777778
2018mfm,ZTF18abnzney,,,,,20.7534,2021-09-04T08:55:12.002891,,,,,SN,1.65,,20.7534,20.5862,19.8558,0.73,,59434.4,59461.4,0.186728925,15.499467275
2018mfn,ZTF18acpegrg,,0.25,0.19,20.1018,19.9077,2018-12-12T12:37:43.999671,1.0,1.0,,fading,SN,4.04,19.5637,19.3941,17.8333,17.4614,0.37,0.074,58439.5,58464.5,146.28676839,30.10656206
2018mfo,ZTF18abmofew,,0.32,0.07,19.3337,19.2616,2018-09-21T07:07:04.995834,4.0,,,fading,SN,2.39,19.3337,19.0316,18.2726,17.7661,0.51,0.030417,58352.3,58382.3,346.2775193133333,22.720982653333333
2018mfp,ZTF19aaaamwp,,0.11,-0.24,19.7914,20.0354,2019-01-10T03:54:58.000335,1.0,1.0,,fading,SN,4.06,19.7914,19.7096,21.445,-999.0,1020.44,0.5,58486.1,58493.2,19.78003061428572,29.471845657142858
2018mfs,ZTF18aczerlj,,0.98,1.04,20.897,19.8557,2019-04-07T08:36:18.996482,2.0,2.0,rising/peak,,NT,1.16,20.897,19.8237,,,,,58558.3,58580.4,214.8034975571429,30.904897585714284
2018mft,ZTF18acbzvzm,,-0.04,-0.23,19.3186,19.5496,2018-11-28T11:15:12.000938,5.0,3.0,,fading,NT,0.33,18.9741,19.1193,18.9021,18.1392,0.76,0.00875,58426.5,58450.5,186.9766989,68.43801602
2018mfu,ZTF18acbwdym,,,,20.3451,,2021-03-07T05:06:04.000335,,,,,SN,2.61,20.3451,,,,,,59253.2,59280.2,123.03386375,37.87446555
2018mfv,ZTF18acbwgmi,,0.26,0.12,20.133,20.0106,2018-11-18T12:48:11.998069,6.0,4.0,,fading,SN,0.46,20.133,19.6945,20.7749,20.1411,0.63,,58422.5,58440.5,136.89831664285717,57.08781328571428
2018mfw,ZTF18abokvkt,,0.05,-0.34,20.1736,20.5135,2018-09-17T06:36:44.997131,4.0,3.0,,fading,SN,0.95,20.0707,19.8712,21.1378,20.9139,0.22,0.0095,58351.4,58378.3,327.1461058944444,15.411508322222224
2018mfx,ZTF18abtgmuw,,0.01,0.05,20.2335,20.1867,2018-09-16T09:43:52.996780,2.0,2.0,,,SN,0.91,20.2122,20.1016,21.1469,20.8723,0.27,0.003125,58366.5,58377.4,25.8707877,9.060919828571429
2018mfy,ZTF18abnvnqb,,0.07,-0.16,19.0097,19.1688,2018-09-27T04:19:20.000656,1.0,,rising/peak,,SN,0.71,19.0097,19.1329,20.8746,20.7514,0.12,0.010125,58358.2,58388.2,267.4285697923077,54.39922887692308
2018mfz,ZTF18abtjrbt,,-0.16,-0.24,19.1512,19.3908,2018-09-27T07:28:22.998718,4.0,3.0,,,NT,0.62,19.0195,19.2155,19.3941,19.4447,-0.05,0.030464,58366.3,58388.3,323.4231181636364,0.4358659454545455
2018mga,ZTF18ablqjws,,0.22,0.15,19.6648,19.5149,2018-09-29T05:40:02.997116,1.0,,rising/peak,,SN,3.61,19.49,19.4501,20.3076,20.0357,0.27,0.00125,58362.2,58390.2,256.64573875909093,65.57943741363636
2018mgc,ZTF18acvgwfq,,-0.08,0.3,20.1226,19.8267,2019-01-11T10:51:52.001289,2.0,,,fading,SN,2.68,19.6337,19.7094,20.6276,21.1237,-0.5,0.5,58464.5,58494.5,180.9250366333333,29.21228006666667
