TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2024jcj,ZTF21aahfmrr,,5.752408827655017,-0.04,-0.05,19.8502,19.9028,2024-05-18T08:17:02.999053,13,12,rising/peak,,AGN,0.34,19.7367,19.9028,19.4132,19.0137,0.4,0.00854167,60431.3,60448.3,223.39626022307692,26.541490223076924
2024jcp,ZTF24aaomloj,,15.59651762759313,0.4,0.4,19.5604,19.1572,2024-05-19T09:58:51.003822,2,2,rising/peak,,SN,0.28,19.5604,19.1572,19.2715,18.6658,0.61,0.0202917,60449.4,60449.4,331.9319042,20.4770957
2018mnl,ZTF18abdbxeh,,0.7877444275654852,,,,19.4543,2024-05-19T08:19:32.998077,2,2,,,VS,0.86,,19.4543,-999.0,19.8201,-1018.82,0.55447,60445.2,60449.3,171.67729535,59.15818135
2024jcg,ZTF24aanxyhr,,2.7083926275372505,,,19.2868,,2024-05-19T06:39:19.998703,1,1,,,SN,1.88,19.2868,,19.3736,18.4547,0.92,0.0075,60445.3,60449.3,195.41797574999998,25.755696649999997
2024jch,ZTF24aanviio,,2.7462514275684953,,,19.7426,,2024-05-19T06:11:13.997749,1,1,,,SN,1.96,19.7426,,19.1866,18.4166,0.77,0.027125,60445.3,60449.3,184.30887825000002,66.13997755
2024jcl,ZTF24aaobkzi,,3.6147236274555326,,,,19.595,2024-05-19T09:12:30.003860,1,1,,,SN,3.07,,19.5727,19.4211,19.0976,0.32,0.5,60446.5,60449.4,306.1305429,19.6396267
2024jco,ZTF24aaomrmu,,0.6812861273065209,,,19.9391,,2024-05-19T09:53:32.999992,1,1,,,SN,1.17,19.9391,,21.446,21.2979,0.15,0.00333333,60449.4,60449.4,226.4780991,61.6953925
2024jcs,ZTF24aaolqqe,,5.791899527423084,,,19.1185,,2024-05-19T05:17:10.999694,1,1,,,NT,0.57,19.1185,,19.6999,19.5976,0.1,,60449.2,60449.2,161.71416625,8.0612983
2024jct,ZTF24aanmiaj,,2.6394227277487516,,,19.4975,,2024-05-19T06:45:59.996177,1,1,,,SN,32.66,19.4975,,22.28,21.902,0.38,0.00416667,60449.3,60449.3,214.8521381,40.2434646
