TNS_ID,ZTF_ID,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2018mlj,ZTF18aawehma,,,,,19.5149,2023-12-12T13:16:31.002258,4.0,4.0,,,NT,0.92,,19.4925,20.263,19.5593,0.7,0.00708333,60288.5,60290.6,223.26213104,15.089254920000002
2023zop,ZTF23abtdizt,SN IIb,0.0,-0.05,17.7398,17.7869,2023-12-27T05:32:54.003829,16.0,14.0,rising/peak,,SN,0.74,17.7398,17.7869,20.8292,19.891,0.94,0.5,60284.2,60305.2,44.41216441666667,2.740054027777778
2023zov,ZTF23absfhzx,,0.19,-0.1,19.4404,19.5399,2023-12-12T05:10:11.000640,4.0,4.0,rising/peak,,SN,0.2,19.3938,19.5399,20.2553,19.9094,0.35,0.00125,60284.2,60290.2,0.5241199599999999,17.68315354
2023zpg,ZTF23absmnfp,,0.18,0.13,18.7052,18.5735,2023-12-17T06:40:35.996162,16.0,16.0,,,SN,0.63,18.6595,18.3763,18.0622,17.211,0.85,0.0876964,60288.2,60295.3,50.23117725,8.004851744444444
2023zpn,ZTF23absqitn,,,,20.2047,,2023-12-12T11:37:40.998733,2.0,2.0,,fading,VS,1.16,19.8283,,19.6058,18.6524,0.95,0.00125,60287.4,60290.5,165.44369430000003,-3.353018233333333
2023zps,ZTF23abscvgg,SN II,0.44,0.31,20.0277,19.714,2023-12-17T06:08:41.000633,4.0,4.0,,fading,SN,1.65,19.8228,19.375,18.6318,18.4571,0.17,0.0683333,60288.3,60295.3,81.95571826,-5.36207126
2023zpu,ZTF22abwtopk,,,,19.7783,,2023-12-13T11:06:53.999977,3.0,3.0,,,VS,0.34,19.6496,,19.9206,19.027,0.89,0.236955,60287.5,60291.5,173.299316175,1.004513425
2023zpv,ZTF22abfzzmh,,-0.12,-0.08,19.3356,19.4189,2023-12-17T03:10:11.997123,6.0,6.0,rising/peak,,AGN,0.01,19.3356,19.4189,18.853,18.4006,0.45,0.0147917,60287.1,60295.1,21.26901245,18.113530416666663
2023zpy,ZTF18aaoebdz,,,,19.8376,,2023-12-13T11:59:16.998703,2.0,2.0,,,AGN,1.47,19.6993,,18.8937,18.5716,0.32,0.995625,60287.5,60291.5,197.01673845,29.84114525
2023zqh,ZTF23abtmwow,,-0.29,-0.25,19.4686,19.716,2023-12-12T12:39:22.003204,2.0,2.0,rising/peak,,SN,3.97,19.4686,19.716,19.8006,19.0203,0.78,0.0145833,60288.5,60290.5,195.4348653333333,-2.470713233333333
2023zqi,ZTF23abqgjjm,,,,,19.1539,2023-11-11T13:07:34.000297,1.0,1.0,,,SN,4.68,,19.1539,19.5407,18.6416,0.9,0.0546964,60259.5,60259.5,192.9424108,-0.9407765
2023zqj,ZTF23abtncor,,0.04,0.12,19.7083,19.5877,2023-12-12T12:38:00.000953,1.0,1.0,rising/peak,,SN,1.25,19.7083,19.5877,20.6086,20.4417,0.17,,60287.5,60290.5,189.92909926666667,-10.093301333333336
2023zqk,ZTF23abtmvkz,,0.14,0.1,19.4972,19.3964,2023-12-13T12:31:35.996154,3.0,3.0,,,SN,1.34,19.4972,19.3282,19.8128,18.8966,0.92,0.0280417,60287.5,60291.5,157.76068454999998,-24.4815912
2023zql,ZTF23abtmzsk,,0.33,0.35,19.7005,19.3528,2023-12-12T12:51:04.003211,2.0,2.0,,,NT,1.22,19.6722,19.3528,19.5779,18.6604,0.92,0.0482917,60287.5,60290.5,198.12667646666668,5.340872166666666
2023zqn,ZTF23abtmwvx,,,,19.5008,,2023-12-12T12:05:26.998062,1.0,1.0,,,SN,1.7,19.4117,,18.9396,18.1892,0.75,0.000833333,60287.5,60290.5,195.3112802,-4.3285837
2023zqr,ZTF23abtmzxs,,0.0,0.0,19.2715,19.267,2023-12-12T12:50:24.000015,2.0,2.0,rising/peak,,SN,3.15,19.2715,19.267,19.013,18.7409,0.27,0.0502917,60290.5,60290.5,200.2438191,-0.89686355
2023zqs,ZTF23abtnhva,SN Ia,,,,17.8847,2023-12-14T13:28:32.001602,15.0,15.0,,,SN,2.91,,17.8233,17.9237,17.5648,0.36,0.241131,60290.5,60292.6,214.0225688266667,-1.2598650266666669
2023zqt,ZTF23absbqfn,,0.36,0.36,19.9914,19.635,2023-12-12T05:57:09.999351,2.0,2.0,rising/peak,,SN,1.86,19.8973,19.635,21.443,21.0751,0.37,0.00125,60285.2,60290.2,48.055633825,-1.142570825
2023zqy,ZTF18aawpfpp,,-0.07,-0.07,18.9525,19.0254,2023-12-13T11:37:42.000938,6.0,6.0,rising/peak,,NT,0.18,18.9525,19.0254,18.8284,18.6013,0.23,0.00458333,60287.4,60291.5,168.84098712857144,31.52356177142857
2023zqz,ZTF23absersl,,0.94,0.97,20.2101,19.2356,2023-12-16T04:57:12.000961,2.0,2.0,,,SN,4.7,20.0453,19.1432,19.0333,17.7926,1.24,0.041875,60288.2,60294.2,11.1676253625,75.197106
2023zrh,ZTF22aahxmto,,,,20.1601,,2023-11-12T11:49:53.999023,,,,,NT,1.2,20.1601,,18.3246,17.6323,0.69,0.0595,60260.5,60260.5,171.8658468,23.9984888
2023zrh,ZTF23abtkply,,,,19.583,,2023-12-13T11:10:17.999038,1.0,1.0,,,SN,3.07,19.583,,18.3246,17.6323,0.69,0.0595,60291.5,60291.5,171.8649666,23.9990352
2023zrq,ZTF23abtncpr,,0.63,0.63,20.1636,19.5378,2023-12-12T12:35:15.002891,2.0,2.0,rising/peak,,SN,0.75,20.1636,19.5378,19.0265,18.2791,0.75,0.005,60290.5,60290.5,158.99132459999998,-25.93863785
2023zrr,ZTF23abtlqtq,,-0.26,-0.26,19.6772,19.9335,2023-12-12T11:05:53.001602,1.0,1.0,rising/peak,,SN,1.82,19.6772,19.9335,19.082,18.0843,1.0,0.0342917,60290.4,60290.5,137.16743825,-6.8859578500000005
2023zrv,ZTF23absqtns,,,,,18.8659,2023-12-28T13:33:34.004150,26.0,10.0,,fading,NT,1.06,,18.273,19.1093,18.551,0.56,0.043,60288.6,60306.6,236.54260496216213,8.134883775675675
2023zrw,ZTF23abtgznl,,0.17,0.25,19.6465,19.401,2023-12-17T07:02:35.998092,3.0,3.0,rising/peak,,VS,0.65,19.6465,19.401,19.0556,18.0202,1.04,0.00125,60288.3,60295.3,87.721550175,-18.835902125
2023zrx,ZTF23absnpma,,0.02,0.13,19.22,19.0859,2023-12-17T07:13:39.999359,7.0,7.0,rising/peak,,VS,0.4,19.1626,19.0859,19.1493,18.1123,1.04,0.0207917,60290.2,60295.3,62.09352129285714,34.11993837142857
