tns_name,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023wnx,ZTF23abonomm,,,,,19.5505,2023-11-10T11:56:06.002876,2,2,,,SN,0.83,,19.5505,21.8307,21.6979,0.13,,60251.5,60258.5,183.60656586000002,15.34102078
2023woa,ZTF23abongjc,,-0.02,0.11,19.0699,18.9638,2023-11-15T11:10:36.998405,10,10,,fading,SN,0.09,18.821,18.9261,21.2283,20.7663,0.46,0.00416667,60248.5,60263.5,135.66187576363635,0.39565601818181817
2023wod,ZTF23abolkfv,,0.53,0.56,20.261,19.7032,2023-12-18T06:23:18.003845,2,2,,,SN,0.47,20.0868,19.5241,21.2034,21.2587,-0.06,0.00125,60287.2,60296.3,37.4472798,2.274526666666666
2023wog,ZTF23abojjzp,,0.4,0.5,20.2556,19.755,2023-11-15T02:47:37.996780,2,2,,,SN,1.54,20.0885,19.755,20.9729,20.7128,0.26,0.008125,60251.1,60263.1,317.91545970000004,8.0934528
2023wok,ZTF23abohhif,,0.61,0.56,20.3281,19.7668,2023-11-13T11:03:20.998077,6,6,,fading,SN,1.68,20.1001,19.4763,19.3516,18.7467,0.6,0.0510833,60251.4,60261.5,83.22181512222222,6.819852011111111
2023wol,ZTF23abogvvj,,0.02,0.0,19.2088,19.2046,2023-11-14T09:34:44.002578,10,10,,fading,SN,1.89,18.9661,19.0555,19.8899,19.3706,0.52,,60249.4,60262.4,70.29923178461537,-7.4913372153846165
2023woo,ZTF23abogdzb,,0.22,0.38,20.2103,19.8343,2023-11-14T05:23:01.999679,2,2,,fading,SN,0.94,19.8209,19.8343,22.2501,21.3001,0.95,0.00583333,60249.2,60262.2,0.7037927285714286,0.5141879571428571
2023wou,ZTF23aboeozn,,-0.16,-0.17,18.8997,19.0654,2023-11-15T03:27:56.998062,10,10,rising/peak,,NT,1.3,18.8149,18.9932,19.1807,19.2273,-0.05,0.0401667,60250.1,60263.1,347.20601848181815,-11.5955617
2023woz,ZTF23aboesxm,,-0.22,-0.79,18.9732,19.759,2023-12-09T02:42:28.995841,6,1,,fading,SN,1.45,18.8885,18.8572,19.379,18.6026,0.78,0.00208333,60257.2,60287.1,352.5413680125,21.1605518875
2023wpf,ZTF23abmvauh,,0.06,0.12,20.2027,20.0826,2023-11-11T04:04:22.002227,5,5,,fading,SN,3.01,19.6743,19.6741,-999.0,-999.0,0.0,0.5,60237.2,60259.2,338.291590025,14.41681405
2023wpk,ZTF23abovgrc,,,,,19.8276,2023-11-14T12:54:55.995841,7,7,,fading,NT,1.2,,19.5051,19.6719,19.0638,0.61,0.000833333,60251.5,60262.5,170.68537661,0.6092184699999998
2023wpl,ZTF23abovcmf,,0.1,0.28,19.9852,19.7004,2023-11-12T12:07:53.999038,2,2,,fading,SN,0.65,19.4232,19.6008,21.0615,20.832,0.23,0.005,60252.5,60260.5,154.94246216666667,14.0956994
2023wpm,ZTF23abovaur,SN Ib,0.67,0.94,19.1883,18.2497,2023-12-13T12:09:55.995841,5,3,,fading,NT,0.98,17.7308,17.4021,19.0504,18.8027,0.25,0.00458333,60263.5,60291.5,163.7876010142857,21.77216782857143
2023wpn,ZTF23abouzue,,,,19.2501,,2023-11-04T11:37:19.001266,1,1,,,SN,4.43,19.2501,,-999.0,-999.0,0.0,0.5,60250.5,60252.5,151.86567245,7.145672599999999
