tns_name,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023wvn,ZTF18aacfiij,,0.77,0.43,18.8108,18.3764,2023-11-10T10:51:53.003540,4,4,rising/peak,,NT,0.24,18.8108,18.3764,17.5593,17.3394,0.22,0.036375,60250.4,60258.5,135.31062572,44.948685839999996
2023wvn,ZTF18aacmwsq,,,,20.1972,,2023-12-16T09:42:05.999053,1,1,,,NT,0.5,20.1972,,17.5593,17.3394,0.22,0.036375,60292.5,60294.4,135.31074925000001,44.948695150000006
2023wvo,ZTF23abomeiu,SN Ia,0.2,0.11,18.6227,18.5115,2023-11-14T11:43:04.998703,9,9,rising/peak,,SN,2.57,18.6012,18.4993,17.7134,16.9545,0.76,0.22994,60252.5,60262.5,117.33589002222223,52.35155433333333
2023wvq,ZTF23abovvas,SN Ia,-0.26,-0.8,18.1408,18.9422,2023-12-07T03:06:47.998069,10,1,,fading,VS,0.59,17.8699,18.0661,17.9236,17.2977,0.63,0.0635,60255.2,60285.1,312.32102089,2.2244303700000003
2023wvr,ZTF18abpnsdp,,,,,19.0468,2023-11-20T03:56:47.002563,1,1,,fading,NT,0.5,,18.7694,16.942,16.5909,0.35,0.103792,60255.3,60268.2,0.4090217,-17.27237285
2023wvr,ZTF23aboaokx,,0.21,0.21,18.9754,18.7694,2023-11-07T06:03:15.998413,1,1,rising/peak,,NT,0.91,18.9754,18.7694,16.942,16.5909,0.35,0.103792,60249.1,60255.3,0.40918469999999996,-17.2726044
2023wvs,ZTF23abpndnh,,0.31,0.28,19.9662,19.6896,2023-11-14T11:56:53.998069,4,4,,,SN,2.05,19.8627,19.5989,19.436,18.588,0.85,0.0853095,60252.5,60262.5,156.3532447,36.548727785714284
2023wvt,ZTF23abpnbtq,,0.62,0.59,20.0138,19.4252,2023-12-13T11:42:27,3,2,,,SN,0.1,19.9016,19.2512,21.0952,20.496,0.6,0.0135417,60262.5,60291.5,180.27518345000001,38.362538225
2023wvu,ZTF23abpnbhg,,-0.01,-0.23,19.3385,19.5729,2023-11-15T10:13:14.001594,6,6,,fading,SN,2.0,19.3071,19.2495,18.4225,18.081,0.34,0.0370833,60255.5,60263.4,133.44254113333335,28.60567353333333
2023wvw,ZTF23abpkyhw,,0.2,0.06,19.77,19.7129,2023-11-12T03:37:12.999351,2,2,,fading,SN,4.32,19.7118,19.2322,20.6838,20.0215,0.66,0.0430833,60249.1,60260.2,274.68617668,41.27059954
2023wvx,ZTF23aboauiy,,0.17,0.37,20.2383,19.8668,2023-11-14T03:39:57.003852,9,9,,fading,SN,0.68,19.9588,19.7742,20.1902,19.6062,0.58,0.00458333,60249.1,60262.2,315.6724200666667,24.124632775
