TNS_ID,ZTF_ID,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023vez,ZTF23abjunlm,SN Iax[02cx-like],1.55,1.81,19.897,18.0909,2023-12-12T05:36:03.997451,3,1,,fading,SN,4.65,19.0323,17.7307,18.6929,18.1471,0.55,0.057625,60262.2,60290.2,5.078612,-14.5387198
2023vfa,ZTF23ablhyke,,0.21,0.34,20.6966,20.3538,2023-11-11T05:33:02.998069,5,3,,fading,SN,2.35,19.9095,19.5535,20.5271,20.0669,0.46,0.0124167,60233.2,60259.2,356.07904183846154,-0.9377637384615384
2023vfj,ZTF23ablauwx,,-0.09,0.12,20.4442,20.3214,2023-10-21T11:58:20.000625,3,3,,,SN,0.46,20.2667,20.3214,21.7795,21.3028,0.48,,60232.5,60238.5,126.96138254285717,26.83569447142857
2023vfl,ZTF23abkybou,,,,20.5523,,2023-10-17T08:22:29.997116,1,1,,,SN,1.26,20.5523,,20.1428,19.4551,0.69,,60234.3,60234.3,25.2269406,16.3036063
2023vfr,ZTF23abkuepl,,,,20.0985,,2023-10-21T06:28:29.000625,3,3,,fading,SN,1.44,19.8482,,18.5357,17.9088,0.63,0.0206667,60234.2,60238.3,10.955687033333334,1.4917641333333336
2023vfs,ZTF23abktpit,,,,20.2007,,2023-10-17T04:33:52.001274,1,1,,,SN,0.68,20.2007,,21.7194,21.4397,0.28,0.0637619,60232.2,60234.2,343.21286165,-10.4574779
2023vfu,ZTF23abkteon,,0.33,0.26,20.4416,20.1803,2023-11-04T04:14:32.997100,2,1,,fading,SN,2.23,19.768,19.6332,19.6608,18.8448,0.82,0.0104167,60230.3,60252.2,329.0529080842105,44.21169858421053
2023vga,ZTF23abjrerh,,0.19,0.21,20.3691,20.1587,2023-11-14T11:46:32.998062,15,6,,fading,VS,0.37,19.4358,19.2964,20.2174,19.6777,0.54,0.035625,60232.5,60262.5,129.98421625789473,64.54392724210527
2023vgb,ZTF23abjkptg,,0.3,0.41,20.5428,20.136,2023-10-19T08:16:15.003860,1,1,,,SN,1.96,20.5366,20.136,-999.0,20.9174,-1019.92,0.020625,60230.4,60236.3,25.53302426,17.708015760000002
2023vgc,ZTF23abjkovl,,0.1,-0.19,19.2502,19.4436,2023-10-22T03:42:49.000305,7,7,rising/peak,,SN,0.55,19.2502,19.4436,20.1648,19.9108,0.25,0.011,60230.1,60239.2,257.1026504375,30.3543565
2023vgd,ZTF23abjeyvi,,0.15,0.6,20.485,19.8898,2023-11-07T06:05:59.000625,9,3,,fading,SN,0.71,19.3515,19.4651,21.0711,20.7907,0.28,,60231.2,60255.3,343.83409684583336,-19.06208037083333
