TNS_ID,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023xoa,ZTF23abqicnx,,0.21,0.25,20.1519,19.901,2023-12-12T04:12:12.000961,9,3,,fading,NT,1.34,19.9361,19.631,19.0946,19.0018,0.09,0.0570833,60260.2,60290.2,19.36124517777777,14.060542455555556
2023xob,ZTF23abqimmw,,-0.07,0.02,19.1242,19.1033,2023-12-17T06:32:24,9,8,rising/peak,,SN,0.55,19.1051,19.1033,19.0463,19.044,0.0,0.00641667,60268.2,60295.3,26.196070711111112,16.017979033333333
2023xod,ZTF23abnkhub,SN Ia,-0.9,-0.86,18.7407,19.6045,2023-12-09T11:33:31.000328,2,1,,,SN,0.88,18.6653,19.6045,21.8695,-999.0,1020.87,0.00375,60260.5,60287.5,180.9355881666667,35.66725293333334
2023xoe,ZTF23abqkvir,,,,20.4782,,2023-12-16T10:57:08.000625,1,1,,,NT,0.23,20.4782,,18.2684,17.8002,0.47,0.045,60294.5,60294.5,124.865062,23.2993312
2023xof,ZTF23abpykix,,0.43,0.43,20.1587,19.7276,2023-11-14T11:38:46.999664,7,7,rising/peak,,SN,4.59,20.1587,19.7276,18.4927,17.3621,1.13,0.162792,60258.4,60262.5,75.269057975,12.5576955875
2023xok,ZTF23abqgigl,,0.51,0.33,19.7044,19.3739,2023-11-14T12:48:57.997421,4,4,rising/peak,,SN,2.7,19.7044,19.3739,19.7558,19.4904,0.27,0.0060119,60255.5,60262.5,140.51822176666667,18.11109
2023xol,ZTF23abpzwju,,0.28,0.37,20.1494,19.7809,2023-11-14T12:30:07.004158,3,3,,,SN,31.44,19.9916,19.7809,20.0762,19.5239,0.55,0.00766667,60256.5,60262.5,135.56985131666667,8.621536766666667
2023xoo,ZTF23abfvoig,SN II,0.38,0.85,17.9336,17.0802,2023-12-27T04:07:23.001609,7,2,,fading,SN,1.2,17.1468,16.9059,18.4886,18.2401,0.25,0.133845,60287.1,60305.2,28.1869489375,-3.3989318
2023xoy,ZTF18aahhvws,,1.36,1.23,19.1155,17.8846,2023-11-04T11:44:47.996177,1,1,,fading,AGN,0.64,19.1155,17.6476,16.9271,16.0737,0.85,0.182774,60234.5,60252.5,176.842311175,35.01875295
2023xoy,ZTF23abpnlyv,,0.6,0.67,18.8751,18.2094,2023-12-09T11:33:31.000328,2,1,,,AGN,0.86,18.8122,18.2094,16.9271,16.0737,0.85,0.182774,60260.5,60287.5,176.8425557,35.019003275
2023xoz,ZTF23abptxcv,,-0.07,-0.02,19.4382,19.4566,2023-11-12T11:49:53.999023,1,1,,,SN,0.28,19.3424,19.4566,21.9904,21.7353,0.26,,60257.5,60260.5,172.8691438,26.554413033333333
2023xpd,ZTF23abqmeoe,,,,20.0222,,2023-12-16T09:47:10.999694,1,1,,,SN,2.5,20.0222,,17.9478,17.5812,0.37,0.0470833,60293.5,60294.4,134.59146565,30.33387945
2023xpe,ZTF23abqmczh,,0.08,0.14,20.1021,19.966,2023-11-14T11:30:35.003540,1,1,rising/peak,,SN,6.14,20.0236,19.966,-999.0,20.4215,-1019.42,0.387908,60258.5,60262.5,158.80882528,52.79001298000001
2023xpf,ZTF23abqmcch,,0.29,0.64,20.1289,19.4873,2023-12-13T12:08:34.002243,5,3,,fading,SN,3.11,19.0842,19.3847,-999.0,19.6789,-1018.68,0.5,60262.4,60291.5,160.99166558,22.3369958
2023xpg,ZTF23abqknlu,,0.66,0.7,21.0389,20.3402,2023-11-12T09:14:34.998710,1,1,,,SN,1.42,20.955,20.3402,20.8112,19.99,0.82,0.00166667,60254.5,60260.4,128.8736364,44.0474714
2023xph,ZTF23abqipcy,,0.21,0.26,19.63,19.3688,2023-11-20T04:03:21.003845,2,2,rising/peak,,SN,2.92,19.63,19.3688,21.1991,21.2125,-0.01,0.5,60258.3,60268.2,12.915655859999998,-5.20097424
2023xpi,ZTF23abqidro,,0.59,0.59,21.2314,20.6438,2023-11-12T05:08:59.997123,1,1,rising/peak,,SN,2.37,21.2314,20.6438,21.22,21.0283,0.19,,60255.2,60260.2,22.9393489,17.878876599999998
2023xpm,ZTF23abqemoa,,0.78,0.93,21.0923,20.1609,2023-12-15T09:22:32.998092,3,3,,fading,SN,4.3,20.2908,19.8253,-999.0,-999.0,0.0,0.5,60287.2,60293.4,104.59685214285714,67.80516974285715
2023xpo,ZTF23abpnlqe,,,,19.3697,,2023-11-12T11:46:28.004165,1,1,,,SN,5.43,19.3697,,20.5485,20.7464,-0.2,0.001875,60260.5,60260.5,183.2874873,54.750515
2023xpp,ZTF21acqwbsn,SN Ia,-0.0,-0.04,18.5465,18.5892,2023-11-15T11:32:55.999671,5,5,rising/peak,,NT,0.02,18.5454,18.5892,18.2952,17.4103,0.88,0.0227917,60258.5,60263.5,132.15036216,9.11895358
2023xpr,ZTF23abqaasl,,,,,19.0158,2023-11-12T13:08:13.001296,2,2,,,NT,1.23,,19.0158,19.2293,18.2375,0.99,0.00875,60258.5,60260.5,187.40056543333333,-3.7122382
