TNS_ID,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2021ahzq,ZTF21abowuoq,,-0.0,-0.11,20.2399,20.3479,2021-08-01T04:28:49.998733,4,4.0,,fading,SN,0.32,20.0233,20.0586,21.4592,20.9645,0.49,0.00183333,59410.2,59427.2,240.2319241,56.53115948
2021ahzr,ZTF21abtoqij,,0.48,0.45,20.9632,20.5092,2021-09-10T09:47:33.999366,11,6.0,,fading,SN,1.75,20.3346,19.8288,19.641,18.6797,0.96,0.03775,59440.4,59467.4,53.04485279166666,26.98118375
2021ahzs,ZTF21abutvjt,,0.33,0.52,20.8331,20.314,2021-09-09T03:38:00.000953,4,3.0,,fading,NT,0.78,19.9179,19.71,-999.0,-999.0,0.0,0.5,59436.2,59466.2,249.70471835625,27.872799375
2021ahzt,ZTF21abvqzuu,,0.16,0.18,20.4213,20.2435,2021-09-09T03:47:33.999366,3,3.0,,,SN,1.29,20.2353,20.2165,19.9552,19.8913,0.06,0.003875,59452.2,59466.2,260.3960852750001,64.32893488333335
2021ahzw,ZTF21abvufbg,,0.41,0.33,20.562,20.2363,2021-09-04T07:26:14.997116,2,2.0,rising/peak,,SN,0.48,20.562,20.1969,21.6189,21.1141,0.5,0.005,59438.4,59461.3,331.4549023,0.6170902125
2021ahzz,ZTF21abxabce,,0.05,0.01,20.3722,20.359,2021-10-01T07:12:32.002548,5,2.0,,fading,SN,1.71,19.9803,19.996,21.2731,21.3346,-0.06,0.5,59460.4,59488.3,18.67581892666666,16.013473700000002
2021aiab,ZTF21abxcqfx,,0.06,0.11,20.5696,20.4553,2021-09-11T08:04:21.002861,1,1.0,,,SN,0.96,20.4889,20.3537,21.5331,21.3021,0.23,0.024875,59458.4,59468.3,0.5440744666666668,-10.330722922222224
2021aiaf,ZTF21abxyydw,,0.68,0.85,21.3688,20.5173,2021-11-13T10:42:34.997756,1,1.0,,fading,SN,1.62,20.7887,20.1577,20.7038,20.4293,0.27,,59503.5,59531.4,122.95335563636364,42.11813312727273
2021aiai,ZTF21acblsec,,0.2,0.13,20.5857,20.4574,2021-09-12T09:43:13.002227,5,5.0,rising/peak,,SN,0.24,20.5709,20.36,19.9608,19.3134,0.65,0.00654167,59459.4,59469.4,47.625609744444446,4.95123931111111
2021aiaj,ZTF21aceylki,,0.11,0.44,20.9997,20.5551,2021-10-31T07:16:44.999038,3,,,fading,SN,1.71,20.0051,19.9227,21.3128,20.3761,0.94,0.005875,59488.3,59518.3,21.36071224,34.65466864
2021aiak,ZTF21acguaop,,0.0,-0.35,20.2515,20.6032,2021-11-04T11:09:54.999359,1,,,fading,SN,3.89,19.9956,19.768,-999.0,-999.0,0.0,0.5,59496.5,59522.5,136.0701454384615,39.40364997692309
