TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2024eej,ZTF24aagsmgp,,15.644286525435746,-0.53,-0.53,18.7441,19.2729,2024-03-11T06:30:15.998397,2.0,2.0,rising/peak,,SN,4.79,18.7441,19.2729,22.1428,20.9092,1.23,0.5,60374.4,60380.3,152.80055725,-1.1876638
2024edx,ZTF24aagykti,,6.681300425436348,-0.18,-0.47,19.3987,19.8715,2024-03-11T06:29:35.001594,1.0,1.0,rising/peak,,NT,0.28,19.3987,19.8715,20.412,20.003,0.41,0.0835833,60374.4,60380.3,154.7375351,1.662894475
2019aauv,ZTF19acfzwva,,11.733198625501245,0.25,0.29,20.2565,19.9673,2024-03-09T03:50:40.001296,,,,fading,ORPHAN,0.0,20.0668,19.7223,16.9577,16.4762,0.48,0.996458,60352.3,60378.2,119.11986798888887,82.7977749
2024eeh,ZTF22aarkmqg,,15.665976425632834,-0.06,0.37,19.3071,18.9377,2024-03-05T12:28:07.003204,4.0,2.0,rising/peak,,AGN,0.07,19.3071,18.9377,19.0172,18.9136,0.1,0.9695,60353.5,60374.5,218.24042144999999,-18.02646575
2018mmv,ZTF18adilycd,,26.746335125528276,0.44,0.6,20.8131,20.2171,2024-02-14T08:40:43.000320,,,rising/peak,,SN,3.28,20.8131,20.2171,21.6971,21.3983,0.3,0.0292917,60324.4,60354.4,150.06691125,67.000427375
2018mmv,ZTF18acvvxge,,849.6562310256995,0.75,0.8,21.158,20.3543,2021-11-13T09:47:12.001937,,,,fading,SN,3.38,20.8187,20.1576,21.6971,21.3983,0.3,0.0292917,59511.4,59531.4,150.06693734444443,67.00042803333332
2024edy,ZTF24aahbwis,,6.683661525603384,,,19.1968,,2024-03-11T06:34:25.996803,1.0,1.0,,,SN,4.22,19.1968,,-999.0,-999.0,0.0,0.608696,60380.3,60380.3,157.5151074,-2.503254
2024ees,ZTF24aahalmb,,6.621369925327599,,,18.4564,,2024-03-11T06:44:37.000328,1.0,1.0,,,NT,0.28,18.4564,,19.3825,19.493,-0.11,0.00591667,60380.3,60380.3,188.1758078,14.5409961
2024eet,ZTF24aahbsbf,,6.679413925390691,,,19.9428,,2024-03-11T06:26:42.996498,1.0,1.0,,,SN,2.15,19.9428,,20.1484,19.6123,0.54,,60380.3,60380.3,153.7176713,27.7141019
2024eeu,ZTF24aahbjtb,,6.784807425457984,,,20.0751,,2024-03-11T06:12:37.002250,1.0,1.0,,,SN,0.38,20.0751,,20.9931,20.1538,0.84,,60380.3,60380.3,127.2182402,47.265957
2024eev,ZTF24aagszql,,6.66594162536785,,,19.7127,,2024-03-11T07:29:23.997138,1.0,1.0,,,SN,0.77,19.7127,,20.7141,20.634,0.08,0.5,60374.4,60380.3,179.14025525,11.6257578
2024eew,ZTF24aagkorj,,6.600339825730771,,,19.3923,,2024-03-11T07:21:25.997756,2.0,2.0,,fading,AGN,1.48,19.0211,,18.9849,18.4284,0.56,0.026125,60374.3,60380.3,182.30683415,60.70566335
2024eex,ZTF24aagtkrn,,6.665467125363648,,,19.7747,,2024-03-11T07:28:01.001289,2.0,2.0,,,SN,2.8,19.7747,,21.2307,-999.0,1020.23,0.5,60374.4,60380.3,177.65291485,21.98396405
