TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2024muv,ZTF22aagwtjb,SN Ia,385.86147177312523,-0.52,-0.52,16.0466,16.57,2023-06-07T06:56:46.000312,,,rising/peak,,SN,2.85,16.0466,16.57,13.3906,13.092,0.3,0.7085,60081.3,60102.3,192.25946465,-8.66423
2024mvp,ZTF24aatgswg,,3.7013213732279837,-0.29,-0.29,19.753,20.0466,2024-06-26T10:37:44.996147,1.0,1.0,rising/peak,,SN,1.95,19.753,20.0466,21.7322,21.7418,-0.01,0.5,60487.4,60487.4,317.09066429999996,16.430424000000002
2024mwg,ZTF24aatdqht,,2.7910203733481467,-0.14,-0.14,20.0799,20.2207,2024-06-26T05:33:54.000007,1.0,1.0,rising/peak,,SN,2.11,20.0799,20.2207,19.8699,18.9615,0.91,0.00395833,60485.3,60487.2,240.4480424,21.91025345
2024mwu,ZTF24aaqucwn,,15.692629172932357,0.18,-0.02,20.1337,20.1534,2024-06-12T07:38:34.995841,6.0,6.0,rising/peak,,NT,1.31,20.1288,20.1534,19.9651,19.0292,0.94,0.0141667,60462.3,60473.3,227.33720154285712,21.181891514285716
2024mvd,ZTF24aatdjua,,4.770210273098201,-0.07,0.05,18.3613,18.3127,2024-06-26T07:05:15.000007,2.0,2.0,,fading,AGN,1.1,18.1334,18.3127,17.1046,16.1922,0.91,0.19844,60485.2,60487.3,217.3888492,-9.561294933333334
2023adwu,ZTF21abglgjc,,5.673092172946781,0.68,0.53,19.6785,19.1443,2024-06-23T07:56:11.996139,6.0,6.0,rising/peak,,NT,0.39,19.6785,19.1443,18.4405,17.7512,0.69,0.5,60472.2,60484.3,226.24348811666667,1.5814248166666667
2024mvs,ZTF24aarxsfa,,3.650187073275447,0.33,0.62,20.0239,19.4075,2024-06-26T09:50:45.997436,6.0,5.0,rising/peak,,SN,0.92,20.0239,19.4075,19.938,19.4844,0.45,0.0277143,60470.4,60487.4,315.46296373,-16.00702673
2024mwq,ZTF24aapflrm,,7.806263473350555,0.53,0.74,20.6804,19.938,2024-06-19T08:15:47.001594,17.0,11.0,,fading,SN,0.37,20.2169,19.8085,19.6436,19.0602,0.58,,60457.3,60480.3,255.84078572352942,37.37682745882353
2024mut,ZTF24aatdvad,,2.7035319730639458,,,19.4965,,2024-06-26T05:56:41.003532,1.0,1.0,,,SN,0.83,19.4965,,20.4681,20.1023,0.37,,60481.2,60487.2,206.8602867,54.15147663333334
2024muv,ZTF19aakrtna,SN Ia,408.7505111731589,,,,16.57,2023-05-17T06:56:40.997764,,,,,VS,1.05,,16.57,13.3906,13.092,0.3,0.7085,60081.3,60081.3,192.2594242,-8.6643651
2024muv,ZTF24aatbpbr,SN Ia,2.810788973234594,,,14.1897,,2024-06-26T05:27:40.000305,1.0,1.0,,,SN,4.16,14.1897,,13.3906,13.092,0.3,0.7085,60487.2,60487.2,192.2602601,-8.6642003
2024mux,ZTF24aatdnmf,,2.8606152730062604,,,19.1757,,2024-06-26T05:23:35.998085,1.0,1.0,,,SN,94.64,19.1757,,20.2581,19.8858,0.37,0.5,60481.2,60487.2,190.5697272,10.541959766666666
2024muy,ZTF24aatdltx,,2.726992673240602,,,19.5781,,2024-06-26T05:14:37.000328,1.0,1.0,,,NT,0.52,19.5781,,20.5466,19.9196,0.63,0.00291667,60478.2,60487.2,216.33357316666664,62.964349366666674
2024mvk,ZTF24aatclmh,,4.594886173028499,,,19.5771,,2024-06-25T10:57:41.999031,1.0,1.0,,,SN,4.45,19.5771,,17.8853,17.3829,0.5,0.050625,60486.5,60486.5,346.0083091,34.0144007
2024mvr,ZTF24aatgqum,,3.6482773730531335,,,,19.6705,2024-06-26T10:06:45.996498,1.0,1.0,,,SN,2.09,,19.6705,21.7001,21.2432,0.46,,60477.4,60487.4,324.77259346,4.15265266
2024mvz,ZTF24aasteui,,,,,18.3842,,2024-06-20T10:34:55.997749,1.0,1.0,,,VS,0.16,18.3842,,19.7422,19.1128,0.63,0.00125,60481.4,60481.4,355.1159018,-7.014333
2024mwj,ZTF24aasbqfn,,14.577409273013473,,,,19.4073,2024-06-14T11:04:37.004142,1.0,1.0,,,SN,0.71,,19.4044,19.6397,18.5622,1.08,0.02275,60473.5,60475.5,33.202907,25.08257455
