TNS_ID,ZTF_ID,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2018mkr,ZTF18aciijnz,,0.67,0.07,19.5914,19.5173,2023-11-04T02:39:18.000015,13.0,3.0,,fading,VS,0.92,18.9474,18.1061,17.2284,16.5948,0.63,0.0729881,60227.2,60252.1,322.0315893384616,-1.5950386846153846
2023vgj,ZTF23ablaxoz,,-0.07,0.45,19.4405,18.9915,2023-11-10T11:05:50.997100,10.0,6.0,,fading,SN,3.05,18.0512,18.0675,17.8983,17.0066,0.89,0.0715714,60234.5,60258.5,138.38734571999998,-3.39126432
2023vgo,ZTF23abhcvbs,,,,,19.8314,2023-10-22T12:08:37.000335,9.0,3.0,,fading,NT,1.0,,19.2394,19.7896,18.9678,0.82,0.043375,60213.5,60239.5,153.082427025,22.6091474
2023vgv,ZTF23abmzcuf,,,,20.3429,,2023-10-22T11:54:41.996170,1.0,1.0,,,SN,2.45,20.3429,,19.61,18.7989,0.81,,60239.5,60239.5,147.6929579,14.2348675
2023vhi,ZTF23abiacbu,,-0.1,-0.05,19.7766,19.8248,2023-10-17T03:16:44.002563,5.0,5.0,,fading,SN,3.83,19.5084,19.5506,19.9811,19.7918,0.19,0.00333333,60222.1,60234.1,243.7834719142857,54.24364694285715
2023vhk,ZTF23abiearq,SN Ia,0.81,0.55,20.4241,19.8728,2023-12-18T10:15:06.001914,1.0,1.0,,fading,SN,2.3,20.4241,19.2947,19.4586,19.2035,0.26,0.00591667,60287.5,60296.4,151.23473585000002,27.481715025
2023vhp,ZTF23abhpogt,,1.16,0.53,20.6022,20.0721,2023-11-12T10:29:16.998703,3.0,3.0,,fading,SN,0.7,20.6022,19.1139,20.3749,20.0939,0.28,,60244.5,60260.4,166.42538826,32.42862066
2023vhq,ZTF23ablmvdi,,,,,20.0601,2023-10-18T12:32:48.001914,1.0,1.0,,,SN,0.56,,20.0289,20.9713,20.0762,0.9,0.0025,60235.5,60235.5,159.86297159999998,12.8131428
2023vhr,ZTF23ablmrep,,0.12,0.59,20.1019,19.5103,2023-11-14T12:50:24.000015,10.0,5.0,,fading,SN,2.56,19.0279,18.8492,-999.0,-999.0,0.0,0.5,60235.5,60262.5,158.46524346923076,17.382900069230768
2023vht,ZTF23ablimhl,SN Ia,0.25,0.76,20.2068,19.4429,2023-11-20T04:15:11.998100,15.0,6.0,,fading,SN,1.8,18.5517,18.5107,18.6895,18.0536,0.64,0.00125,60239.3,60268.2,19.299689282608696,-18.671698726086955
2023vhu,ZTF23ablgmvo,,0.11,0.23,19.9849,19.7575,2023-11-07T03:32:57.998405,9.0,5.0,,fading,SN,3.67,19.2468,19.4876,19.5346,18.6121,0.92,0.01275,60231.2,60255.1,339.2138765727272,-13.009037890909092
2023vhx,ZTF23ablfjyy,,0.17,0.18,20.2439,20.0683,2023-11-06T04:50:52.998718,4.0,1.0,,fading,SN,0.64,20.0148,19.7647,-999.0,21.9559,-1020.96,0.00166667,60233.1,60254.2,330.1702402263158,-3.035718889473684
2023vhy,ZTF23ablffia,,0.12,0.05,20.3843,20.3365,2023-12-07T03:04:40.998718,2.0,1.0,,fading,SN,4.11,20.2536,20.0699,19.7966,19.3142,0.48,,60257.2,60285.1,338.8075733,3.3211602000000005
2023vhz,ZTF23ablfezf,,,,20.1763,,2023-10-22T04:22:26.002540,3.0,3.0,,,SN,0.04,20.0549,,20.8328,19.9697,0.86,0.00625,60231.2,60239.2,320.611184325,-12.727123424999998
2023vib,ZTF23ableyra,,0.2,0.41,20.426,20.0199,2023-11-07T03:37:07.003211,,,,fading,SN,16.42,20.0629,20.0199,21.3021,-999.0,1020.3,0.5,60233.2,60255.2,300.31072002,-9.4453961
2023vie,ZTF23abkjoke,,0.14,0.34,20.5837,20.2475,2023-10-22T08:09:15.998405,5.0,5.0,,,SN,0.59,20.4782,20.19,21.6066,21.0805,0.53,,60231.3,60239.3,352.4150713222223,21.32740587777777
2023vif,ZTF23abkjgvr,,0.44,0.91,20.2145,19.3009,2023-11-12T02:48:42.001907,17.0,8.0,,fading,SN,0.47,18.9548,18.6566,18.5722,17.5978,0.97,0.00708333,60233.2,60260.1,290.55548356,44.33070146
2023vih,ZTF23aabjgwg,,,,,20.0123,2023-01-27T07:38:07.002227,,,,,SN,3.73,,20.0123,19.0082,18.3679,0.64,0.5,59971.3,59971.3,106.4697923,26.5089602
2023vih,ZTF23abjygmj,,0.38,0.59,20.4303,19.8372,2023-11-11T11:00:26.997131,15.0,5.0,,fading,SN,0.8,19.4251,19.1293,19.0082,18.3679,0.64,0.5,60231.5,60259.5,106.46885759333333,26.50899964
2023vij,ZTF23ablfljy,,0.08,0.14,20.2089,20.0678,2023-11-06T04:50:52.998718,7.0,3.0,,fading,SN,4.42,19.4629,19.456,19.2871,18.4075,0.88,,60233.2,60254.2,333.70907938333335,-3.284153275
