TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2024lbf,ZTF24aarrxub,,2.7558758426457644,-0.38,-0.37,19.7574,20.1297,2024-06-12T05:57:01.998710,1.0,1.0,rising/peak,,SN,0.42,19.7574,20.1297,21.7139,21.6858,0.03,0.00125,60469.2,60473.2,215.95818255,-0.9622328750000001
2024lby,ZTF24aarvbxj,,2.6756675424985588,-0.31,-0.31,17.877,18.1862,2024-06-12T11:31:34.999671,2.0,2.0,rising/peak,,SN,2.99,17.877,18.1862,17.7406,-999.0,1016.74,0.5,60473.4,60473.5,305.6699233,-8.1783288
2024law,ZTF24aaovbpf,,18.76254254253581,-0.08,-0.3,19.6432,19.9464,2024-06-01T05:46:47.003540,2.0,2.0,,,SN,1.86,19.6432,19.9015,19.8766,-999.0,1018.88,0.5,60457.2,60462.2,157.749848775,58.090927150000006
2024lbk,ZTF24aargzak,,4.634105042554438,-0.23,-0.24,19.5877,19.8288,2024-06-12T07:34:31.995826,2.0,2.0,,,SN,3.25,19.5877,19.8018,21.1101,20.8864,0.22,0.00125,60471.3,60473.3,231.86081006666666,0.5074878666666667
2024laj,ZTF24aaqzmxj,,9.635320342611521,-0.09,-0.12,19.7207,19.8396,2024-06-11T10:27:05.999053,3.0,3.0,rising/peak,,SN,1.49,19.7207,19.8396,19.9585,19.6472,0.31,0.00229167,60470.4,60472.4,262.7641068,9.194006375
2024lam,ZTF24aarayhz,,10.77036664262414,0.01,-0.05,19.5239,19.574,2024-06-12T05:54:19.998703,3.0,3.0,rising/peak,,SN,9.2,19.5239,19.574,-999.0,21.2176,-1020.22,0.5,60469.2,60473.2,210.31997115,9.702824633333334
2024lcm,ZTF24aardmeg,,10.643121242523193,0.0,0.01,19.3125,19.3032,2024-06-12T10:31:46.004173,3.0,3.0,rising/peak,,SN,0.36,19.3125,19.3032,21.9531,22.0038,-0.05,0.0108333,60470.4,60473.4,316.658473025,-6.712582525000001
2024lbp,ZTF24aarbmwj,,10.78617684263736,0.28,0.02,20.3057,20.2837,2024-06-11T07:44:42.999351,3.0,3.0,rising/peak,,SN,33.85,20.3057,20.2837,21.4986,20.5352,0.96,0.00354167,60463.3,60472.3,234.98196193333334,45.38772376666666
2024kzw,ZTF24aarqmlc,,11.588005542755127,0.02,0.02,19.2267,19.2076,2024-06-11T10:04:30.996467,2.0,2.0,rising/peak,,SN,8.04,19.2267,19.2076,18.3506,17.4316,0.92,0.03625,60472.4,60472.4,321.38509815,-12.09226435
2024lay,ZTF24aaouwlm,,18.768213842529804,-0.04,0.04,19.881,19.8406,2024-06-01T05:09:45.002876,4.0,4.0,,fading,SN,0.03,19.5091,19.8406,21.2234,20.5571,0.67,,60451.2,60462.2,161.52855218888888,2.205646422222222
2024lax,ZTF24aapvafi,,21.76005414268002,0.11,0.16,19.9148,19.7549,2024-06-01T05:47:28.000335,2.0,2.0,rising/peak,,UNCLEAR,0.55,19.9148,19.7549,-999.0,19.9023,-1018.9,0.5,60456.3,60462.2,160.8825487,47.063029933333326
2024lci,ZTF24aaqjvhv,,16.612079542595893,0.08,0.16,20.2433,20.0873,2024-06-03T10:04:11.997131,1.0,1.0,rising/peak,,SN,4.02,20.2433,20.0873,19.6782,18.7792,0.9,0.0219583,60462.4,60464.4,328.73384830000003,-4.890686066666667
2024lbl,ZTF24aaiwcpt,,22.61881574243307,0.4,0.27,18.9713,18.7045,2024-06-12T08:47:49.004165,20.0,12.0,rising/peak,,AGN,0.09,18.9713,18.7045,17.2991,17.8407,-0.54,0.5,60447.4,60473.4,241.15103575999996,43.87984145
2024lav,ZTF24aaosqjq,,2.738352742511779,0.03,0.44,20.3339,19.8947,2024-06-12T05:28:43.003181,6.0,5.0,,fading,SN,193.23,19.605,19.8947,-999.0,20.7284,-1019.73,0.5,60455.3,60473.2,215.44756622222224,16.341276933333333
2024lbz,ZTF24aarqnwt,,13.613503242842853,0.42,0.44,20.6446,20.2064,2024-06-11T09:26:00.003852,1.0,1.0,rising/peak,,SN,0.32,20.6446,20.1961,22.0683,21.6993,0.37,0.00333333,60463.4,60472.4,319.4932974,6.01016
2024lar,ZTF24aarecvo,,3.679475442506373,0.87,0.56,19.309,18.7484,2024-06-11T10:12:28.995841,3.0,3.0,rising/peak,,VS,1.27,19.309,18.7484,17.3389,16.9082,0.43,0.0895714,60470.4,60472.4,291.63068846666664,62.75909146666667
2024lck,ZTF24aaotsxc,,0.8565124426968396,0.41,0.56,20.5421,19.9816,2024-06-12T05:38:19.999687,5.0,3.0,,fading,SN,0.26,20.0412,19.7311,22.2536,22.0576,0.2,0.0025,60456.3,60473.2,206.28201986666667,-3.0033032333333334
2024lcn,ZTF24aarvfkq,,9.604151342529804,0.51,0.67,20.7611,20.0925,2024-06-12T09:56:13.997749,1.0,1.0,rising/peak,,SN,0.57,20.7611,20.0925,21.7821,21.9404,-0.16,,60462.4,60473.4,330.41842137500004,3.62792895
2024lba,ZTF24aaonabl,,3.684741642791778,0.25,0.93,20.5918,19.6646,2024-06-09T10:05:04.001274,4.0,3.0,,fading,SN,5.6,19.6328,19.6646,-999.0,-999.0,0.0,0.5,60449.4,60470.4,313.1382520285714,3.9431740142857143
2024kzt,ZTF24aarrmvi,,2.575297142844647,,,,19.6362,2024-06-12T11:09:23.999046,2.0,2.0,,,SN,8.02,,19.5231,-999.0,-999.0,0.0,0.5,60468.5,60473.5,35.020439725,41.09458024999999
2024kzu,ZTF24aarqrkn,,9.604614342562854,,,,20.2298,2024-06-11T09:26:39.998405,1.0,1.0,,,SN,3.21,,20.2298,22.2255,21.2709,0.95,0.134214,60472.4,60472.4,322.6887459,4.8147165
2024kzv,ZTF24aarqqhy,,9.604614342562854,,,,19.4892,2024-06-11T09:26:39.998405,1.0,1.0,,,SN,2.39,,19.4892,19.4655,18.6445,0.82,0.0317083,60472.4,60472.4,321.7498386,5.61766
2024lac,ZTF24aaronqk,,3.6729476428590715,,,20.1334,,2024-06-11T07:13:04.998703,1.0,1.0,,,SN,4.19,20.1334,,21.1189,19.6261,1.49,0.5,60470.2,60472.3,232.82658615,45.18425605
2024lad,ZTF24aarmyqx,,3.7730055428110063,,,20.082,,2024-06-11T05:02:37.996780,2.0,2.0,,,SN,3.04,20.082,,19.6402,18.3936,1.25,0.15997,60470.2,60472.2,241.06388675,-8.33821175
2024lag,ZTF24aaqwqnn,,1.5836883424781263,,,,19.7589,2024-06-11T11:12:43.997756,2.0,2.0,,,SN,1.08,,19.7422,19.262,18.9993,0.26,0.0382083,60468.5,60472.5,33.9045117,30.23002245
2024lal,ZTF24aaqzkky,,0.7587925428524613,,,19.1533,,2024-06-12T07:40:38.003540,4.0,4.0,,,SN,4.52,19.1533,,19.4482,19.1605,0.29,0.000833333,60469.3,60473.3,213.94013834999998,41.65834135
2024lao,ZTF24aapwrfb,,2.767149042803794,,,19.7362,,2024-06-12T05:21:12.997451,2.0,2.0,,,SN,0.75,19.7362,,-999.0,19.7248,-1018.72,0.5,60460.3,60473.2,214.24635772000002,26.96966618
