tns_name,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2020afgh,ZTF20acpxtoc,,0.8,0.82,19.4266,18.6053,2023-12-13T10:15:46.998710,8.0,5.0,,fading,AGN,0.5,18.8201,18.3197,18.385,17.6234,0.76,0.0559167,60261.5,60291.4,172.62316985,63.77238889
2022aeqv,ZTF18acwazdx,,-0.47,-0.25,17.9325,18.1793,2023-12-18T06:12:23.999023,5.0,5.0,,fading,AGN,0.19,17.5581,18.1793,16.5117,16.4284,0.08,0.0753333,60284.2,60296.3,49.952341999999994,-26.453438700000003
2022aeqv,ZTF18adpqucj,,,,18.5944,,2023-12-28T04:02:05.999984,6.0,2.0,,fading,AGN,0.96,17.5581,,16.5117,16.4284,0.08,0.0753333,60284.2,60306.2,49.95236371666667,-26.453535799999997
2022aeqv,ZTF23abnsadm,,-0.38,-0.44,17.7412,18.1793,2023-12-10T05:54:09.000015,5.0,2.0,,,VS,1.47,17.6533,18.075,16.5117,16.4284,0.08,0.0753333,60258.3,60288.2,49.952354066666665,-26.453450833333335
2023wtp,ZTF23abokzba,SN Ia,1.37,1.19,20.2048,19.015,2023-12-13T05:50:58.004150,5.0,4.0,,fading,SN,1.78,19.8597,18.0962,18.572,18.052,0.52,0.0297917,60261.5,60291.2,74.25578370000001,0.0739948
2023wtr,ZTF23abnxazt,,0.29,0.33,19.0495,18.7178,2023-11-13T11:25:06.000976,9.0,9.0,rising/peak,,AGN,0.33,18.9706,18.673,18.6355,17.7668,0.87,0.020625,60250.4,60261.5,134.64546633999998,7.0425244
2023wts,ZTF23abnydbs,SN Ia,,,,18.4194,2023-11-04T07:56:07.002243,2.0,2.0,,,SN,1.01,,18.4194,18.3423,17.7393,0.6,0.0245,60250.3,60252.3,6.82558475,3.6125926
2023wtt,ZTF23abmegdb,,0.56,0.34,19.7292,19.3875,2023-11-09T09:39:35.999984,10.0,7.0,,fading,NT,0.34,19.4354,18.8884,18.5619,17.5267,1.04,0.0596548,60237.4,60257.4,79.31024725833333,21.232606225
2023wtu,ZTF18acwazdx,,-0.47,-0.25,17.9325,18.1793,2023-12-18T06:12:23.999023,5.0,5.0,,fading,AGN,0.19,17.5581,18.1793,16.5117,16.4284,0.08,0.0753333,60284.2,60296.3,49.952341999999994,-26.453438700000003
2023wtu,ZTF18adpqucj,,,,18.5944,,2023-12-28T04:02:05.999984,6.0,2.0,,fading,AGN,0.96,17.5581,,16.5117,16.4284,0.08,0.0753333,60284.2,60306.2,49.95236371666667,-26.453535799999997
2023wtu,ZTF23abnsadm,,-0.38,-0.44,17.7412,18.1793,2023-12-10T05:54:09.000015,5.0,2.0,,,VS,1.47,17.6533,18.075,16.5117,16.4284,0.08,0.0753333,60258.3,60288.2,49.952354066666665,-26.453450833333335
2023wtw,ZTF18aandaeo,,0.41,0.13,18.7255,18.5914,2023-11-05T03:09:40.003211,8.0,4.0,,,VS,0.39,18.5514,18.4309,17.2051,16.4885,0.72,0.0962917,60224.1,60253.1,263.90670133333333,21.795182144444443
2023wtw,ZTF21acowqep,,,,18.858,,2023-11-01T02:47:49.997764,7.0,5.0,,fading,VS,1.35,18.5514,,17.2051,16.4885,0.72,0.0962917,60222.2,60249.1,263.9066102428571,21.79525215714286
2023wtx,ZTF23aboesos,,0.87,1.15,20.6466,19.4961,2023-12-12T04:00:38.001594,4.0,2.0,,fading,NT,1.41,19.4426,18.6604,18.5773,17.8104,0.77,0.74947,60261.2,60290.2,359.93228145999996,51.904738120000005
2023wub,ZTF23abosmdo,,,,,20.1298,2023-11-05T09:26:31.997764,1.0,1.0,,,SN,0.67,,20.1298,21.7922,21.462,0.33,0.00333333,60253.4,60253.4,70.962644,-4.8219223
2023wuk,ZTF23abooocr,SN Ia,1.7,1.97,19.6436,17.6742,2023-12-12T03:42:46.002258,12.0,7.0,,fading,SN,4.09,18.4422,16.9877,19.6691,22.2891,-2.62,0.03575,60261.2,60290.2,334.8765934625,29.388245581249997
2023wum,ZTF23abpjdkt,,0.95,1.04,19.963,18.9277,2023-12-18T11:20:56.002578,,,,fading,NT,0.27,19.2653,18.4438,16.6197,16.1676,0.45,0.9925,60287.3,60296.5,140.44287022666666,57.555715299999996
2023wun,ZTF23abougpq,,,,,19.4126,2023-11-12T10:15:53.997108,4.0,4.0,,,SN,0.24,,19.4126,19.0642,18.7235,0.34,0.156923,60252.4,60260.4,92.11602965,-26.823975875000002
2023wut,ZTF23abpkaqt,,0.06,0.05,20.2894,20.2432,2023-11-12T09:19:19.997772,2.0,2.0,,fading,SN,1.22,20.2445,19.9309,21.0751,20.0702,1.0,0.011875,60252.5,60260.4,137.3049449,42.70106396666667
2023wuv,ZTF23abpiymg,,0.06,0.09,20.0872,20.0021,2023-11-14T11:44:27.000953,2.0,2.0,rising/peak,,SN,1.76,20.076,19.9358,21.4566,-999.0,1020.46,0.5,60252.4,60262.5,123.14308217499999,65.9558191125
2023wuz,ZTF23abpaqgm,,-0.1,0.19,20.1894,20.0043,2023-11-14T10:53:09.000953,4.0,4.0,,fading,SN,2.43,19.8892,20.0043,21.0646,20.4419,0.62,0.00625,60250.4,60262.5,142.93829257333334,57.932680293333334
2023wvb,ZTF23abouyrg,,0.11,0.14,20.3209,20.1785,2023-11-12T11:18:11.998069,3.0,3.0,,fading,SN,1.72,19.9231,19.9728,20.2864,-999.0,1019.29,0.5,60252.5,60260.5,155.73806241666668,64.37833503333333
2023wvd,ZTF23aboosqq,,-0.04,0.01,19.4542,19.4399,2023-12-06T03:30:06.001914,4.0,1.0,,fading,SN,0.95,19.2343,19.4399,19.5234,19.7142,-0.19,0.0047619,60254.2,60284.1,331.33728518,-5.44274236
2023wvf,ZTF23abooono,,0.25,0.19,20.2368,20.0418,2023-11-06T04:57:59.002563,2.0,2.0,rising/peak,,NT,1.47,20.2245,20.0418,20.1796,19.0695,1.11,,60250.1,60254.2,319.92818295,-8.324793549999999
2023wvg,ZTF22abdoiue,,,,,18.8285,2022-12-20T12:10:12.999374,1.0,1.0,,,SN,2.62,,18.8285,21.4186,20.5474,0.87,,59933.5,59933.5,195.1716387,19.2016402
2023wvg,ZTF23abonrcv,,,,,19.0029,2023-11-12T12:49:07.000312,2.0,2.0,,,SN,1.14,,18.9653,21.4186,20.5474,0.87,,60251.5,60260.5,195.17144483333334,19.2012821
2023wvh,ZTF23abofkgy,,,,,20.109,2023-11-09T04:30:17.003532,2.0,2.0,,,SN,2.13,,19.9903,19.4647,18.5689,0.9,0.00416667,60250.2,60257.2,348.1257809666666,8.9366802
2023wvn,ZTF18aacfiij,,0.77,0.43,18.8108,18.3764,2023-11-10T10:51:53.003540,4.0,4.0,rising/peak,,NT,0.24,18.8108,18.3764,17.5593,17.3394,0.22,0.036375,60250.4,60258.5,135.31062572,44.948685839999996
2023wvn,ZTF18aacmwsq,,,,20.1972,,2023-12-16T09:42:05.999053,1.0,1.0,,,NT,0.5,20.1972,,17.5593,17.3394,0.22,0.036375,60292.5,60294.4,135.31074925000001,44.948695150000006
