TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2024hxa,ZTF24aalvume,,4.851014568004757,-0.39,-0.39,19.1547,19.5474,2024-05-03T05:29:10.003196,2,2,rising/peak,,SN,3.76,19.1547,19.5474,21.5224,21.2569,0.27,0.0120833,60433.2,60433.2,122.18012995000001,28.22404245
2024hwy,ZTF24aalznhl,,3.580702068284154,-0.37,-0.37,19.7336,20.1051,2024-05-03T10:51:40.000312,2,2,rising/peak,,SN,5.61,19.7336,20.1051,-999.0,-999.0,0.0,0.5,60433.4,60433.5,287.73490385,43.25863255
2024hxl,ZTF24aalaizi,,11.792426567990333,-0.62,-0.31,19.2293,19.5417,2024-05-03T04:43:31.995834,3,3,rising/peak,,SN,2.39,19.2293,19.5417,20.2245,19.4159,0.81,0.0258333,60429.2,60433.2,127.34876692,5.67032002
2024hzl,ZTF24aalfyuf,,0.8565006679855287,-0.3,-0.3,19.226,19.5263,2024-05-03T05:06:36.002891,2,2,rising/peak,,NT,0.26,19.226,19.5263,18.9794,18.1654,0.81,0.00125,60430.2,60433.2,153.36550115,0.5174643
2024hzw,ZTF24aakzzly,,12.78339876839891,-0.19,-0.28,19.6093,19.8942,2024-05-03T05:29:10.003196,2,2,rising/peak,,SN,2.57,19.6093,19.8942,21.7419,22.0382,-0.3,0.0648333,60429.2,60433.2,122.9551032,27.581004125
2024hyx,ZTF24aalvppg,,4.854301568120718,-0.27,-0.27,19.6769,19.95,2024-05-03T04:46:14.998092,2,2,rising/peak,,NT,0.23,19.6769,19.95,19.8416,19.0949,0.75,0.0009375,60433.2,60433.2,122.7013805,20.4512056
2024hza,ZTF24aaltzof,,3.572970568202436,-0.28,-0.2,19.701,19.9018,2024-05-03T11:28:58.995849,1,1,rising/peak,,SN,0.33,19.701,19.8441,21.6424,21.6849,-0.04,,60430.4,60433.5,314.22798832,15.221627519999998
2024hze,ZTF24aalqscn,,3.6482830680906773,-0.19,-0.19,19.7339,19.9238,2024-05-03T10:55:10.997756,1,1,rising/peak,,SN,3.06,19.7339,19.9238,20.1655,19.5842,0.58,0.5,60433.4,60433.5,260.68441184999995,60.612524500000006
2024hxm,ZTF24aakzycd,,11.791489068418741,-0.16,-0.17,19.2797,19.4536,2024-05-03T05:28:29.999992,3,3,rising/peak,,SN,0.54,19.2797,19.4536,-999.0,21.9914,-1020.99,0.00479167,60429.2,60433.2,115.52780531249999,22.5559593375
2024hzb,ZTF24aalrmkx,,1.7407367681153119,-0.14,-0.14,20.282,20.4232,2024-05-03T08:36:07.004150,1,1,rising/peak,,SN,1.54,20.282,20.4232,21.8338,21.2166,0.62,0.00458333,60430.4,60433.4,225.40523080000003,8.3996314
2024hyu,ZTF24aalzgpp,,3.6593478680588305,0.09,-0.06,20.5642,20.6225,2024-05-03T09:43:57.999374,1,1,rising/peak,,SN,2.13,20.5642,20.6225,20.8386,19.7408,1.1,,60430.3,60433.4,218.50108916666667,44.94591546666667
2024hxt,ZTF24aajhkzp,,2.7842784682288766,0.21,-0.02,19.8269,19.8509,2024-05-01T08:06:22.999664,3,2,,fading,SN,2.09,19.5365,19.8509,21.9483,21.1278,0.82,0.5,60413.3,60431.3,210.78774187142858,23.643856671428573
2024hxp,ZTF24aalnwhy,,9.745574768166989,-0.1,0.0,19.9577,19.9565,2024-05-01T07:06:25.001281,1,1,rising/peak,,SN,5.12,19.9577,19.9565,18.8163,17.961,0.86,0.0185417,60430.3,60431.3,158.3055816,79.73606256666666
