TNS_ID,RA,DEC,DiscoveryDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,ReportDate
2023tll,22:43:40.823,-34:48:32.62,2023-09-21 03:53:30.624,18.627,ABMag,orange - ATLAS,1.133,Galaxy,2dFGRS TGS533Z131,['2dFGRS TGS533Z131' '340.92' '-34.809' '1.133' 'inf' 'Galaxy' 'G'],J. Tonry,24-Sep-2023
2023tmc,03:07:06.558,-42:45:00.98,2023-09-17 22:14:46.752,19.481,ABMag,cyan - ATLAS,1.204,Galaxy,LEDA  558586,['LEDA  558586' '46.777' '-42.751' '1.204' 'inf' 'Galaxy' 'G'],J. Tonry,24-Sep-2023
2023tlt,07:04:56.284,-48:27:47.53,2023-09-18 02:23:35.808,18.944,ABMag,cyan - ATLAS,3.474,Galaxy,LEDA  487150,['LEDA  487150' '106.235' '-48.464' '3.474' 'inf' 'Galaxy' 'G'],J. Tonry,24-Sep-2023
2023tlp,04:43:04.611,-25:22:51.83,2023-09-23 01:04:27.264,18.772,ABMag,cyan - ATLAS,3.509,Galaxy,LEDA  779596,['LEDA  779596' '70.769' '-25.382' '3.509' 'inf' 'Galaxy' 'G'],J. Tonry,24-Sep-2023
2023tlh,23:14:50.243,+21:49:50.65,2023-09-18 09:48:47.232,19.433,ABMag,cyan - ATLAS,4.045,Galaxy,Gaia DR3 2837826871203523200,"['Gaia DR3 2837826871203523200' '348.71' '21.83' '4.045' 'inf' 'Galaxy'
 'G']",J. Tonry,24-Sep-2023
