TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter
2023vgk,08:14:34.760,+20:19:34.82,2023-09-22 15:08:38.400,2023-10-19,18.61,ABMag,G - Gaia,0.092,QSO,SDSS J081434.75+201934.7,['SDSS J081434.75+201934.7' '123.645' '20.326' '0.092' 'inf' 'QSO' 'QSO'],S.T. Hodgkin
2023vif,19:22:13.334,+44:19:50.65,2023-10-16 03:45:44.997,2023-10-19,19.8375,ABMag,r - ZTF,0.967,Galaxy,[YYZ2014] II 196,['[YYZ2014] II 196' '290.555' '44.331' '0.967' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023vgo*,10:12:19.765,+22:36:32.79,2023-10-16 14:40:38.784,2023-10-19,19.72,ABMag,w - P1,1.114,Galaxy,SDSS J101219.70+223633.5,['SDSS J101219.70+223633.5' '153.082' '22.609' '1.114' 'inf' 'Galaxy' 'G'],K. C. Chambers
2018mkr,21:28:07.556,-01:35:42.10,2018-11-13 01:45:02.016,2023-10-19,18.2656,ABMag,r - ZTF,1.24,Galaxy,LEDA  188657,['LEDA  188657' '322.032' '-1.595' '1.24' 'inf' 'Galaxy' 'G'],K. De (Caltech) on behalf of ZTF
2023vim*,08:27:39.966,+19:21:13.32,2023-10-15 14:04:51.744,2023-10-19,20.22,ABMag,w - P1,1.562,Galaxy,SDSS J082739.86+192113.9,['SDSS J082739.86+192113.9' '126.916' '19.354' '1.562' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023vht,01:17:11.932,-18:40:18.22,2023-10-18 08:01:39.996,2023-10-19,19.9628,ABMag,g - ZTF,1.677,Galaxy,LEDA  865169,['LEDA  865169' '19.3' '-18.672' '1.677' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023vii,23:54:33.956,-38:43:29.62,2023-10-16 21:58:45.120,2023-10-19,18.788,ABMag,orange - ATLAS,1.742,Galaxy,2MASX J23543391-3843312,['2MASX J23543391-3843312' '358.641' '-38.725' '1.742' 'inf' 'Galaxy' 'G'],J. Tonry
2023vgy*,07:45:35.804,+32:11:01.18,2023-10-16 13:39:25.920,2023-10-19,20.45,ABMag,w - P1,2.243,Galaxy,2MASX J07453579+3210586,['2MASX J07453579+3210586' '116.399' '32.183' '2.243' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023vhc*,00:11:38.918,+32:28:42.68,2023-10-18 07:22:27.264,2023-10-19,20.94,ABMag,r - P1,2.25,Galaxy,SDSS J001138.75+322841.8,['SDSS J001138.75+322841.8' '2.911' '32.478' '2.25' 'inf' 'Galaxy' 'G'],D. O. Jones (UC Santa Cruz)
2023vhk*,10:04:56.310,+27:28:53.94,2023-10-18 14:23:28.896,2023-10-19,17.623,ABMag,cyan - ATLAS,2.301,Galaxy,SDSS J100456.46+272852.9,['SDSS J100456.46+272852.9' '151.235' '27.481' '2.301' 'inf' 'Galaxy' 'G'],J. Tonry
2023vhr*,10:33:51.656,+17:22:58.35,2023-10-18 12:26:30.002,2023-10-19,19.5056,ABMag,r - ZTF,2.57,Galaxy,2MASX J10335184+1722596,['2MASX J10335184+1722596' '158.466' '17.383' '2.57' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023vik,09:56:56.734,+14:15:53.88,2023-10-16 14:44:21.696,2023-10-19,21.03,ABMag,w - P1,3.303,Galaxy,LEDA 1453688,['LEDA 1453688' '149.237' '14.264' '3.303' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023vgj,09:13:32.970,-03:23:28.57,2023-10-14 09:36:00.000,2023-10-19,18.43,ABMag,G - Gaia,3.596,Galaxy,LEDA 1071901,['LEDA 1071901' '138.386' '-3.391' '3.596' 'inf' 'Galaxy' 'G'],S.T. Hodgkin
2023vhu,22:36:51.340,-13:00:32.50,2023-10-14 04:34:39.003,2023-10-19,20.6037,ABMag,g - ZTF,4.549,Galaxy,LEDA  944381,['LEDA  944381' '339.215' '-13.008' '4.549' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
