TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter,SDSS_image
2024bts,11:31:53.359,+28:02:08.34,2024-02-01 15:16:50.016,2024-02-07,20.35,ABMag,w - P1,0.11,Galaxy,SDSSCGB 42293.1,['SDSSCGB 42293.1' '172.972' '28.036' '0.11' 'inf' 'Galaxy' 'G'],Galaxy,SDSSCGB 42293.2,['SDSSCGB 42293.2' '172.974' '28.036' '6.39' 'inf' 'Galaxy' 'G'],Compact_Gr_G,SDSSCGB 42293,['SDSSCGB 42293' '172.973' '28.038' '6.917' 'inf' 'Compact_Gr_G' 'CGG'],K. C. Chambers,No
2024btu,14:27:06.295,+26:47:11.82,2024-02-05 14:01:07.104,2024-02-07,20.37,ABMag,w - P1,0.159,EmissionG,2MASX J14270627+2647112,"['2MASX J14270627+2647112' '216.776' '26.787' '0.159' 'inf' 'EmissionG'
 'EmG']",,,,,,,K. C. Chambers,Yes
2024btq,04:13:51.470,-56:57:58.34,2024-02-05 19:48:43.200,2024-02-07,19.035,ABMag,orange - ATLAS,0.267,BLLac,AT20G J041351-565759,['AT20G J041351-565759' '63.464' '-56.966' '0.267' 'inf' 'BLLac' 'BLL'],,,,,,,J. Tonry,No
2024bus,12:53:03.019,+45:00:45.93,2024-02-03 13:37:28.416,2024-02-07,18.61,ABMag,w - P1,1.977,LINER,2MASX J12530320+4500444,['2MASX J12530320+4500444' '193.263' '45.012' '1.977' 'inf' 'LINER' 'LIN'],,,,,,,K. C. Chambers,Yes
2024buq,11:16:37.548,-04:08:05.55,2024-02-04 12:36:38.880,2024-02-07,20.75,ABMag,w - P1,2.282,Galaxy,2dFGRS TGN167Z159,['2dFGRS TGN167Z159' '169.156' '-4.135' '2.282' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024bsy,10:22:55.764,+26:04:14.35,2024-02-01 14:13:13.728,2024-02-07,21.1,ABMag,w - P1,2.627,Galaxy,SDSS J102255.58+260415.1,['SDSS J102255.58+260415.1' '155.732' '26.071' '2.627' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,Yes
2024bue,04:39:01.196,-02:31:37.04,2024-02-06 06:13:31.296,2024-02-07,19.86,ABMag,w - P1,2.961,Galaxy,LEDA 1089538,['LEDA 1089538' '69.755' '-2.528' '2.961' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024buo,11:42:24.005,-05:16:41.65,2024-02-04 12:44:04.704,2024-02-07,20.62,ABMag,w - P1,3.079,Galaxy,2dFGRS TGN113Z072,['2dFGRS TGN113Z072' '175.599' '-5.278' '3.079' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024btl,16:34:57.091,-65:09:48.88,2024-02-06 01:58:16.032,2024-02-07,18.018,ABMag,orange - ATLAS,3.425,Galaxy,2MASX J16345747-6509465,['2MASX J16345747-6509465' '248.74' '-65.163' '3.425' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024buu,11:03:53.049,+01:29:31.22,2024-02-05 12:20:42.432,2024-02-07,20.8,ABMag,w - P1,4.009,Galaxy,2dFGRS TGN435Z193,['2dFGRS TGN435Z193' '165.972' '1.492' '4.009' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,Yes
2024bty,13:07:18.865,+25:33:26.81,2024-02-06 13:04:04.800,2024-02-07,19.225,ABMag,cyan - ATLAS,4.133,EmissionG,2MASX J13071900+2533228,"['2MASX J13071900+2533228' '196.829' '25.556' '4.133' 'inf' 'EmissionG'
 'EmG']",,,,,,,J. Tonry,Yes
2024bup,09:47:39.676,+07:20:33.67,2024-02-05 10:10:31.008,2024-02-07,19.94,ABMag,w - P1,4.258,LINER,CXO J094739.8+072036,['CXO J094739.8+072036' '146.916' '7.344' '4.258' 'inf' 'LINER' 'LIN'],,,,,,,K. C. Chambers,Yes
2024bui,04:31:12.998,-00:12:36.85,2024-02-06 06:12:31.680,2024-02-07,19.08,ABMag,w - P1,4.472,Galaxy,LEDA 1149112,['LEDA 1149112' '67.803' '-0.21' '4.472' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024btx,11:54:55.428,+29:20:34.12,2024-02-06 11:31:11.136,2024-02-07,19.359,ABMag,cyan - ATLAS,5.043,GtowardsCl,2MASX J11545582+2920334,"['2MASX J11545582+2920334' '178.733' '29.343' '5.043' '2.332' 'GtowardsCl'
 'GiC']",,,,,,,J. Tonry,Yes
2024bto,15:11:03.595,+07:31:50.36,2024-01-27 06:13:07.968,2024-02-07,18.92,ABMag,L - GOTO,6.351,GtowardsCl,2MASX J15110339+0731559,"['2MASX J15110339+0731559' '227.764' '7.532' '6.351' '4.308' 'GtowardsCl'
 'GiC']",,,,,,,T. Killestein,No
