TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter,SDSS_image
2024qyk,04:38:37.440,+31:19:39.72,2024-07-30 22:50:52.800,2024-08-03,18.76,ABMag,G - Gaia,0.02,Blazar,3HSP J043837.4+311939,['3HSP J043837.4+311939' '69.656' '31.328' '0.02' 'inf' 'Blazar' 'Bla'],,,,,,,S.T. Hodgkin,No
2024qyf,15:28:16.790,+00:49:36.12,2024-07-30 20:34:04.800,2024-08-03,17.49,ABMag,G - Gaia,0.058,QSO,[VV2006] J152816.7+004936,['[VV2006] J152816.7+004936' '232.07' '0.827' '0.058' 'inf' 'QSO' 'QSO'],,,,,,,S.T. Hodgkin,Yes
2018mny,16:49:46.954,+54:42:35.46,2018-07-12 05:47:11.999,2024-08-03,19.0368,ABMag,g - ZTF,0.573,Galaxy,[KVS2002] IRAS 16487+5447 W,"['[KVS2002] IRAS 16487+5447 W' '252.446' '54.71' '0.573' 'inf' 'Galaxy'
 'G']",LINER,LEDA   90261,['LEDA   90261' '252.445' '54.71' '0.644' 'inf' 'LINER' 'LIN'],Galaxy,[KVS2002] IRAS 16487+5447 E,"['[KVS2002] IRAS 16487+5447 E' '252.447' '54.71' '2.452' 'inf' 'Galaxy'
 'G']",Daniel Perley (LJMU),No
2024qxf,02:47:54.056,+47:12:59.38,2024-07-24 10:47:26.001,2024-08-03,19.7558,ABMag,g - ZTF,0.765,Galaxy,LEDA 2294382,['LEDA 2294382' '41.975' '47.217' '0.765' 'inf' 'Galaxy' 'G'],,,,,,,Eli Gendreau-Distler (UC Berkeley),No
2024qwq,00:38:00.262,-25:41:55.10,2024-08-02 01:09:39.168,2024-08-03,19.113,ABMag,orange - ATLAS,0.994,Galaxy,2dFGRS TGS141Z341,['2dFGRS TGS141Z341' '9.501' '-25.699' '0.994' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024qwp,00:20:30.814,-28:38:39.01,2024-08-01 00:34:05.952,2024-08-03,19.236,ABMag,orange - ATLAS,1.042,Galaxy,2dFGRS TGS281Z089,['2dFGRS TGS281Z089' '5.129' '-28.644' '1.042' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024qxo,02:26:42.819,+00:26:17.53,2024-07-29 11:28:03.000,2024-08-03,19.6758,ABMag,g - ZTF,1.122,Galaxy,SDSS J022642.87+002618.2,['SDSS J022642.87+002618.2' '36.679' '0.438' '1.122' 'inf' 'Galaxy' 'G'],Galaxy,DEEP2-GRS 41009514,['DEEP2-GRS 41009514' '36.68' '0.437' '6.88' 'inf' 'Galaxy' 'G'],,,,Jesper Sollerman (SU),Yes
2024qzp,16:23:39.014,-72:40:47.23,2024-07-24 11:12:59.040,2024-08-03,18.9,ABMag,L - GOTO,1.214,Seyfert2,LEDA  261203,['LEDA  261203' '245.912' '-72.68' '1.214' 'inf' 'Seyfert2' 'Sy2'],,,,,,,A. Kumar,No
2024qwj,15:18:54.495,+27:07:13.78,2024-08-02 04:27:08.997,2024-08-03,19.8855,ABMag,g - ZTF,2.333,Galaxy,LEDA 1798329,['LEDA 1798329' '229.726' '27.12' '2.333' 'inf' 'Galaxy' 'G'],,,,,,,Jesper Sollerman (SU),No
2024qys,02:42:33.667,+06:34:27.36,2024-08-02 09:54:32.003,2024-08-03,18.3797,ABMag,r - ZTF,2.697,Galaxy,LAMOST J024233.84+063427.0,['LAMOST J024233.84+063427.0' '40.641' '6.574' '2.697' 'inf' 'Galaxy' 'G'],,,,,,,A. Munoz-Arancibia,No
2024qwf,01:17:04.554,-07:54:22.09,2024-07-29 04:32:21.696,2024-08-03,19.07,ABMag,L - GOTO,2.846,Galaxy,2dFGRS TGS901Z392,['2dFGRS TGS901Z392' '19.269' '-7.905' '2.846' 'inf' 'Galaxy' 'G'],,,,,,,A. Kumar,No
2024qyn,02:57:28.366,-64:46:44.87,2024-08-02 17:42:16.416,2024-08-03,19.93,ABMag,L - GOTO,2.907,Galaxy,LEDA  319318,['LEDA  319318' '44.37' '-64.779' '2.907' 'inf' 'Galaxy' 'G'],,,,,,,A. Kumar,No
2024qxv,15:29:48.158,+20:54:20.88,2024-07-28 07:01:01.632,2024-08-03,19.321,ABMag,orange - ATLAS,2.96,Galaxy,LEDA 1638451,['LEDA 1638451' '232.451' '20.905' '2.96' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,Yes
2024qwz,23:46:24.441,-44:38:38.39,2024-07-29 14:32:57.408,2024-08-03,19.94,ABMag,L - GOTO,3.013,Galaxy,LEDA  535108,['LEDA  535108' '356.601' '-44.645' '3.013' 'inf' 'Galaxy' 'G'],,,,,,,A. Kumar,No
2024qzi,22:23:12.252,+03:17:07.92,2024-08-02 15:20:53.664,2024-08-03,18.83,ABMag,L - GOTO,3.017,Galaxy,LEDA 1249037,['LEDA 1249037' '335.802' '3.285' '3.017' '2.009' 'Galaxy' 'G'],,,,,,,A. Kumar,No
2024qwo,04:14:20.472,-38:59:00.76,2024-07-30 18:29:57.120,2024-08-03,17.79,ABMag,L - GOTO,3.405,Galaxy,2MASX J04142066-3858579,['2MASX J04142066-3858579' '63.586' '-38.983' '3.405' 'inf' 'Galaxy' 'G'],,,,,,,A. Kumar,No
2024qxw,22:21:15.046,-25:49:17.40,2024-07-31 12:31:18.336,2024-08-03,20.93,ABMag,w - P1,4.808,Galaxy,2dFGRS TGS118Z336,['2dFGRS TGS118Z336' '335.312' '-25.822' '4.808' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024qxa,06:25:35.220,-22:56:28.96,2024-08-02 03:37:12.576,2024-08-03,18.078,ABMag,orange - ATLAS,5.973,EmissionG,ESO 489-53,['ESO 489-53' '96.398' '-22.941' '5.973' '2.891' 'EmissionG' 'EmG'],,,,,,,J. Tonry,No
2024qwy,00:23:11.990,-65:47:25.36,2024-08-01 13:25:34.752,2024-08-03,19.24,ABMag,L - GOTO,7.501,Galaxy,LEDA  310157,['LEDA  310157' '5.795' '-65.791' '7.501' 'inf' 'Galaxy' 'G'],,,,,,,A. Kumar,No
2024qzb,02:21:10.962,+23:08:29.42,2024-08-02 09:57:54.999,2024-08-03,20.2997,ABMag,r - ZTF,8.524,Galaxy,LAMOST J022110.42+230825.2,['LAMOST J022110.42+230825.2' '35.293' '23.14' '8.524' 'inf' 'Galaxy' 'G'],,,,,,,A. Munoz-Arancibia,No
