TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Reporter
2023xqc*,11:16:24.917,+52:37:21.55,2023-11-12 14:59:40.992,14-Nov-2023,18.35,ABMag,g - P1,0.14,Galaxy,LEDA 2419522,['LEDA 2419522' '169.104' '52.623' '0.14' 'inf' 'Galaxy' 'G'],,,,D. O. Jones (UC Santa Cruz)
2023xrw,13:10:51.381,+11:03:20.66,2023-11-10 13:04:53.003,14-Nov-2023,19.2055,ABMag,r - ZTF,0.704,Galaxy,Gaia DR3 3735992528086552832,"['Gaia DR3 3735992528086552832' '197.714' '11.056' '0.704' 'inf' 'Galaxy'
 'G']",,,,A. Munoz-Arancibia
2023xqz,02:24:45.027,+32:12:01.13,2023-11-13 08:41:09.888,14-Nov-2023,19.063,ABMag,cyan - ATLAS,0.936,Galaxy,LEDA 1985399,['LEDA 1985399' '36.188' '32.2' '0.936' 'inf' 'Galaxy' 'G'],,,,J. Tonry
2023xql,03:47:35.948,-45:55:28.37,2023-11-10 13:13:17.760,14-Nov-2023,20.27,ABMag,L - GOTO,1.093,Galaxy,2dFGRS TGS889Z052,['2dFGRS TGS889Z052' '56.899' '-45.925' '1.093' 'inf' 'Galaxy' 'G'],,,,T. Killestein
2023xrb,23:13:19.274,-27:58:55.65,2023-11-12 21:03:48.960,14-Nov-2023,19.083,ABMag,cyan - ATLAS,1.176,Galaxy,2dFGRS TGS266Z017,['2dFGRS TGS266Z017' '348.33' '-27.982' '1.176' 'inf' 'Galaxy' 'G'],,,,J. Tonry
2023xrh*,14:09:48.706,+15:53:38.27,2023-11-13 13:03:39.001,14-Nov-2023,18.0513,ABMag,r - ZTF,1.205,Galaxy,LEDA 1495795,['LEDA 1495795' '212.453' '15.894' '1.205' 'inf' 'Galaxy' 'G'],,,,A. Munoz-Arancibia
2023xqb*,07:52:48.515,+15:18:33.50,2023-11-10 10:37:30.144,14-Nov-2023,19.3166,ABMag,r - ZTF,1.562,Galaxy,LEDA 1481160,['LEDA 1481160' '118.202' '15.309' '1.562' 'inf' 'Galaxy' 'G'],,,,K. De (Caltech) on behalf of ZTF
2023xrf,12:21:51.176,-12:58:58.63,2023-11-13 13:06:22.997,14-Nov-2023,17.9584,ABMag,r - ZTF,1.576,Galaxy,2MASX J12215106-1258589,"['2MASX J12215106-1258589' '185.463' '-12.983' '1.576' '3.156' 'Galaxy'
 'G']",,,,A. Munoz-Arancibia
2023xqs,04:53:06.381,-17:17:15.76,2023-11-11 08:47:02.400,14-Nov-2023,20.45,ABMag,r - ZTF,1.721,Galaxy,LEDA  885693,['LEDA  885693' '73.277' '-17.288' '1.721' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xqn,00:08:10.140,+27:00:13.67,2023-11-13 05:20:09.312,14-Nov-2023,18.169,ABMag,cyan - ATLAS,2.325,Galaxy,UGC    68,['UGC    68' '2.043' '27.004' '2.325' '0.851' 'Galaxy' 'G'],,,,J. Tonry
2023xrj*,14:00:43.913,+19:06:47.12,2023-11-13 13:03:39.001,14-Nov-2023,18.1525,ABMag,r - ZTF,2.692,Galaxy,LEDA 1580960,['LEDA 1580960' '210.183' '19.114' '2.692' 'inf' 'Galaxy' 'G'],,,,A. Munoz-Arancibia
2023xre,13:24:46.491,+01:48:48.37,2023-11-13 13:05:00.960,14-Nov-2023,17.8297,ABMag,r - ZTF,3.196,Galaxy,2dFGRS TGN399Z130,['2dFGRS TGN399Z130' '201.195' '1.814' '3.196' 'inf' 'Galaxy' 'G'],,,,K. De (Caltech) on behalf of ZTF
2023xsd*,07:44:31.292,+25:30:48.27,2023-11-11 10:10:33.600,14-Nov-2023,19.67,ABMag,g - ZTF,3.451,Galaxy,LEDA 1739298,['LEDA 1739298' '116.13' '25.513' '3.451' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xrv*,00:41:24.836,+22:37:12.05,2023-11-11 05:10:24.997,14-Nov-2023,20.7888,ABMag,g - ZTF,3.803,ClG,[RRB2014] RM J004125.2+223711.3,"['[RRB2014] RM J004125.2+223711.3' '10.355' '22.62' '3.803' 'inf' 'ClG'
 'ClG']",GtowardsCl,LEDA 1673208,['LEDA 1673208' '10.355' '22.62' '4.547' 'inf' 'GtowardsCl' 'GiC'],A. Munoz-Arancibia
2023xqj*,00:49:07.244,+25:45:04.16,2023-11-11 05:08:09.600,14-Nov-2023,20.16,ABMag,g - ZTF,4.812,Galaxy,LEDA 1748381,['LEDA 1748381' '12.282' '25.751' '4.812' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
