TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024lbu,09:01:24.989,+24:45:34.42,2024-06-11 04:12:16.001,2024-06-13,19.297,ABMag,r - ZTF,0.319,GtowardsCl,DES J090124.96+244534.3,"['DES J090124.96+244534.3' '135.354' '24.76' '0.319' 'inf' 'GtowardsCl'
 'GiC']",Jesper Sollerman (SU),No
2024lar,19:26:31.311,+62:45:32.79,2024-06-09 09:56:40.997,2024-06-13,19.9304,ABMag,g - ZTF,0.457,Galaxy,2MASX J19263124+6245334,['2MASX J19263124+6245334' '291.63' '62.759' '0.457' 'inf' 'Galaxy' 'G'],Yu-Jing Qin (Caltech),No
2024lbl,16:04:36.267,+43:52:47.74,2024-04-04 11:20:29.002,2024-06-13,19.9508,ABMag,r - ZTF,0.535,Seyfert1,2MASS J16043624+4352474,"['2MASS J16043624+4352474' '241.151' '43.88' '0.535' 'inf' 'Seyfert1'
 'Sy1']",Daniel Perley (LJMU),Yes
2024lau,01:10:35.560,+45:07:31.38,2024-05-27 11:17:40.004,2024-06-13,19.879,ABMag,r - ZTF,0.569,Galaxy,LEDA 2259340,['LEDA 2259340' '17.648' '45.125' '0.569' 'inf' 'Galaxy' 'G'],Kate Bostow (UC Berkeley),No
2024laz,06:50:02.594,+57:20:04.57,2024-05-19 04:22:38.003,2024-06-13,17.8319,ABMag,i - ZTF,0.764,Galaxy,2MASX J06500247+5720046,['2MASX J06500247+5720046' '102.51' '57.335' '0.764' 'inf' 'Galaxy' 'G'],Daniel Perley (LJMU),No
2024lbh,07:59:47.222,+25:21:25.74,2024-05-19 04:56:24.999,2024-06-13,18.1121,ABMag,i - ZTF,1.01,Galaxy,IC  482,['IC  482' '119.947' '25.357' '1.01' '0.576' 'Galaxy' 'G'],Daniel Perley (LJMU),Yes
2024lbt,21:43:21.712,-07:52:32.04,2024-06-07 13:25:26.976,2024-06-13,18.96,ABMag,orange - ATLAS,1.775,Galaxy,SDSSCGB 17605.1,['SDSSCGB 17605.1' '325.841' '-7.875' '1.775' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024lbe,14:15:46.309,+24:11:08.62,2024-06-08 08:45:37.728,2024-06-13,19.407,ABMag,orange - ATLAS,2.33,Galaxy,SDSS J141546.34+241106.3,['SDSS J141546.34+241106.3' '213.943' '24.185' '2.33' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024kzv,21:26:59.961,+05:37:03.58,2024-06-11 09:26:39.998,2024-06-13,19.4892,ABMag,r - ZTF,2.407,Galaxy,LAMOST J212659.85+053705.3,['LAMOST J212659.85+053705.3' '321.749' '5.618' '2.407' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,No
2024lby,20:22:40.784,-08:10:41.95,2024-06-12 09:34:22.998,2024-06-13,18.1862,ABMag,r - ZTF,3.128,EmissionG,LEDA  162310,['LEDA  162310' '305.669' '-8.179' '3.128' 'inf' 'EmissionG' 'EmG'],Nabeel Rehemtulla (CIERA,No
