TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter,SDSS_image
2018mmb,12:28:09.510,+44:05:08.02,2018-05-04 06:17:16.800,2024-01-15,19.72,ABMag,r - ZTF,0.324,Cluster*,[WCL2020] NGC 4449  98,['[WCL2020] NGC 4449  98' '187.04' '44.086' '0.324' 'inf' 'Cluster*' 'Cl*'],Cluster*,[WCL2020] NGC 4449 103,['[WCL2020] NGC 4449 103' '187.04' '44.086' '1.175' 'inf' 'Cluster*' 'Cl*'],Cluster*,[WCL2020] NGC 4449 102,['[WCL2020] NGC 4449 102' '187.04' '44.086' '1.853' 'inf' 'Cluster*' 'Cl*'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024aan,12:43:25.736,-03:58:46.83,2024-01-14 11:16:48.000,2024-01-15,20.07,ABMag,g - ZTF,2.072,Galaxy,2dFGRS TGN128Z250,['2dFGRS TGN128Z250' '190.857' '-3.98' '2.072' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024aas,10:04:52.133,-21:56:48.65,2024-01-14 00:06:53.856,2024-01-15,19.256,ABMag,cyan - ATLAS,2.689,Galaxy,LEDA  821449,['LEDA  821449' '151.217' '-21.946' '2.689' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024zn,08:22:51.917,+10:34:24.74,2024-01-14 08:34:04.800,2024-01-15,19.38,ABMag,r - ZTF,2.777,Galaxy,SDSS J082251.80+103426.8,['SDSS J082251.80+103426.8' '125.716' '10.574' '2.777' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024aam,13:38:23.525,+09:38:25.27,2024-01-14 11:21:07.200,2024-01-15,19.44,ABMag,g - ZTF,2.899,Galaxy,LEDA 1367932,['LEDA 1367932' '204.597' '9.64' '2.899' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024aak,12:51:21.590,+37:15:46.61,2024-01-14 11:28:19.200,2024-01-15,19.75,ABMag,g - ZTF,3.165,Galaxy,NGP9 F268-0327163,['NGP9 F268-0327163' '192.839' '37.262' '3.165' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024aae,07:49:45.980,+27:43:28.18,2024-01-13 07:36:28.800,2024-01-15,20.02,ABMag,g - ZTF,3.194,Galaxy,SDSS J074946.02+274325.0,['SDSS J074946.02+274325.0' '117.442' '27.724' '3.194' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024zg,00:50:48.350,-27:23:23.75,2024-01-13 06:01:58.368,2024-01-15,18.596,ABMag,orange - ATLAS,4.074,Galaxy,2dFGRS TGS210Z147,['2dFGRS TGS210Z147' '12.701' '-27.391' '4.074' 'inf' 'Galaxy' 'G'],Galaxy,Gaia DR3 2342573848702733952,['Gaia DR3 2342573848702733952' '12.7' '-27.389' '6.93' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
2024zt,02:22:12.963,-05:31:21.94,2024-01-04 05:52:30.720,2024-01-15,21.6,ABMag,w - P1,4.456,Galaxy,GAMA 1659578,['GAMA 1659578' '35.555' '-5.523' '4.456' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024za,13:58:42.157,+27:57:33.86,2024-01-07 14:28:33.888,2024-01-15,21.29,ABMag,w - P1,4.507,Galaxy,WINGS J135842.49+275732.9,['WINGS J135842.49+275732.9' '209.677' '27.959' '4.507' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024aaj,11:42:04.001,+42:17:21.11,2024-01-14 10:39:21.600,2024-01-15,19.09,ABMag,g - ZTF,4.564,Galaxy,LEDA 2195906,['LEDA 2195906' '175.518' '42.289' '4.564' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024zo,12:31:00.005,+42:31:39.93,2024-01-14 11:28:28.704,2024-01-15,19.0081,ABMag,g - ZTF,4.598,Galaxy,MCG+07-26-015,['MCG+07-26-015' '187.751' '42.527' '4.598' 'inf' 'Galaxy' 'G'],,,,,,,K. De (Caltech) on behalf of ZTF,Yes
2024aab,13:31:41.829,+30:40:38.98,2024-01-07 14:23:01.248,2024-01-15,21.65,ABMag,w - P1,4.829,Galaxy,LEDA 1913353,['LEDA 1913353' '202.923' '30.678' '4.829' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,Yes
2024abh,13:04:51.415,+27:07:29.04,2024-01-07 14:16:30.720,2024-01-15,20.88,ABMag,w - P1,5.143,Galaxy,GMP  298,['GMP  298' '196.213' '27.126' '5.143' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024zp,09:47:47.582,+26:26:07.40,2024-01-07 11:20:25.728,2024-01-15,21.09,ABMag,w - P1,6.824,Galaxy,2MASX J09474798+2626111,['2MASX J09474798+2626111' '146.95' '26.436' '6.824' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,Yes
2024zc,09:16:04.482,-01:59:05.26,2024-01-05 12:23:38.688,2024-01-15,20.45,ABMag,w - P1,7.142,Galaxy,GAMA 3869640,['GAMA 3869640' '139.019' '-1.987' '7.142' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024aag,13:14:09.251,-05:35:56.26,2024-01-14 11:15:21.600,2024-01-15,18.71,ABMag,g - ZTF,7.24,EmissionG,MCG-01-34-013,['MCG-01-34-013' '198.541' '-5.599' '7.24' '2.174' 'EmissionG' 'EmG'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
