TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Reporter,SDSS_image
2024qks,14:49:48.357,+23:20:02.73,2024-07-26 05:07:18.002,2024-07-30,20.1905,ABMag,g - ZTF,0.119,Galaxy,Gaia DR3 1265744046296579712,"['Gaia DR3 1265744046296579712' '222.451' '23.334' '0.119' 'inf' 'Galaxy'
 'G']",,,,F. Forster,No
2024qkr,16:14:04.129,+28:29:15.09,2024-07-25 04:38:23.004,2024-07-30,20.3084,ABMag,g - ZTF,0.413,Galaxy,Gaia DR3 1317660683258420864,"['Gaia DR3 1317660683258420864' '243.517' '28.487' '0.413' 'inf' 'Galaxy'
 'G']",,,,F. Forster,No
2024qlb,22:22:12.342,-25:16:25.30,2024-07-03 11:32:10.000,2024-07-30,19.6042,ABMag,r - ZTF,0.903,Galaxy,2dFGRS TGS063Z116,['2dFGRS TGS063Z116' '335.551' '-25.274' '0.903' 'inf' 'Galaxy' 'G'],,,,Jesper Sollerman (SU),No
2024qnc,01:53:35.467,+06:40:57.95,2024-07-29 09:32:59.000,2024-07-30,19.2826,ABMag,r - ZTF,1.159,Galaxy,Mrk  581,['Mrk  581' '28.398' '6.683' '1.159' 'inf' 'Galaxy' 'G'],,,,Nabeel Rehemtulla (CIERA,No
2024qkz,15:54:44.064,+23:36:56.20,2024-07-27 05:20:46.999,2024-07-30,20.8453,ABMag,g - ZTF,1.193,Galaxy,SDSSCGB 15684.3,['SDSSCGB 15684.3' '238.684' '23.615' '1.193' 'inf' 'Galaxy' 'G'],Galaxy,SDSSCGB 15684.2,['SDSSCGB 15684.2' '238.681' '23.617' '9.491' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),Yes
2024qmp,20:19:57.037,-52:50:18.81,2024-07-29 05:16:54.048,2024-07-30,18.649,ABMag,cyan - ATLAS,1.489,Galaxy,LEDA  437853,['LEDA  437853' '304.988' '-52.839' '1.489' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
2024qlc,01:58:44.565,-07:59:40.01,2024-07-29 03:35:24.576,2024-07-30,17.82,ABMag,L - GOTO,2.057,Galaxy,LEDA 1009881,['LEDA 1009881' '29.686' '-7.995' '2.057' 'inf' 'Galaxy' 'G'],,,,A. Kumar,No
2024qlv,11:37:40.908,-22:22:41.66,2024-07-26 00:19:59.232,2024-07-30,18.923,ABMag,cyan - ATLAS,2.248,Galaxy,Gaia DR3 3540371370642735232,"['Gaia DR3 3540371370642735232' '174.42' '-22.379' '2.248' 'inf' 'Galaxy'
 'G']",,,,J. Tonry,No
2024qkm,21:32:12.311,-00:11:16.18,2024-07-28 08:52:38.997,2024-07-30,19.827,ABMag,r - ZTF,2.595,Galaxy,2MASX J21321232-0011141,['2MASX J21321232-0011141' '323.052' '-0.187' '2.595' 'inf' 'Galaxy' 'G'],,,,F. Forster,Yes
2024qlm,12:45:12.088,-09:33:55.69,2024-07-27 23:15:12.096,2024-07-30,18.885,ABMag,cyan - ATLAS,3.349,Seyfert2,LEDA  989405,['LEDA  989405' '191.3' '-9.565' '3.349' 'inf' 'Seyfert2' 'Sy2'],,,,J. Tonry,No
2024qky,16:20:54.259,-02:30:30.92,2024-07-26 04:58:43.999,2024-07-30,20.1728,ABMag,g - ZTF,3.518,Galaxy,2MASX J16205430-0230344,['2MASX J16205430-0230344' '245.226' '-2.51' '3.518' 'inf' 'Galaxy' 'G'],,,,Jesper Sollerman (SU),No
2024qmn,22:09:40.479,-46:17:09.44,2024-07-29 04:29:47.904,2024-07-30,19.034,ABMag,cyan - ATLAS,3.786,Galaxy,LEDA  142241,['LEDA  142241' '332.418' '-46.287' '3.786' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
2024qmw,02:08:14.037,+12:57:25.20,2024-07-25 10:13:04.998,2024-07-30,19.6052,ABMag,i - ZTF,3.862,Galaxy,[ATL2005]  406,['[ATL2005]  406' '32.057' '12.957' '3.862' 'inf' 'Galaxy' 'G'],,,,Jesper Sollerman (SU),Yes
2024qma,22:59:27.075,-15:37:11.63,2024-07-27 09:33:39.997,2024-07-30,19.9966,ABMag,g - ZTF,4.054,Galaxy,LEDA  908758,['LEDA  908758' '344.863' '-15.619' '4.054' 'inf' 'Galaxy' 'G'],,,,Jesper Sollerman (SU),No
2024qnk,00:26:05.672,+16:09:22.60,2024-07-29 13:05:30.336,2024-07-30,19.13,ABMag,orange - ATLAS,4.2,Galaxy,SDSS J002605.68+160918.5,['SDSS J002605.68+160918.5' '6.524' '16.155' '4.2' 'inf' 'Galaxy' 'G'],Galaxy,2MASX J00260566+1609181,['2MASX J00260566+1609181' '6.524' '16.155' '4.892' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024qlt,21:25:49.380,-41:16:59.62,2024-07-29 04:30:37.152,2024-07-30,19.344,ABMag,cyan - ATLAS,4.753,Galaxy,2MASX J21254899-4116577,['2MASX J21254899-4116577' '321.454' '-41.283' '4.753' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
2024qkn,14:39:09.416,+55:32:38.57,2024-07-28 04:29:23.997,2024-07-30,19.9813,ABMag,g - ZTF,5.199,Galaxy,LEDA   99848,['LEDA   99848' '219.792' '55.544' '5.199' 'inf' 'Galaxy' 'G'],Galaxy,Gaia DR3 1607527643811692288,"['Gaia DR3 1607527643811692288' '219.792' '55.545' '6.198' 'inf' 'Galaxy'
 'G']",F. Forster,Yes
2024qmc,22:19:30.279,-55:16:24.17,2024-07-29 05:55:07.968,2024-07-30,18.468,ABMag,cyan - ATLAS,5.371,Galaxy,LEDA  411001,['LEDA  411001' '334.879' '-55.274' '5.371' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
