TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter,SDSS_image
2024pyo,11:37:25.170,+09:17:10.75,2024-07-17 08:45:36.000,2024-07-25,17.9,ABMag,G - Gaia,0.018,QSO,[VV2006] J113725.2+091710,['[VV2006] J113725.2+091710' '174.355' '9.286' '0.018' 'inf' 'QSO' 'QSO'],,,,,,,S.T. Hodgkin,Yes
2024pyx,12:17:29.460,+04:04:51.67,2024-07-19 20:41:16.800,2024-07-25,18.29,ABMag,G - Gaia,0.026,QSO,[VV2006] J121729.4+040452,['[VV2006] J121729.4+040452' '184.373' '4.081' '0.026' 'inf' 'QSO' 'QSO'],,,,,,,S.T. Hodgkin,Yes
2024qag,11:28:41.880,+42:31:14.99,2024-07-21 15:20:09.600,2024-07-25,18.86,ABMag,G - Gaia,0.041,QSO,[VV2006] J112841.9+423114,['[VV2006] J112841.9+423114' '172.175' '42.521' '0.041' 'inf' 'QSO' 'QSO'],,,,,,,S.T. Hodgkin,Yes
2024pys,13:03:49.210,-55:40:31.66,2024-07-17 07:43:40.800,2024-07-25,17.75,ABMag,G - Gaia,0.072,Blazar,ICRF J130349.2-554031,['ICRF J130349.2-554031' '195.955' '-55.675' '0.072' 'inf' 'Blazar' 'Bla'],Galaxy,ALMACAL J130349.05-554034.2,"['ALMACAL J130349.05-554034.2' '195.954' '-55.676' '2.878' 'inf' 'Galaxy'
 'G']",Galaxy,ALMACAL J130349.43-554028.5,"['ALMACAL J130349.43-554028.5' '195.956' '-55.675' '3.667' 'inf' 'Galaxy'
 'G']",S.T. Hodgkin,No
2024pyu,11:21:35.520,+38:00:22.43,2024-07-19 09:14:24.000,2024-07-25,18.3,ABMag,G - Gaia,0.103,QSO,2MASS J11213553+3800225,['2MASS J11213553+3800225' '170.398' '38.006' '0.103' 'inf' 'QSO' 'QSO'],,,,,,,S.T. Hodgkin,Yes
2024pzm,10:45:50.140,+52:53:07.87,2024-07-20 09:31:40.800,2024-07-25,18.89,ABMag,G - Gaia,0.125,QSO,SDSS J104550.14+525307.9,['SDSS J104550.14+525307.9' '161.459' '52.886' '0.125' 'inf' 'QSO' 'QSO'],,,,,,,S.T. Hodgkin,Yes
2024pzv,15:46:32.302,+07:07:59.99,2024-07-24 04:33:05.000,2024-07-25,19.617,ABMag,g - ZTF,0.732,Galaxy,SDSS J154632.31+070759.2,['SDSS J154632.31+070759.2' '236.635' '7.133' '0.732' 'inf' 'Galaxy' 'G'],,,,,,,I. Pérez-Fournon,Yes
2024pzd,12:42:47.323,+10:59:04.88,2024-07-23 05:56:54.240,2024-07-25,18.262,ABMag,orange - ATLAS,0.843,EmissionG,2MASX J12424728+1059048,"['2MASX J12424728+1059048' '190.697' '10.985' '0.843' 'inf' 'EmissionG'
 'EmG']",,,,,,,J. Tonry,Yes
2024pyi,14:40:12.649,+04:58:03.60,2024-07-20 05:24:21.997,2024-07-25,19.2335,ABMag,g - ZTF,0.89,Galaxy,SDSS J144012.60+045804.2,['SDSS J144012.60+045804.2' '220.053' '4.968' '0.89' 'inf' 'Galaxy' 'G'],,,,,,,Jesper Sollerman (SU),Yes
2024pzs,21:33:52.659,-22:44:45.55,2024-07-18 11:46:24.003,2024-07-25,19.3446,ABMag,r - ZTF,0.934,EmissionG,ESO 531-5,['ESO 531-5' '323.469' '-22.746' '0.934' 'inf' 'EmissionG' 'EmG'],,,,,,,Aleksandra Bochenek (LJMU),No
