TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024kdw,11:34:14.512,-04:46:46.73,2024-05-30 05:06:14.999,2024-06-04,20.592,ABMag,g - ZTF,0.37,Galaxy,2dFGRS TGN172Z282,['2dFGRS TGN172Z282' '173.56' '-4.78' '0.37' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),No
2024keu,14:22:44.922,+40:23:23.61,2024-06-03 08:47:50.784,2024-06-04,20.68,ABMag,r - P1,2.178,Galaxy,LEDA 2165095,['LEDA 2165095' '215.687' '40.39' '2.178' 'inf' 'Galaxy' 'G'],D. O. Jones (UC Santa Cruz),Yes
2024kea,22:01:17.636,-51:53:43.11,2024-06-01 03:11:56.256,2024-06-04,18.393,ABMag,orange - ATLAS,2.685,Seyfert2,LEDA  163636,['LEDA  163636' '330.324' '-51.896' '2.685' 'inf' 'Seyfert2' 'Sy2'],J. Tonry,No
2024ker,17:07:53.673,+32:38:31.86,2024-05-31 09:02:14.784,2024-06-04,20.09,ABMag,g - P1,3.973,Galaxy,SDSS J170753.44+323829.1,['SDSS J170753.44+323829.1' '256.973' '32.641' '3.973' 'inf' 'Galaxy' 'G'],D. O. Jones (UC Santa Cruz),Yes
2024ken,10:24:09.192,+38:01:15.20,2024-05-27 06:15:31.392,2024-06-04,21.16,ABMag,r - P1,4.426,Galaxy,LEDA 2115836,['LEDA 2115836' '156.037' '38.022' '4.426' 'inf' 'Galaxy' 'G'],D. O. Jones (UC Santa Cruz),Yes
2024keb,15:10:32.347,+13:31:45.90,2024-06-01 06:59:45.003,2024-06-04,20.1987,ABMag,g - ZTF,4.841,Galaxy,2MASX J15103257+1331482,['2MASX J15103257+1331482' '227.636' '13.53' '4.841' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),Yes
2024kdz,14:37:34.762,+37:55:42.30,2024-06-02 08:59:02.976,2024-06-04,19.187,ABMag,orange - ATLAS,7.786,Galaxy,2MASX J14373527+3755379,['2MASX J14373527+3755379' '219.397' '37.927' '7.786' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
