TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter
2023zfn,05:22:01.779,-12:40:00.94,2023-11-03 10:22:04.800,2023-12-10,18.63,ABMag,r - ZTF,0.063,Galaxy,LEDA  949422,['LEDA  949422' '80.507' '-12.667' '0.063' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgo*,08:48:54.899,+31:47:00.82,2023-11-10 11:08:09.600,2023-12-10,20.32,ABMag,r - ZTF,0.19,AGN,SDSS J084854.88+314700.6,['SDSS J084854.88+314700.6' '132.229' '31.784' '0.19' 'inf' 'AGN' 'AGN'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2021aiat*,09:02:22.075,+09:21:52.66,2021-01-13 10:04:48.000,2023-12-10,20.51,ABMag,g - ZTF,0.224,Seyfert1,[VV2006c] J090222.1+092152,"['[VV2006c] J090222.1+092152' '135.592' '9.365' '0.224' 'inf' 'Seyfert1'
 'Sy1']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgc*,10:23:44.586,+54:00:31.68,2023-12-09 07:46:33.600,2023-12-10,19.09,ABMag,r - ZTF,0.227,Galaxy,SDSS J102344.56+540031.5,['SDSS J102344.56+540031.5' '155.936' '54.009' '0.227' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgg*,13:06:31.202,+49:51:39.27,2023-12-09 10:42:14.400,2023-12-10,18.72,ABMag,r - ZTF,0.235,Galaxy,LEDA 2355661,['LEDA 2355661' '196.63' '49.861' '0.235' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfw*,10:38:39.170,+23:55:19.98,2023-12-09 10:00:28.800,2023-12-10,19.27,ABMag,r - ZTF,0.462,Galaxy,SDSS J103839.14+235520.2,['SDSS J103839.14+235520.2' '159.663' '23.922' '0.462' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgq*,12:11:22.036,+28:22:50.19,2023-12-09 09:41:45.600,2023-12-10,19.54,ABMag,r - ZTF,0.462,Galaxy,SDSS J121122.01+282250.5,['SDSS J121122.01+282250.5' '182.842' '28.381' '0.462' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zeg,01:23:25.706,+03:43:24.78,2023-11-20 03:34:33.600,2023-12-10,19.64,ABMag,r - ZTF,0.559,Galaxy,LAMOST J012325.72+034324.2,['LAMOST J012325.72+034324.2' '20.857' '3.723' '0.559' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfh*,10:13:31.068,+40:10:55.80,2023-12-09 08:41:16.800,2023-12-10,19.56,ABMag,r - ZTF,0.576,Galaxy,SDSS J101331.02+401055.4,['SDSS J101331.02+401055.4' '153.379' '40.182' '0.576' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfj*,07:45:10.316,+48:41:21.91,2023-12-09 07:14:52.800,2023-12-10,19.75,ABMag,g - ZTF,0.699,Galaxy,SDSS J074510.32+484121.2,['SDSS J074510.32+484121.2' '116.293' '48.689' '0.699' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfr,09:04:59.305,-12:27:44.34,2023-11-13 12:05:45.600,2023-12-10,18.48,ABMag,r - ZTF,0.749,RadioG,2MASX J09045929-1227444,['2MASX J09045929-1227444' '136.247' '-12.462' '0.749' 'inf' 'RadioG' 'rG'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfy,10:22:43.525,-05:22:54.55,2023-12-09 09:37:26.400,2023-12-10,18.58,ABMag,r - ZTF,0.758,Galaxy,2dFGRS TGN098Z067,['2dFGRS TGN098Z067' '155.682' '-5.382' '0.758' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zem,05:26:50.655,-15:54:52.14,2023-12-09 05:32:38.400,2023-12-10,18.5,ABMag,g - ZTF,1.17,Galaxy,LEDA  904815,['LEDA  904815' '81.711' '-15.915' '1.17' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfz*,10:44:57.629,+35:06:05.21,2023-12-09 08:41:16.800,2023-12-10,19.52,ABMag,r - ZTF,1.317,Galaxy,SDSS J104457.57+350606.3,['SDSS J104457.57+350606.3' '161.24' '35.102' '1.317' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgr*,13:08:03.136,+03:51:14.95,2023-11-13 13:04:48.000,2023-12-10,17.86,ABMag,r - ZTF,1.518,Seyfert1,LEDA 3096221,['LEDA 3096221' '197.013' '3.854' '1.518' 'inf' 'Seyfert1' 'Sy1'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zef*,00:06:10.911,-11:07:10.61,2023-12-07 02:45:36.000,2023-12-10,18.72,ABMag,g - ZTF,1.534,Galaxy,LEDA  969745,['LEDA  969745' '1.545' '-11.12' '1.534' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zeu,01:36:49.249,+01:35:05.68,2023-12-09 02:45:36.000,2023-12-10,18.82,ABMag,r - ZTF,1.834,AGN,LEDA 3095535,['LEDA 3095535' '24.205' '1.584' '1.834' 'inf' 'AGN' 'AGN'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zep,03:23:23.940,-12:31:27.47,2023-12-07 05:36:57.600,2023-12-10,18.55,ABMag,g - ZTF,1.997,EmissionG,LEDA 3093512,['LEDA 3093512' '50.85' '-12.525' '1.997' 'inf' 'EmissionG' 'EmG'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfu*,11:23:16.746,+33:56:46.94,2023-12-09 10:42:14.400,2023-12-10,19.01,ABMag,r - ZTF,2.028,Galaxy,SDSS J112316.68+335648.8,['SDSS J112316.68+335648.8' '170.82' '33.947' '2.028' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zez,04:02:46.526,-23:21:33.34,2023-12-08 09:32:59.424,2023-12-10,20.65,ABMag,w - P1,2.192,Galaxy,LEDA  801744,['LEDA  801744' '60.693' '-23.359' '2.192' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023zew,06:36:51.887,+37:34:12.27,2023-12-09 06:50:23.000,2023-12-10,17.4,ABMag,r - ZTF,2.451,GtowardsGroup,UGC  3499,['UGC  3499' '99.216' '37.571' '2.451' '1.178' 'GtowardsGroup' 'GiG'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zea,09:53:07.627,-37:59:54.39,2023-12-07 01:00:54.720,2023-12-10,17.627,ABMag,orange - ATLAS,2.822,Galaxy,LEDA  614503,['LEDA  614503' '148.281' '-37.998' '2.822' 'inf' 'Galaxy' 'G'],J. Tonry
2023zeo,03:06:34.497,-02:20:44.23,2023-12-09 04:42:14.400,2023-12-10,19.74,ABMag,g - ZTF,3.051,Galaxy,LEDA 1094654,['LEDA 1094654' '46.645' '-2.346' '3.051' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgf*,13:00:32.020,+08:31:21.11,2023-12-09 11:26:52.800,2023-12-10,19.15,ABMag,g - ZTF,4.42,Galaxy,LEDA 1348504,['LEDA 1348504' '195.134' '8.522' '4.42' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfa*,09:24:55.786,+13:02:39.74,2023-12-08 13:16:07.104,2023-12-10,19.95,ABMag,w - P1,4.698,Galaxy,2MASX J09245581+1302354,['2MASX J09245581+1302354' '141.232' '13.043' '4.698' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023zfk,06:33:01.799,+39:39:44.23,2023-12-09 06:50:23.000,2023-12-10,19.32,ABMag,r - ZTF,4.728,Galaxy,LEDA 2153655,['LEDA 2153655' '98.256' '39.661' '4.728' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zge*,09:08:19.886,+04:35:08.60,2023-12-08 14:20:47.328,2023-12-10,20.44,ABMag,w - P1,4.838,Galaxy,2MASX J09081972+0435119,['2MASX J09081972+0435119' '137.082' '4.587' '4.838' 'inf' 'Galaxy' 'G'],K. C. Chambers
