TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter
2023zzt*,12:28:30.860,+28:14:11.76,2023-12-12 07:52:19.200,2023-12-15,16.34,ABMag,G - Gaia,0.026,Seyfert1,Ton  78,['Ton  78' '187.129' '28.237' '0.026' 'inf' 'Seyfert1' 'Sy1'],S.T. Hodgkin
2023zzh,10:41:24.458,-08:36:48.14,2023-12-12 10:38:16.999,2023-12-15,18.2073,ABMag,r - ZTF,0.044,Galaxy,WINGS J104124.46-083648.0,['WINGS J104124.46-083648.0' '160.352' '-8.613' '0.044' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023aabs*,12:03:34.499,+29:54:32.10,2023-12-13 11:38:22.998,2023-12-15,19.3909,ABMag,g - ZTF,0.159,Galaxy,SDSS J120334.50+295432.2,"['SDSS J120334.50+295432.2' '180.894' '29.909' '0.159' '0.152' 'Galaxy'
 'G']",A. Munoz-Arancibia
2023zzc,21:42:05.628,-10:19:03.49,2023-12-12 03:00:21.997,2023-12-15,19.1441,ABMag,g - ZTF,1.927,Seyfert1,LEDA  979710,['LEDA  979710' '325.523' '-10.318' '1.927' 'inf' 'Seyfert1' 'Sy1'],A. Munoz-Arancibia
2023aabg*,12:56:34.570,+23:37:11.12,2023-12-13 11:59:16.999,2023-12-15,19.775,ABMag,g - ZTF,2.134,Galaxy,2MASX J12563438+2337105,['2MASX J12563438+2337105' '194.143' '23.62' '2.134' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023aabh*,14:02:48.318,+29:00:43.54,2023-12-13 11:55:12.003,2023-12-15,19.2943,ABMag,g - ZTF,2.299,StarburstG,2MASX J14024818+2900455,"['2MASX J14024818+2900455' '210.701' '29.013' '2.299' 'inf' 'StarburstG'
 'SBG']",A. Munoz-Arancibia
2023zzi,02:54:47.184,+15:35:24.33,2023-12-14 02:58:33.600,2023-12-15,17.96,ABMag,r - ZTF,2.309,GtowardsGroup,MCG+02-08-034,['MCG+02-08-034' '43.697' '15.589' '2.309' '1.494' 'GtowardsGroup' 'GiG'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023aaad*,08:21:47.514,+17:47:30.36,2023-12-13 09:57:36.000,2023-12-15,20.01,ABMag,g - ZTF,2.42,LINER,2MASX J08214762+1747323,['2MASX J08214762+1747323' '125.448' '17.792' '2.42' 'inf' 'LINER' 'LIN'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zzn,03:07:26.808,-42:39:31.22,2023-12-11 21:21:23.904,2023-12-15,19.157,ABMag,orange - ATLAS,2.781,Galaxy,LEDA  560141,['LEDA  560141' '46.862' '-42.659' '2.781' 'inf' 'Galaxy' 'G'],J. Tonry
2023aabn,22:37:17.141,-23:58:20.53,2023-12-13 02:56:37.997,2023-12-15,18.8431,ABMag,r - ZTF,2.866,Galaxy,LEDA  795000,['LEDA  795000' '339.321' '-23.972' '2.866' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023zzg*,15:26:49.705,+06:42:51.94,2023-12-12 13:25:39.003,2023-12-15,19.4003,ABMag,r - ZTF,3.351,Galaxy,SDSS J152649.48+064251.2,['SDSS J152649.48+064251.2' '231.706' '6.714' '3.351' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023zzd,23:40:55.111,-13:46:13.79,2023-12-12 02:35:39.002,2023-12-15,19.0456,ABMag,g - ZTF,3.92,Galaxy,LEDA  933502,['LEDA  933502' '355.23' '-13.77' '3.92' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023aaaa,10:02:36.565,+10:51:50.53,2023-12-13 13:10:35.328,2023-12-15,19.5,ABMag,w - P1,4.62,PairG,[WLH2009] 235,['[WLH2009] 235' '150.651' '10.865' '4.62' 'inf' 'PairG' 'PaG'],K. C. Chambers
2023zzw,22:19:02.040,-68:17:06.79,2023-12-12 10:04:48.000,2023-12-15,18.79,ABMag,G - Gaia,4.901,Galaxy,LEDA  286881,['LEDA  286881' '334.761' '-68.284' '4.901' 'inf' 'Galaxy' 'G'],S.T. Hodgkin
