TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Reporter
2023xsz,00:45:48.771,-28:48:25.65,2023-11-12 22:48:42.336,15-Nov-2023,19.114,ABMag,cyan - ATLAS,0.517,Galaxy,LEDA  737216,['LEDA  737216' '11.453' '-28.807' '0.517' 'inf' 'Galaxy' 'G'],,,,J. Tonry
2023xsn,22:43:53.511,-14:39:42.48,2023-07-24 10:35:02.400,15-Nov-2023,20.36,ABMag,g - ZTF,0.519,Galaxy,2dFGRS TGS855Z046,['2dFGRS TGS855Z046' '340.973' '-14.662' '0.519' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xtw,01:31:14.451,+05:22:46.00,2023-11-05 05:15:21.600,15-Nov-2023,20.2,ABMag,g - ZTF,0.874,Galaxy,LAMOST J013114.49+052245.4,['LAMOST J013114.49+052245.4' '22.81' '5.379' '0.874' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xty*,08:07:00.895,+47:27:35.29,2023-11-10 09:50:24.000,15-Nov-2023,19.82,ABMag,g - ZTF,1.183,Galaxy,SDSS J080700.96+472734.3,['SDSS J080700.96+472734.3' '121.754' '47.46' '1.183' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xuh*,08:43:08.050,+11:05:07.04,2023-11-02 10:03:21.600,15-Nov-2023,19.34,ABMag,r - ZTF,1.214,Galaxy,2MASX J08430812+1105078,['2MASX J08430812+1105078' '130.784' '11.086' '1.214' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xtu,04:46:08.255,+08:23:29.41,2023-11-10 09:15:50.400,15-Nov-2023,20.52,ABMag,g - ZTF,1.63,Galaxy,Gaia DR3 3292321169460112768,['Gaia DR3 3292321169460112768' '71.534' '8.391' '1.63' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xsi,22:48:11.241,+23:42:58.02,2023-05-27 13:49:37.632,15-Nov-2023,20.69,ABMag,g - P1,1.818,Galaxy,LEDA 1692354,['LEDA 1692354' '342.046' '23.716' '1.818' 'inf' 'Galaxy' 'G'],,,,D. O. Jones (UC Santa Cruz)
2023xtp,02:36:58.274,-25:12:28.96,2023-11-14 03:47:42.432,15-Nov-2023,17.297,ABMag,orange - ATLAS,2.18,Galaxy,ESO 479-16,['ESO 479-16' '39.243' '-25.208' '2.18' 'inf' 'Galaxy' 'G'],Galaxy,2dFGRS TGS104Z073,['2dFGRS TGS104Z073' '39.243' '-25.208' '2.572' 'inf' 'Galaxy' 'G'],J. Tonry
2023xss,04:57:34.588,-22:50:34.00,2023-11-10 09:02:52.800,15-Nov-2023,20.01,ABMag,g - ZTF,2.785,Galaxy,LEDA  808125,['LEDA  808125' '74.393' '-22.843' '2.785' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xsk*,10:21:51.510,+41:07:53.09,2023-11-11 15:21:08.352,15-Nov-2023,20.19,ABMag,g - P1,4.058,Galaxy,Gaia DR3 804739230461400320,"['Gaia DR3 804739230461400320' '155.464' '41.131' '4.058' 'inf' 'Galaxy'
 'G']",,,,D. O. Jones (UC Santa Cruz)
2023xsu,05:03:08.812,-50:36:42.86,2023-11-10 23:39:32.256,15-Nov-2023,19.183,ABMag,cyan - ATLAS,4.123,Galaxy,LEDA  464754,['LEDA  464754' '75.785' '-50.611' '4.123' 'inf' 'Galaxy' 'G'],,,,J. Tonry
2023xsx,22:20:35.528,-52:14:21.05,2023-11-10 19:25:43.392,15-Nov-2023,19.222,ABMag,cyan - ATLAS,4.217,GtowardsCl,LEDA  446877,['LEDA  446877' '335.147' '-52.238' '4.217' 'inf' 'GtowardsCl' 'GiC'],,,,J. Tonry
2023xsy,23:35:35.668,-40:12:40.81,2023-11-13 19:55:11.136,15-Nov-2023,19.49,ABMag,cyan - ATLAS,4.645,Galaxy,LEDA 2794577,['LEDA 2794577' '353.9' '-40.21' '4.645' 'inf' 'Galaxy' 'G'],,,,J. Tonry
