TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024ht,04:33:34.100,-60:30:13.72,2024-01-01 21:48:57.600,2024-01-06,17.04,ABMag,G - Gaia,0.079,QSO,QSO B0432-606,['QSO B0432-606' '68.392' '-60.504' '0.079' 'inf' 'QSO' 'QSO'],S.T. Hodgkin,No
2024jb,16:02:36.815,+03:53:09.52,2024-01-02 13:17:45.600,2024-01-06,19.49,ABMag,r - ZTF,0.165,Galaxy,2MASX J16023678+0353088,['2MASX J16023678+0353088' '240.653' '3.886' '0.165' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2023acka,03:48:45.899,+33:28:26.68,2023-07-14 11:26:52.800,2024-01-06,19.45,ABMag,r - ZTF,0.352,Galaxy,2MASX J03484594+3328263,['2MASX J03484594+3328263' '57.191' '33.474' '0.352' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024hx,12:06:47.453,+01:00:47.76,2024-01-05 11:08:09.600,2024-01-06,19.28,ABMag,r - ZTF,0.602,Galaxy,2dFGRS TGN382Z025,['2dFGRS TGN382Z025' '181.698' '1.013' '0.602' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024ka,12:04:09.756,+01:49:33.87,2024-01-05 14:06:06.048,2024-01-06,17.767,ABMag,orange - ATLAS,0.618,GtowardsGroup,Z  13-56,['Z  13-56' '181.041' '1.826' '0.618' 'inf' 'GtowardsGroup' 'GiG'],J. Tonry,Yes
2024iy,09:59:19.947,-03:21:17.18,2024-01-05 09:50:24.000,2024-01-06,19.36,ABMag,g - ZTF,0.814,Galaxy,2dFGRS TGN153Z220,['2dFGRS TGN153Z220' '149.833' '-3.355' '0.814' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024ii,11:09:49.674,+05:52:30.42,2024-01-05 09:15:50.400,2024-01-06,19.4,ABMag,g - ZTF,0.833,Galaxy,2MASX J11094970+0552312,['2MASX J11094970+0552312' '167.457' '5.875' '0.833' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024ia,11:31:52.149,-05:31:02.45,2024-01-05 09:14:24.000,2024-01-06,19.32,ABMag,g - ZTF,0.859,Galaxy,2dFGRS TGN112Z035,['2dFGRS TGN112Z035' '172.967' '-5.517' '0.859' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2021aiax,11:35:32.102,-13:28:30.94,2021-01-16 11:06:43.200,2024-01-06,20.33,ABMag,g - ZTF,0.894,Seyfert1,2MASX J11353202-1328306,"['2MASX J11353202-1328306' '173.884' '-13.475' '0.894' 'inf' 'Seyfert1'
 'Sy1']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024il,11:28:33.990,+18:09:03.16,2024-01-05 09:18:43.200,2024-01-06,19.01,ABMag,g - ZTF,0.949,Galaxy,LEDA 1551559,['LEDA 1551559' '172.142' '18.151' '0.949' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
