TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter,SDSS_image
2024gzp,16:44:07.345,+36:52:08.74,2024-04-09 10:37:29.003,2024-04-22,20.3728,ABMag,r - ZTF,0.304,Galaxy,SDSS J164407.32+365208.5,['SDSS J164407.32+365208.5' '251.031' '36.869' '0.304' 'inf' 'Galaxy' 'G'],,,,,,,Jesper Sollerman (SU),Yes
2024gzi,10:37:12.257,+06:38:17.46,2024-04-13 06:26:41.000,2024-04-22,19.7114,ABMag,g - ZTF,0.79,Galaxy,SDSS J103712.22+063816.8,['SDSS J103712.22+063816.8' '159.301' '6.638' '0.79' 'inf' 'Galaxy' 'G'],,,,,,,K-Ryan Hinds (LJMU),Yes
2024gzg,10:21:31.126,+13:26:00.62,2024-04-21 05:36:22.003,2024-04-22,19.014,ABMag,r - ZTF,1.257,Galaxy,2MASX J10213120+1326010,['2MASX J10213120+1326010' '155.38' '13.434' '1.257' 'inf' 'Galaxy' 'G'],,,,,,,Jesper Sollerman (SU),Yes
2024gzl,14:12:04.508,+54:30:35.58,2024-04-21 08:11:02.002,2024-04-22,18.9544,ABMag,g - ZTF,1.479,Galaxy,LEDA 2471734,['LEDA 2471734' '213.018' '54.51' '1.479' 'inf' 'Galaxy' 'G'],,,,,,,Jesper Sollerman (SU),Yes
2024gzj,07:54:54.248,+53:50:47.05,2024-04-21 06:25:24.960,2024-04-22,19.0558,ABMag,g - ZTF,1.946,RadioG,NVSS J075454+535046,['NVSS J075454+535046' '118.727' '53.846' '1.946' 'inf' 'RadioG' 'rG'],,,,,,,K. De (Caltech) on behalf of ZTF,Yes
2024gzo,19:58:55.506,+44:26:43.38,2024-03-22 11:21:54.996,2024-04-22,19.6177,ABMag,r - ZTF,3.21,Galaxy,2MFGC 15234,['2MFGC 15234' '299.73' '44.445' '3.21' 'inf' 'Galaxy' 'G'],,,,,,,Jesper Sollerman (SU),No
2024had,16:01:49.358,+18:01:44.30,2024-04-21 08:41:39.998,2024-04-22,19.7939,ABMag,g - ZTF,3.37,GtowardsCl,2MASX J16014955+1801466,"['2MASX J16014955+1801466' '240.456' '18.03' '3.37' 'inf' 'GtowardsCl'
 'GiC']",,,,,,,F. Forster,Yes
2024gzq,17:42:21.847,+49:13:16.99,2024-04-14 10:52:40.998,2024-04-22,20.0922,ABMag,r - ZTF,4.585,Galaxy,LEDA 2336809,['LEDA 2336809' '265.592' '49.222' '4.585' 'inf' 'Galaxy' 'G'],,,,,,,Jesper Sollerman (SU),No
2024gzk,11:28:32.397,+58:33:44.08,2024-04-12 08:23:04.000,2024-04-22,19.004,ABMag,g - ZTF,5.001,PartofG,GSW e,['GSW e' '172.133' '58.563' '5.001' 'inf' 'PartofG' 'PoG'],PartofG,GSW d,['GSW d' '172.138' '58.562' '5.156' 'inf' 'PartofG' 'PoG'],PartofG,GSW B2,['GSW B2' '172.131' '58.562' '7.875' 'inf' 'PartofG' 'PoG'],E. Kankare,No
2024gzu,17:21:31.284,+72:27:23.51,2024-04-18 08:26:56.999,2024-04-22,19.793,ABMag,r - ZTF,5.655,Galaxy,LEDA 2749662,['LEDA 2749662' '260.376' '72.458' '5.655' 'inf' 'Galaxy' 'G'],,,,,,,Jesper Sollerman (SU),No
2024gzx,06:30:39.904,+51:51:42.90,2024-04-21 05:54:11.808,2024-04-22,19.03,ABMag,r - P1,6.499,Galaxy,2MASX J06304007+5151494,['2MASX J06304007+5151494' '97.667' '51.864' '6.499' 'inf' 'Galaxy' 'G'],,,,,,,D. O. Jones (UC Santa Cruz),No
