TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Reporter,SDSS_image
2024far,13:39:13.674,+24:53:35.12,2024-03-27 08:36:48.960,2024-03-29,18.9122,ABMag,g - ZTF,0.19,LINER,2MASX J13391367+2453348,['2MASX J13391367+2453348' '204.807' '24.893' '0.19' 'inf' 'LINER' 'LIN'],,,,K. De (Caltech) on behalf of ZTF,Yes
2024fay,09:09:55.124,+25:32:01.08,2024-03-28 06:40:34.000,2024-03-29,18.6936,ABMag,r - ZTF,0.866,Galaxy,2MFGC 7137,['2MFGC 7137' '137.48' '25.534' '0.866' 'inf' 'Galaxy' 'G'],,,,A. Munoz-Arancibia,Yes
2022aese,09:43:24.125,+01:12:11.85,2022-10-06 12:23:02.400,2024-03-29,18.88,ABMag,r - ZTF,0.873,Galaxy,SDSS J094324.11+011212.7,['SDSS J094324.11+011212.7' '145.85' '1.204' '0.873' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024fad,11:07:12.816,+57:45:02.58,2024-03-28 07:17:21.408,2024-03-29,19.11,ABMag,g - ZTF,2.193,Galaxy,SDSS J110712.67+574500.6,['SDSS J110712.67+574500.6' '166.803' '57.75' '2.193' 'inf' 'Galaxy' 'G'],,,,J. Nordin,Yes
2024fax,08:55:16.718,+24:51:01.99,2024-03-28 06:40:34.000,2024-03-29,19.1622,ABMag,r - ZTF,2.231,Galaxy,2MASX J08551658+2451021,['2MASX J08551658+2451021' '133.819' '24.851' '2.231' 'inf' 'Galaxy' 'G'],,,,A. Munoz-Arancibia,Yes
2024fbg,08:58:18.905,+26:22:45.06,2024-03-28 06:40:19.200,2024-03-29,19.04,ABMag,r - ZTF,3.035,Galaxy,LEDA 1773977,['LEDA 1773977' '134.578' '26.379' '3.035' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024fas,10:51:55.368,+37:35:24.12,2024-03-28 07:41:17.376,2024-03-29,19.5652,ABMag,g - ZTF,3.221,Galaxy,SDSS J105155.09+373524.1,['SDSS J105155.09+373524.1' '162.98' '37.59' '3.221' 'inf' 'Galaxy' 'G'],Galaxy,LEDA 2104519,['LEDA 2104519' '162.979' '37.592' '9.646' 'inf' 'Galaxy' 'G'],K. De (Caltech) on behalf of ZTF,Yes
2024fam,08:53:00.514,-00:37:04.90,2024-03-28 06:58:51.168,2024-03-29,20.43,ABMag,i - P1,3.818,Galaxy,GAMA 549839,['GAMA 549839' '133.253' '-0.618' '3.818' 'inf' 'Galaxy' 'G'],,,,D. O. Jones (UC Santa Cruz),Yes
2024faw,10:37:45.201,+30:17:34.74,2024-03-28 07:43:19.001,2024-03-29,19.6187,ABMag,g - ZTF,4.056,Galaxy,LEDA 1898037,['LEDA 1898037' '159.439' '30.294' '4.056' 'inf' 'Galaxy' 'G'],,,,A. Munoz-Arancibia,Yes
2024fau,07:57:29.003,-05:00:35.75,2024-03-22 06:53:16.800,2024-03-29,19.53,ABMag,g - ZTF,5.564,Galaxy,2MASX J07572896-0500409,['2MASX J07572896-0500409' '119.371' '-5.011' '5.564' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024faf,11:28:57.346,+73:02:12.12,2024-03-21 08:05:11.002,2024-03-29,19.6941,ABMag,r - ZTF,6.615,GtowardsGroup,UGC  6473,['UGC  6473' '172.237' '73.035' '6.615' '2.819' 'GtowardsGroup' 'GiG'],,,,Jesper Sollerman (SU),No
