TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter,SDSS_image
2024fdg,14:26:01.165,-05:01:40.40,2024-03-21 10:22:04.800,2024-03-30,19.42,ABMag,r - ZTF,0.796,Galaxy,LEDA 1050279,['LEDA 1050279' '216.505' '-5.028' '0.796' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024fdl,14:13:12.692,-06:29:28.58,2024-03-21 10:22:04.800,2024-03-30,19,ABMag,r - ZTF,0.884,Galaxy,2MFGC 11532,['2MFGC 11532' '213.303' '-6.491' '0.884' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024fcf,11:37:47.433,-03:17:21.70,2024-03-29 07:09:07.200,2024-03-30,19.73,ABMag,g - ZTF,1.298,Galaxy,2dFGRS TGN172Z118,['2dFGRS TGN172Z118' '174.448' '-3.29' '1.298' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024fcb,08:07:21.950,+25:07:44.00,2024-03-29 16:11:52.224,2024-03-30,17.71,VegaMag,Clear - ,1.683,Galaxy,Gaia DR3 681104954707822080,"['Gaia DR3 681104954707822080' '121.841' '25.129' '1.683' 'inf' 'Galaxy'
 'G']",,,,,,,Mi Zhang,Yes
2024fbs,22:42:54.965,-42:02:48.08,2024-03-28 09:19:14.304,2024-03-30,16.579,ABMag,orange - ATLAS,1.807,Galaxy,ESO 345-44,['ESO 345-44' '340.729' '-42.047' '1.807' '0.979' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024fbk,05:49:59.175,-43:28:16.95,2024-03-28 00:28:56.640,2024-03-30,18.488,ABMag,orange - ATLAS,1.906,Galaxy,LEDA  548349,['LEDA  548349' '87.496' '-43.471' '1.906' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024fcy,15:08:04.320,+25:45:10.45,2024-03-19 10:36:28.800,2024-03-30,20.69,ABMag,g - ZTF,1.94,Galaxy,LEDA 1748438,['LEDA 1748438' '227.018' '25.753' '1.94' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024fdc,11:28:57.412,-02:49:12.13,2024-03-20 05:34:04.800,2024-03-30,19.41,ABMag,g - ZTF,2.75,Galaxy,SDSS J112857.36-024909.4,['SDSS J112857.36-024909.4' '172.239' '-2.819' '2.75' 'inf' 'Galaxy' 'G'],PairG,LEDA 1082109,['LEDA 1082109' '172.238' '-2.82' '3.293' 'inf' 'PairG' 'PaG'],Compact_Gr_G,[ZS2020] cCGs-0312,['[ZS2020] cCGs-0312' '172.241' '-2.82' '5.814' 'inf' 'Compact_Gr_G' 'CGG'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024fbx,16:26:05.222,+28:27:21.51,2024-03-29 13:01:18.048,2024-03-30,19.48,ABMag,r - P1,2.867,Galaxy,LEDA 1836253,['LEDA 1836253' '246.521' '28.456' '2.867' 'inf' 'Galaxy' 'G'],,,,,,,D. O. Jones (UC Santa Cruz),Yes
2024fcx,11:13:11.643,-03:58:27.81,2024-03-27 08:08:09.600,2024-03-30,19.7,ABMag,g - ZTF,3.132,Galaxy,2dFGRS TGN167Z341,['2dFGRS TGN167Z341' '168.298' '-3.975' '3.132' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
