TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024dfy,01:01:40.390,-33:17:14.64,2024-02-19 03:18:43.200,2024-02-26,17.63,ABMag,G - Gaia,0.025,QSO,QSO B0059-3333,['QSO B0059-3333' '15.418' '-33.287' '0.025' 'inf' 'QSO' 'QSO'],S.T. Hodgkin,No
2024dfz,13:04:33.430,+32:06:35.57,2024-02-19 02:18:14.400,2024-02-26,18.34,ABMag,G - Gaia,0.056,QSO,AB 114,['AB 114' '196.139' '32.11' '0.056' 'inf' 'QSO' 'QSO'],S.T. Hodgkin,Yes
2024dfx,09:10:31.954,-22:30:35.41,2024-02-21 07:30:04.320,2024-02-26,19.18,ABMag,i - P1,0.667,EmissionG,6dFGS gJ091031.9-223036,"['6dFGS gJ091031.9-223036' '137.633' '-22.51' '0.667' 'inf' 'EmissionG'
 'EmG']",K. C. Chambers,No
2024dfv,15:56:16.831,+24:06:27.35,2024-02-25 05:21:11.520,2024-02-26,18.84,ABMag,L - GOTO,1.26,Galaxy,2MASX J15561691+2406268,['2MASX J15561691+2406268' '239.071' '24.108' '1.26' 'inf' 'Galaxy' 'G'],G. Ramsay,Yes
2024dfw,14:03:11.523,+58:13:06.91,2024-02-20 13:46:10.272,2024-02-26,20.22,ABMag,i - P1,2.752,Galaxy,LEDA 2575985,['LEDA 2575985' '210.797' '58.218' '2.752' 'inf' 'Galaxy' 'G'],K. C. Chambers,Yes
2024dfr,04:26:49.493,-09:08:30.62,2024-02-23 05:45:37.728,2024-02-26,18.32,ABMag,r - P1,2.859,Galaxy,LEDA  994678,['LEDA  994678' '66.707' '-9.142' '2.859' 'inf' 'Galaxy' 'G'],D. O. Jones (UC Santa Cruz),No
2024dga,14:59:35.911,+49:19:36.24,2024-02-23 11:56:32.640,2024-02-26,18.241,ABMag,orange - ATLAS,4.527,Galaxy,Z 248-40,['Z 248-40' '224.898' '49.327' '4.527' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
