TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter
2023vtj*,10:14:45.859,+36:41:11.44,2023-09-24 12:28:48.000,2023-10-25,19.2,ABMag,r - ZTF,0.303,Galaxy,LEDA 2085127,['LEDA 2085127' '153.691' '36.686' '0.303' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023vtm,09:59:07.521,-06:48:38.23,2023-10-13 12:20:09.600,2023-10-25,18.69,ABMag,r - ZTF,0.388,Galaxy,LEDA 1028394,['LEDA 1028394' '149.781' '-6.811' '0.388' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023vsw,01:12:53.851,-42:02:16.61,2023-10-10 05:05:10.752,2023-10-25,18.871,ABMag,orange - ATLAS,0.485,Galaxy,2MASX J01125388-4202165,['2MASX J01125388-4202165' '18.225' '-42.038' '0.485' 'inf' 'Galaxy' 'G'],J. Tonry
2021aiao,22:42:54.849,-05:22:34.00,2021-08-14 09:08:38.400,2023-10-25,18.24,ABMag,r - ZTF,0.732,Galaxy,LEDA 1045523,['LEDA 1045523' '340.728' '-5.376' '0.732' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023vsv,06:02:05.923,-76:23:45.84,2023-10-10 08:36:36.000,2023-10-25,18.401,ABMag,orange - ATLAS,0.736,Galaxy,2MASX J06020615-7623463,['2MASX J06020615-7623463' '90.525' '-76.396' '0.736' 'inf' 'Galaxy' 'G'],J. Tonry
2023vta,09:47:23.502,-23:43:58.12,2023-10-24 08:01:46.848,2023-10-25,18.238,ABMag,orange - ATLAS,0.749,Seyfert2,LEDA  797668,['LEDA  797668' '146.848' '-23.733' '0.749' 'inf' 'Seyfert2' 'Sy2'],J. Tonry
2023vtb,23:09:02.066,-16:39:36.89,2023-10-11 05:32:38.400,2023-10-25,19.39,ABMag,g - ZTF,1.301,Galaxy,LEDA  895342,['LEDA  895342' '347.258' '-16.66' '1.301' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023vtn,09:44:31.723,-03:50:12.07,2023-10-13 12:21:36.000,2023-10-25,19.19,ABMag,r - ZTF,1.842,Galaxy,LEDA 1066242,['LEDA 1066242' '146.132' '-3.837' '1.842' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023vtw*,08:56:02.711,+47:25:02.53,2023-10-13 10:42:14.400,2023-10-25,19.86,ABMag,g - ZTF,1.924,Galaxy,LEDA 2297819,['LEDA 2297819' '134.012' '47.418' '1.924' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023vtv,00:48:00.200,-20:10:06.86,2023-09-26 08:23:59.000,2023-10-25,18.62,ABMag,r - ZTF,2.192,QSO,[VV98] J004800.2-201011,['[VV98] J004800.2-201011' '12.001' '-20.169' '2.192' 'inf' 'QSO' 'QSO'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
