TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter
2023zck,13:16:07.980,-33:38:59.21,2023-12-05 08:45:36.000,09-Dec-2023,16.34,ABMag,G - Gaia,0.083,QSO,QSO B1313-333,['QSO B1313-333' '199.033' '-33.65' '0.083' 'inf' 'QSO' 'QSO'],,,,,,,S.T. Hodgkin
2023zcy*,10:12:57.263,+39:28:50.28,2023-12-07 14:13:24.960,09-Dec-2023,20.36,ABMag,w - P1,0.181,HIIG,SDSS J101257.26+392850.2,['SDSS J101257.26+392850.2' '153.239' '39.481' '0.181' 'inf' 'HIIG' 'H2G'],,,,,,,K. C. Chambers
2019aaty,01:43:01.652,-19:49:09.11,2019-09-06 11:03:50.400,09-Dec-2023,18.83,ABMag,r - ZTF,0.413,Seyfert1,LEDA 3095543,['LEDA 3095543' '25.757' '-19.819' '0.413' 'inf' 'Seyfert1' 'Sy1'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zdi,02:27:24.157,-04:36:33.64,2023-12-08 06:37:08.256,09-Dec-2023,20.73,ABMag,w - P1,1.955,Galaxy,GAMA J022724.10-043635.4,['GAMA J022724.10-043635.4' '36.85' '-4.61' '1.955' 'inf' 'Galaxy' 'G'],Galaxy,VIDEO J022724.34-043636.84,['VIDEO J022724.34-043636.84' '36.851' '-4.61' '4.279' 'inf' 'Galaxy' 'G'],,,,K. C. Chambers
2023zdg,02:24:23.004,-04:34:16.18,2023-12-08 06:37:08.256,09-Dec-2023,20.47,ABMag,w - P1,2.503,Galaxy,VIDEO J022422.84-043415.17,['VIDEO J022422.84-043415.17' '36.095' '-4.571' '2.503' 'inf' 'Galaxy' 'G'],Galaxy,VIDEO J022422.98-043413.23,['VIDEO J022422.98-043413.23' '36.096' '-4.57' '3.002' 'inf' 'Galaxy' 'G'],Galaxy,SDSS J022423.18-043414.5,['SDSS J022423.18-043414.5' '36.097' '-4.571' '3.293' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023zdo,02:53:48.896,-26:04:13.82,2023-12-08 07:51:59.328,09-Dec-2023,20.41,ABMag,g - P1,2.765,Galaxy,2dFGRS TGS162Z294,['2dFGRS TGS162Z294' '43.453' '-26.07' '2.765' 'inf' 'Galaxy' 'G'],,,,,,,D. O. Jones (UC Santa Cruz)
2023zci,13:21:47.710,-31:31:25.21,2023-12-05 14:42:43.200,09-Dec-2023,17.97,ABMag,G - Gaia,3.529,Galaxy,WINGS J132147.97-313126.4,['WINGS J132147.97-313126.4' '200.45' '-31.524' '3.529' 'inf' 'Galaxy' 'G'],,,,,,,S.T. Hodgkin
2023zdc*,00:19:48.221,+25:35:55.49,2023-12-08 07:11:07.296,09-Dec-2023,19.32,ABMag,g - P1,4.861,Galaxy,LEDA 1742361,['LEDA 1742361' '4.952' '25.598' '4.861' 'inf' 'Galaxy' 'G'],,,,,,,D. O. Jones (UC Santa Cruz)
