TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Reporter,SDSS_image
2024hch,14:42:01.699,+32:55:18.89,2024-04-21 08:19:58.995,2024-04-24,19.4882,ABMag,g - ZTF,0.134,Galaxy,2MASX J14420173+3255189,['2MASX J14420173+3255189' '220.507' '32.922' '0.134' 'inf' 'Galaxy' 'G'],,,,Jesper Sollerman (SU),Yes
2024hcu,17:11:27.905,+79:07:54.49,2024-04-17 09:17:49.001,2024-04-24,19.7628,ABMag,r - ZTF,0.169,Galaxy,Gaia DR3 1706211943436845824,"['Gaia DR3 1706211943436845824' '257.867' '79.132' '0.169' 'inf' 'Galaxy'
 'G']",,,,Gabrielle Stewart (UC Berkeley),No
2024hdd,14:08:51.216,+09:12:49.09,2024-04-04 09:04:55.997,2024-04-24,19.7346,ABMag,g - ZTF,0.221,BrightestCG,SDSS J140851.20+091249.1,"['SDSS J140851.20+091249.1' '212.213' '9.214' '0.221' 'inf' 'BrightestCG'
 'BiC']",,,,Daniel Perley (LJMU),Yes
2024hbc,16:00:37.974,+36:29:14.94,2024-04-18 08:29:07.998,2024-04-24,19.5781,ABMag,r - ZTF,0.285,Galaxy,2MASX J16003797+3629148,['2MASX J16003797+3629148' '240.158' '36.487' '0.285' 'inf' 'Galaxy' 'G'],,,,Kate Bostow (UC Berkeley),Yes
2024hde,12:23:11.285,+30:52:56.81,2024-04-16 07:43:20.997,2024-04-24,18.5274,ABMag,g - ZTF,1.055,GtowardsCl,2MASX J12231134+3052567,"['2MASX J12231134+3052567' '185.797' '30.882' '1.055' 'inf' 'GtowardsCl'
 'GiC']",,,,Daniel Perley (LJMU),Yes
2024hdj,22:45:54.703,-06:34:55.45,2024-04-23 09:39:16.992,2024-04-24,17.887,ABMag,orange - ATLAS,1.065,Seyfert1,LEDA 1031176,['LEDA 1031176' '341.478' '-6.582' '1.065' 'inf' 'Seyfert1' 'Sy1'],,,,J. Tonry,No
2024hci,12:17:27.395,-01:55:12.01,2024-04-18 05:35:24.996,2024-04-24,19.455,ABMag,g - ZTF,1.509,Galaxy,LEDA 1106425,['LEDA 1106425' '184.364' '-1.92' '1.509' 'inf' 'Galaxy' 'G'],,,,Jesper Sollerman (SU),No
2024hbd,08:09:29.210,-21:54:10.80,2024-04-22 21:40:38.208,2024-04-24,17.7,VegaMag,Clear - ,2.49,Galaxy,2MASX J08092936-2154120,['2MASX J08092936-2154120' '122.372' '-21.903' '2.49' 'inf' 'Galaxy' 'G'],,,,A.Chasovnikov,No
2024hdf,04:58:17.720,-33:48:31.99,2024-04-23 17:07:16.032,2024-04-24,17.838,ABMag,orange - ATLAS,2.562,EmissionG,6dFGS gJ045817.5-334831,"['6dFGS gJ045817.5-334831' '74.573' '-33.809' '2.562' 'inf' 'EmissionG'
 'EmG']",,,,J. Tonry,No
2024hco,10:58:16.834,+16:53:02.16,2024-04-23 07:24:42.998,2024-04-24,18.783,ABMag,g - ZTF,3.227,EmissionG,2MASX J10581662+1653011,"['2MASX J10581662+1653011' '164.569' '16.884' '3.227' 'inf' 'EmissionG'
 'EmG']",,,,A. Munoz-Arancibia,Yes
2024hcg,15:24:00.864,+29:35:13.49,2024-04-12 10:57:13.003,2024-04-24,20.5602,ABMag,r - ZTF,3.969,Galaxy,[RGD2013] J152400.572+293514.607,"['[RGD2013] J152400.572+293514.607' '231.002' '29.587' '3.969' 'inf'
 'Galaxy' 'G']",,,,Jesper Sollerman (SU),No
2024hcq,22:32:53.775,-22:26:11.56,2024-04-23 03:22:12.288,2024-04-24,17.614,ABMag,orange - ATLAS,4.454,Galaxy,LEDA  814237,['LEDA  814237' '338.224' '-22.438' '4.454' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
2024hdc,11:31:49.890,-19:55:46.99,2024-04-03 06:24:54.996,2024-04-24,20.3089,ABMag,r - ZTF,7.75,Galaxy,[FBC2017] J113149.4-195550.5,"['[FBC2017] J113149.4-195550.5' '172.956' '-19.931' '7.75' 'inf' 'Galaxy'
 'G']",Galaxy,[FBC2017] J113149.4-195543.1,"['[FBC2017] J113149.4-195543.1' '172.956' '-19.929' '7.93' 'inf' 'Galaxy'
 'G']",Veda Arikatla (UC Berkeley),No
