TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024mzs,03:34:57.650,-29:04:11.21,2024-06-25 18:44:38.400,2024-06-29,18.7,ABMag,G - Gaia,0.11,QSO,DES J033457.65-290411.2,['DES J033457.65-290411.2' '53.74' '-29.07' '0.11' 'inf' 'QSO' 'QSO'],S.T. Hodgkin,No
2024nas,15:44:19.028,+36:02:35.98,2024-06-23 05:55:39.003,2024-06-29,19.9052,ABMag,g - ZTF,0.243,Galaxy,Gaia DR3 1375869447307930368,"['Gaia DR3 1375869447307930368' '236.079' '36.043' '0.243' 'inf' 'Galaxy'
 'G']",A. Munoz-Arancibia,No
2024nch,17:24:55.023,+57:10:36.97,2024-06-28 09:46:22.080,2024-06-29,19.734,ABMag,orange - ATLAS,1.047,Galaxy,LEDA 2559173,['LEDA 2559173' '261.229' '57.177' '1.047' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024nav,11:35:26.207,-28:42:51.85,2024-06-26 18:10:54.912,2024-06-29,19.279,ABMag,cyan - ATLAS,1.154,Galaxy,LEDA  738334,['LEDA  738334' '173.859' '-28.715' '1.154' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024nbl,13:59:31.830,-02:17:14.74,2024-06-25 04:37:28.001,2024-06-29,19.7819,ABMag,g - ZTF,1.338,Galaxy,2dFGRS TGN203Z150,['2dFGRS TGN203Z150' '209.882' '-2.288' '1.338' 'inf' 'Galaxy' 'G'],K-Ryan Hinds (LJMU),No
2024nci,14:27:44.635,+30:45:43.34,2024-06-28 07:53:37.824,2024-06-29,19.061,ABMag,orange - ATLAS,1.662,Seyfert1,LEDA 1916859,['LEDA 1916859' '216.936' '30.762' '1.662' '3.171' 'Seyfert1' 'Sy1'],J. Tonry,Yes
2024mzz,10:55:05.338,-01:04:37.91,2024-06-27 06:50:00.672,2024-06-29,18.844,ABMag,orange - ATLAS,2.183,Galaxy,2dFGRS TGN298Z122,['2dFGRS TGN298Z122' '163.772' '-1.078' '2.183' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024nbv,21:17:32.326,-23:19:15.75,2024-06-23 10:02:14.000,2024-06-29,19.0378,ABMag,g - ZTF,2.47,Galaxy,LEDA  802151,['LEDA  802151' '319.385' '-23.322' '2.47' 'inf' 'Galaxy' 'G'],Pallas Andrew Beddow (UC Berkeley),No
2024nao,14:52:23.438,+18:45:12.49,2024-06-27 05:34:49.996,2024-06-29,20.0718,ABMag,g - ZTF,3.246,Galaxy,2MASX J14522366+1845134,['2MASX J14522366+1845134' '223.099' '18.754' '3.246' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,Yes
2024nbb,21:51:48.058,-23:20:39.42,2024-06-27 10:01:11.999,2024-06-29,19.6079,ABMag,g - ZTF,3.668,Galaxy,LEDA  801886,['LEDA  801886' '327.95' '-23.345' '3.668' 'inf' 'Galaxy' 'G'],Nabeel Rehemtulla (CIERA,No
2024mzx,10:54:12.507,-06:12:33.12,2024-06-27 17:15:36.288,2024-06-29,18.993,ABMag,cyan - ATLAS,3.852,Galaxy,2MASX J10541236-0612359,['2MASX J10541236-0612359' '163.551' '-6.21' '3.852' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024nbo,22:33:42.364,-09:31:14.80,2024-06-28 09:07:11.999,2024-06-29,19.1133,ABMag,r - ZTF,4.918,Galaxy,LEDA  990003,['LEDA  990003' '338.428' '-9.521' '4.918' 'inf' 'Galaxy' 'G'],Nabeel Rehemtulla (CIERA,Yes
