TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024fuc,09:18:43.329,-02:20:07.48,2024-04-03 19:25:18.336,2024-04-06,20.096,ABMag,orange - ATLAS,0.129,QSO,QSO J0918-0220,['QSO J0918-0220' '139.681' '-2.335' '0.129' 'inf' 'QSO' 'QSO'],J. Tonry,No
2024fuf,22:25:10.979,-57:25:16.53,2024-04-03 08:59:11.616,2024-04-06,19.017,ABMag,orange - ATLAS,0.792,Galaxy,LEDA  390214,['LEDA  390214' '336.295' '-57.421' '0.792' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024fug,22:47:10.387,-52:28:35.17,2024-04-03 08:51:11.232,2024-04-06,19.133,ABMag,orange - ATLAS,1.253,GtowardsCl,2MASX J22471046-5228353,"['2MASX J22471046-5228353' '341.794' '-52.477' '1.253' 'inf' 'GtowardsCl'
 'GiC']",J. Tonry,No
2024fsa,12:23:20.758,-28:43:54.78,2024-04-04 20:49:12.000,2024-04-06,19.696,ABMag,orange - ATLAS,1.649,Galaxy,Gaia DR3 3474756433707044224,"['Gaia DR3 3474756433707044224' '185.836' '-28.732' '1.649' 'inf' 'Galaxy'
 'G']",J. Tonry,No
2024fub,13:52:40.560,-06:39:27.15,2024-04-03 20:51:30.240,2024-04-06,19.465,ABMag,orange - ATLAS,1.975,Galaxy,LCRS B135003.3-062442,['LCRS B135003.3-062442' '208.169' '-6.658' '1.975' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024fuq,21:39:20.499,-65:27:38.67,2024-04-05 08:07:27.264,2024-04-06,19.621,ABMag,orange - ATLAS,1.991,Galaxy,LEDA  313137,['LEDA  313137' '324.837' '-65.461' '1.991' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024fsc,21:17:03.561,-59:58:32.19,2024-04-03 08:07:11.712,2024-04-06,18.959,ABMag,orange - ATLAS,2.198,EmissionG,LEDA  367156,['LEDA  367156' '319.264' '-59.975' '2.198' 'inf' 'EmissionG' 'EmG'],J. Tonry,No
2024fud,22:38:26.354,-56:16:59.00,2024-04-03 08:51:11.232,2024-04-06,18.689,ABMag,orange - ATLAS,2.568,Galaxy,2MASX J22382604-5616578,['2MASX J22382604-5616578' '339.609' '-56.283' '2.568' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024fuz,14:37:57.696,+35:23:42.24,2024-04-03 23:15:02.592,2024-04-06,19.43,ABMag,L - GOTO,3.478,AGN,[KEC2012] 219.491454+35.394626,"['[KEC2012] 219.491454+35.394626' '219.491' '35.395' '3.478' 'inf' 'AGN'
 'AGN']",K. Ulaczyk,No
2024fvg,17:46:13.026,+43:14:53.84,2024-04-05 11:45:49.824,2024-04-06,19.953,ABMag,orange - ATLAS,3.565,Galaxy,LEDA 2216331,['LEDA 2216331' '266.553' '43.248' '3.565' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024fse,08:53:54.875,+41:20:31.68,2024-04-05 06:51:41.760,2024-04-06,19.979,ABMag,orange - ATLAS,7.459,Galaxy,LEDA 2179563,['LEDA 2179563' '133.479' '41.34' '7.459' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024fsf,06:26:56.209,-63:06:20.20,2024-04-05 00:44:09.024,2024-04-06,19.235,ABMag,orange - ATLAS,7.844,EmissionG,LEDA  335797,['LEDA  335797' '96.736' '-63.108' '7.844' 'inf' 'EmissionG' 'EmG'],J. Tonry,No
