TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Reporter,SDSS_image
2024inu,17:15:15.421,+20:13:40.30,2024-05-06 10:04:34.003,2024-05-11,19.505,ABMag,g - ZTF,0.029,Galaxy,2MASX J17151545+2013402,['2MASX J17151545+2013402' '258.814' '20.228' '0.029' 'inf' 'Galaxy' 'G'],,,,Yoomee Zeng (UC Berkeley),No
2024ior,10:47:59.084,+36:08:12.14,2024-05-10 06:41:33.003,2024-05-11,19.1053,ABMag,g - ZTF,1.299,Galaxy,2MASX J10475901+3608127,['2MASX J10475901+3608127' '161.996' '36.137' '1.299' 'inf' 'Galaxy' 'G'],,,,A. Munoz-Arancibia,Yes
2024inf,23:24:35.952,-24:39:51.48,2024-05-02 03:30:33.408,2024-05-11,18.515,ABMag,orange - ATLAS,1.403,Galaxy,2dFGRS TGS073Z144,['2dFGRS TGS073Z144' '351.15' '-24.665' '1.403' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
2024imo,15:03:17.390,+48:24:30.59,2024-05-10 07:13:39.360,2024-05-11,19.34,ABMag,g - ZTF,2.388,Galaxy,2MASX J15031722+4824289,['2MASX J15031722+4824289' '225.822' '48.408' '2.388' 'inf' 'Galaxy' 'G'],,,,J. Nordin,Yes
2024imr,12:52:14.523,+40:23:58.48,2024-05-09 08:43:55.776,2024-05-11,19.248,ABMag,orange - ATLAS,2.704,Galaxy,SDSSCGB 5183.3,['SDSSCGB 5183.3' '193.06' '40.4' '2.704' 'inf' 'Galaxy' 'G'],Galaxy,SDSSCGB 5183.1,['SDSSCGB 5183.1' '193.059' '40.399' '3.97' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024ipa,19:11:14.111,+28:43:16.63,2024-05-05 05:14:14.208,2024-05-11,20.45,ABMag,L - GOTO,2.994,Galaxy,2MASX J19111435+2843165,['2MASX J19111435+2843165' '287.81' '28.721' '2.994' 'inf' 'Galaxy' 'G'],,,,K. Ulaczyk,No
2024ioe,05:58:05.900,-38:19:33.13,2024-05-02 20:25:26.400,2024-05-11,17.52,ABMag,G - Gaia,3.107,Galaxy,2MASX J05580563-3819326,['2MASX J05580563-3819326' '89.523' '-38.326' '3.107' 'inf' 'Galaxy' 'G'],,,,S.T. Hodgkin,No
2024inm,23:49:00.442,-28:02:24.40,2024-05-06 03:42:14.112,2024-05-11,18.909,ABMag,cyan - ATLAS,5.122,GtowardsGroup,6dFGS gJ234900.1-280228,"['6dFGS gJ234900.1-280228' '357.25' '-28.041' '5.122' '2.723'
 'GtowardsGroup' 'GiG']",,,,J. Tonry,No
2024ioy,16:39:44.592,+39:38:12.18,2024-05-07 09:22:16.997,2024-05-11,20.4434,ABMag,r - ZTF,5.93,Galaxy,2MASX J16394469+3938076,['2MASX J16394469+3938076' '249.936' '39.635' '5.93' 'inf' 'Galaxy' 'G'],,,,A. Munoz-Arancibia,Yes
2024iom,06:01:49.640,-51:07:40.58,2024-05-02 20:13:55.200,2024-05-11,16.32,ABMag,G - Gaia,6.979,Galaxy,LEDA  459481,['LEDA  459481' '90.454' '-51.128' '6.979' 'inf' 'Galaxy' 'G'],,,,S.T. Hodgkin,No
2024imp,14:46:55.013,+64:03:48.47,2024-05-09 10:07:01.056,2024-05-11,19.016,ABMag,orange - ATLAS,7.523,Galaxy,SDSS J144656.15+640348.7,['SDSS J144656.15+640348.7' '221.734' '64.064' '7.523' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
2024ine,13:39:21.546,+60:17:42.54,2024-05-09 09:26:17.664,2024-05-11,19.134,ABMag,orange - ATLAS,8.228,Galaxy,LEDA 2600371,['LEDA 2600371' '204.841' '60.293' '8.228' 'inf' 'Galaxy' 'G'],,,,J. Tonry,Yes
