TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024ouy,14:51:07.902,-01:47:23.84,2024-07-01 07:05:53.664,2024-07-09,20.82,ABMag,w - P1,0.235,Galaxy,SDSS J145107.90-014723.6,['SDSS J145107.90-014723.6' '222.783' '-1.79' '0.235' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024ouf,14:25:06.855,-00:07:20.68,2024-07-01 06:56:34.656,2024-07-09,21.13,ABMag,w - P1,0.542,Galaxy,MGC 61977,['MGC 61977' '216.278' '-0.123' '0.542' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024paf,14:21:06.984,+29:07:24.12,2024-07-07 07:29:01.248,2024-07-09,19.376,ABMag,orange - ATLAS,0.543,EmissionG,KISS F1420-4537,['KISS F1420-4537' '215.279' '29.123' '0.543' 'inf' 'EmissionG' 'EmG'],J. Tonry,Yes
2024pal,00:17:26.093,-71:50:31.28,2024-07-07 01:18:48.672,2024-07-09,18.588,ABMag,cyan - ATLAS,0.883,EmissionG,LEDA  266917,['LEDA  266917' '4.359' '-71.842' '0.883' 'inf' 'EmissionG' 'EmG'],J. Tonry,No
2024pbb,22:42:42.109,-16:44:57.55,2024-07-06 01:01:41.376,2024-07-09,19.137,ABMag,cyan - ATLAS,1.382,Galaxy,LEDA  894083,['LEDA  894083' '340.676' '-16.749' '1.382' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024pap,12:43:12.148,+02:36:21.62,2024-07-05 17:46:07.104,2024-07-09,19.141,ABMag,cyan - ATLAS,1.444,Galaxy,SDSS J124312.11+023620.3,['SDSS J124312.11+023620.3' '190.801' '2.606' '1.444' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024oqb,00:17:59.909,+12:08:39.09,2024-07-02 02:53:51.936,2024-07-09,19.67,ABMag,L - GOTO,1.615,Galaxy,LEDA 1404506,['LEDA 1404506' '4.5' '12.144' '1.615' 'inf' 'Galaxy' 'G'],A. Kumar,Yes
2024ozs,15:28:44.681,+03:35:10.91,2024-07-07 07:37:01.632,2024-07-09,18.237,ABMag,orange - ATLAS,1.864,Galaxy,SDSS J152844.62+033509.2,['SDSS J152844.62+033509.2' '232.186' '3.586' '1.864' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024pag,02:07:01.931,-13:09:30.60,2024-07-06 03:52:24.096,2024-07-09,18.398,ABMag,cyan - ATLAS,2.005,Galaxy,LEDA  941978,['LEDA  941978' '31.758' '-13.158' '2.005' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024pay,21:40:16.906,-08:04:11.01,2024-07-05 12:01:31.584,2024-07-09,19.048,ABMag,orange - ATLAS,2.207,Galaxy,SDSSCGA 6.2,['SDSSCGA 6.2' '325.071' '-8.069' '2.207' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024oqt,01:03:01.343,-00:39:08.28,2024-07-01 08:09:14.000,2024-07-09,19.89,ABMag,BG-q - BlackGem,2.438,Galaxy,SDSS J010301.29-003910.5,['SDSS J010301.29-003910.5' '15.755' '-0.653' '2.438' 'inf' 'Galaxy' 'G'],P. Groot,Yes
2024pav,22:26:13.637,-50:57:48.43,2024-07-07 00:38:25.152,2024-07-09,18.483,ABMag,cyan - ATLAS,2.549,Galaxy,LEDA  461214,['LEDA  461214' '336.558' '-50.964' '2.549' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024ozh,23:22:24.191,-13:03:24.41,2024-07-03 13:45:45.216,2024-07-09,21.34,ABMag,w - P1,2.694,Galaxy,2dFGRS TGS906Z307,['2dFGRS TGS906Z307' '350.6' '-13.057' '2.694' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024ozz,11:11:48.881,-07:31:32.38,2024-07-05 16:53:30.048,2024-07-09,17.973,ABMag,cyan - ATLAS,2.714,Galaxy,2MASX J11114892-0731346,['2MASX J11114892-0731346' '167.954' '-7.526' '2.714' '3.23' 'Galaxy' 'G'],J. Tonry,No
2024par,00:04:15.498,-25:45:29.72,2024-07-07 07:41:02.688,2024-07-09,19.284,ABMag,orange - ATLAS,2.745,Galaxy,2dFGRS TGS135Z169,['2dFGRS TGS135Z169' '1.065' '-25.758' '2.745' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024pab,12:12:00.644,-00:46:12.30,2024-07-05 06:36:40.608,2024-07-09,18.71,ABMag,orange - ATLAS,2.846,Galaxy,SDSS J121200.65-004609.4,['SDSS J121200.65-004609.4' '183.003' '-0.769' '2.846' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024ozw,00:39:18.354,-45:11:09.79,2024-07-07 01:59:20.832,2024-07-09,19.217,ABMag,cyan - ATLAS,3.213,Galaxy,2MASX J00391827-4511065,['2MASX J00391827-4511065' '9.826' '-45.185' '3.213' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024ovg,21:24:43.125,+16:07:45.79,2024-07-01 10:47:13.344,2024-07-09,20.82,ABMag,w - P1,3.23,Galaxy,LEDA 1501434,['LEDA 1501434' '321.18' '16.13' '3.23' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024ozk,23:39:14.951,+13:28:00.50,2024-07-03 13:10:50.880,2024-07-09,21.57,ABMag,w - P1,3.332,Galaxy,AGC 336543,['AGC 336543' '354.812' '13.468' '3.332' '2.848' 'Galaxy' 'G'],K. C. Chambers,No
2024oxr,16:02:11.916,+38:07:41.88,2024-07-03 06:34:37.056,2024-07-09,21.35,ABMag,w - P1,3.533,Galaxy,LEDA 2118587,['LEDA 2118587' '240.551' '38.129' '3.533' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024ork,23:41:52.352,+39:15:06.36,2024-06-27 13:40:30.720,2024-07-09,20.38,ABMag,w - P1,3.724,Galaxy,LEDA 2146313,['LEDA 2146313' '355.469' '39.251' '3.724' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024oqq,23:18:44.829,+29:25:20.69,2024-06-25 13:38:24.576,2024-07-09,20.27,ABMag,i - P1,3.923,Galaxy,LEDA 1865800,['LEDA 1865800' '349.688' '29.422' '3.923' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024ozt,23:18:29.525,-32:17:48.24,2024-07-06 07:17:44.736,2024-07-09,19.012,ABMag,orange - ATLAS,4.292,EmissionG,LEDA  164571,['LEDA  164571' '349.624' '-32.296' '4.292' 'inf' 'EmissionG' 'EmG'],J. Tonry,No
2024ovq,22:04:05.449,-06:15:23.44,2024-07-01 12:17:10.752,2024-07-09,20.57,ABMag,w - P1,4.505,Galaxy,LEDA 1034994,['LEDA 1034994' '331.023' '-6.255' '4.505' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024owq,21:52:00.460,-19:41:24.50,2024-07-02 13:25:22.656,2024-07-09,21.49,ABMag,w - P1,4.535,Galaxy,LEDA  851852,['LEDA  851852' '328.002' '-19.689' '4.535' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024osy,02:38:49.594,+02:47:52.82,2024-06-20 10:15:21.000,2024-07-09,18.69,ABMag,BG-q - BlackGem,4.564,Galaxy,LAMOST J023849.77+024749.1,['LAMOST J023849.77+024749.1' '39.707' '2.797' '4.564' 'inf' 'Galaxy' 'G'],F. Stoppa,No
2024ops,16:38:47.670,+24:19:58.97,2024-06-28 09:42:09.792,2024-07-09,21.15,ABMag,w - P1,4.565,Galaxy,2MASX J16384730+2419595,['2MASX J16384730+2419595' '249.697' '24.333' '4.565' 'inf' 'Galaxy' 'G'],K. C. Chambers,Yes
2024ozc,21:13:24.848,-03:29:36.77,2024-07-03 12:36:16.416,2024-07-09,21.09,ABMag,w - P1,4.678,Galaxy,LEDA 1070519,['LEDA 1070519' '318.353' '-3.495' '4.678' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024ots,15:50:12.625,+31:44:13.09,2024-07-01 08:39:04.608,2024-07-09,20.33,ABMag,w - P1,4.903,Galaxy,2MASX J15501296+3144144,['2MASX J15501296+3144144' '237.554' '31.737' '4.903' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
