TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Reporter,SDSS_image
2024pni,00:49:29.039,-25:59:28.68,2024-06-27 07:54:24.000,2024-07-16,18.16,ABMag,BG-i - BlackGem,0.349,Galaxy,2dFGRS TGS143Z294,['2dFGRS TGS143Z294' '12.371' '-25.991' '0.349' 'inf' 'Galaxy' 'G'],,,,S. Faris,No
2024poj,23:17:59.956,+09:39:57.46,2024-07-09 09:22:35.996,2024-07-16,20.0673,ABMag,r - ZTF,0.846,GinPair,LEDA   70985,['LEDA   70985' '349.5' '9.666' '0.846' '0.475' 'GinPair' 'GiP'],,,,A. Munoz-Arancibia,No
2024pmv,00:51:18.640,-26:20:43.15,2024-06-29 07:43:31.000,2024-07-16,19.24,ABMag,BG-q - BlackGem,0.881,Galaxy,RGO 13302,['RGO 13302' '12.827' '-26.345' '0.881' 'inf' 'Galaxy' 'G'],,,,S. Faris,No
2024pmw,21:49:41.959,-39:03:03.23,2024-07-14 04:02:59.136,2024-07-16,19.013,ABMag,orange - ATLAS,1.907,Galaxy,6dFGS gJ214942.0-390305,['6dFGS gJ214942.0-390305' '327.425' '-39.051' '1.907' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
2024pnk,00:42:03.598,-30:21:30.81,2024-07-14 07:32:18.240,2024-07-16,19.417,ABMag,orange - ATLAS,2.241,Galaxy,2MASX J00420353-3021286,['2MASX J00420353-3021286' '10.515' '-30.358' '2.241' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
2024poh,15:45:12.303,+46:01:00.08,2024-07-11 06:54:01.996,2024-07-16,19.9198,ABMag,g - ZTF,3.167,Galaxy,2MASX J15451206+4601009,['2MASX J15451206+4601009' '236.3' '46.017' '3.167' 'inf' 'Galaxy' 'G'],,,,A. Munoz-Arancibia,Yes
2024pms,01:45:00.719,+42:27:46.20,2024-07-12 04:03:08.640,2024-07-16,19.05,ABMag,L - GOTO,3.776,Galaxy,2MASX J01450107+4227475,['2MASX J01450107+4227475' '26.254' '42.463' '3.776' 'inf' 'Galaxy' 'G'],,,,A. Kumar,No
2024pno,02:28:05.343,-17:25:14.93,2024-07-14 07:58:23.808,2024-07-16,18.057,ABMag,orange - ATLAS,4.649,Galaxy,LEDA  883522,['LEDA  883522' '37.023' '-17.422' '4.649' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
2024pnp,13:22:49.799,+60:42:57.49,2024-07-14 06:42:03.744,2024-07-16,18.302,ABMag,orange - ATLAS,5.704,Galaxy,LEDA 2605881,['LEDA 2605881' '200.708' '60.718' '5.704' 'inf' 'Galaxy' 'G'],Galaxy,SDSS J132250.10+604303.8,['SDSS J132250.10+604303.8' '200.709' '60.718' '6.741' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024pnw,01:27:25.371,-01:54:52.72,2024-07-13 09:01:48.000,2024-07-16,18.29,ABMag,BG-q - BlackGem,5.931,GtowardsGroup,NGC   560,['NGC   560' '21.856' '-1.913' '5.931' '1.428' 'GtowardsGroup' 'GiG'],,,,H. Tranin,No
2024pnv,03:28:29.220,-28:45:13.19,2024-07-14 08:59:55.680,2024-07-16,18.872,ABMag,orange - ATLAS,5.942,Galaxy,2dFGRS TGS322Z154,['2dFGRS TGS322Z154' '52.121' '-28.752' '5.942' 'inf' 'Galaxy' 'G'],,,,J. Tonry,No
2024pne,21:40:58.076,+15:13:38.94,2024-07-09 10:38:47.040,2024-07-16,20.52,ABMag,w - P1,7.828,Galaxy,LEDA 1478805,['LEDA 1478805' '325.244' '15.227' '7.828' 'inf' 'Galaxy' 'G'],,,,K. C. Chambers,No
