TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024grs,14:42:37.516,+33:02:18.41,2024-04-16 12:19:48.864,2024-04-18,18.447,ABMag,orange - ATLAS,0.12,Seyfert2,2MASX J14423751+3302184,"['2MASX J14423751+3302184' '220.656' '33.038' '0.12' 'inf' 'Seyfert2'
 'Sy2']",J. Tonry,Yes
2024grp,10:13:17.059,-02:31:52.58,2024-04-13 06:27:21.997,2024-04-18,17.5972,ABMag,g - ZTF,0.297,GtowardsGroup,6dFGS gJ101317.1-023152,"['6dFGS gJ101317.1-023152' '153.321' '-2.531' '0.297' 'inf'
 'GtowardsGroup' 'GiG']",Jesper Sollerman (SU),No
2024gsm,18:27:11.233,+09:00:56.19,2024-04-17 09:12:54.999,2024-04-18,19.3533,ABMag,r - ZTF,0.946,Galaxy,LEDA 2810087,['LEDA 2810087' '276.797' '9.016' '0.946' 'inf' 'Galaxy' 'G'],Nabeel Rehemtulla (CIERA,No
2024grl,11:08:17.447,-07:13:49.29,2024-04-16 05:30:16.004,2024-04-18,19.0989,ABMag,r - ZTF,1.061,Galaxy,LEDA 1022382,['LEDA 1022382' '167.073' '-7.231' '1.061' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),No
2024grt,12:59:07.255,+21:00:57.51,2024-04-12 08:53:21.998,2024-04-18,20.4575,ABMag,g - ZTF,1.558,Galaxy,NGP9 F379-1081581,['NGP9 F379-1081581' '194.78' '21.016' '1.558' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),Yes
2024gso,13:48:26.619,+07:09:08.95,2024-02-14 14:58:20.640,2024-04-18,21.26,ABMag,w - P1,2.36,Galaxy,LEDA 1314991,['LEDA 1314991' '207.111' '7.152' '2.36' 'inf' 'Galaxy' 'G'],K. C. Chambers,Yes
2024grv,11:34:03.938,+15:50:29.48,2024-04-11 08:02:49.997,2024-04-18,20.7782,ABMag,g - ZTF,2.661,Galaxy,SDSS J113403.93+155032.1,['SDSS J113403.93+155032.1' '173.516' '15.842' '2.661' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),Yes
2024gsh,23:40:03.515,+27:10:02.57,2024-04-16 12:13:36.998,2024-04-18,17.6135,ABMag,r - ZTF,4.01,GtowardsCl,2MASX J23400320+2710014,"['2MASX J23400320+2710014' '355.013' '27.167' '4.01' '2.575' 'GtowardsCl'
 'GiC']",Jesper Sollerman (SU),No
2024gsq,13:09:09.786,+04:54:27.91,2024-04-17 07:44:36.096,2024-04-18,19.65,ABMag,g - P1,4.271,Galaxy,SDSS J130909.73+045423.6,['SDSS J130909.73+045423.6' '197.291' '4.907' '4.271' 'inf' 'Galaxy' 'G'],D. O. Jones (UC Santa Cruz),Yes
2024grq,12:08:12.669,-19:36:13.56,2024-04-13 08:42:20.001,2024-04-18,19.72,ABMag,r - ZTF,4.698,Galaxy,LEDA  852982,['LEDA  852982' '182.054' '-19.604' '4.698' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),No
2024gsl,11:06:54.112,+18:57:33.62,2024-04-17 08:02:49.056,2024-04-18,17.96,ABMag,orange - ATLAS,4.962,Galaxy,2MASX J11065415+1857282,['2MASX J11065415+1857282' '166.726' '18.958' '4.962' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024gsd,20:13:59.805,-36:38:30.15,2024-04-17 08:37:03.000,2024-04-18,19.32,ABMag,BG-q - BlackGem,5.214,Galaxy,LEDA  634353,['LEDA  634353' '303.497' '-36.642' '5.214' 'inf' 'Galaxy' 'G'],H. Tranin,No
2024gsn,14:33:03.914,+43:09:15.96,2024-04-17 10:33:34.272,2024-04-18,19.147,ABMag,orange - ATLAS,5.712,Galaxy,LEDA 2214240,['LEDA 2214240' '218.267' '43.156' '5.712' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024gsg,23:39:48.559,+24:55:33.63,2024-04-16 12:13:36.998,2024-04-18,18.4924,ABMag,r - ZTF,7.414,Galaxy,LEDA 1720381,['LEDA 1720381' '354.952' '24.928' '7.414' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),No
2024gse,14:51:02.773,-20:19:36.39,2024-04-17 03:24:37.000,2024-04-18,20.12,ABMag,BG-q - BlackGem,7.619,Galaxy,LEDA  843255,['LEDA  843255' '222.762' '-20.329' '7.619' 'inf' 'Galaxy' 'G'],H. Tranin,No
2024gsf,12:12:16.290,+08:07:55.32,2024-04-17 02:34:20.000,2024-04-18,18.71,ABMag,BG-i - BlackGem,8.361,Galaxy,SDSS J121215.73+080757.3,['SDSS J121215.73+080757.3' '183.066' '8.133' '8.361' 'inf' 'Galaxy' 'G'],H. Tranin,Yes
