TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Reporter,SDSS_image
2024lhy,09:01:14.255,+46:18:39.44,2024-06-15 04:12:49.999,2024-06-17,19.069,ABMag,r - ZTF,0.637,Galaxy,SDSS J090114.23+461838.8,['SDSS J090114.23+461838.8' '135.309' '46.311' '0.637' 'inf' 'Galaxy' 'G'],,,,Jesper Sollerman (SU),Yes
2024lie,15:12:10.025,+05:54:33.77,2024-04-18 11:41:08.160,2024-06-17,20.51,ABMag,w - P1,0.784,Galaxy,SDSS J151210.03+055432.9,['SDSS J151210.03+055432.9' '228.042' '5.909' '0.784' 'inf' 'Galaxy' 'G'],,,,K. C. Chambers,No
2024lio,15:22:37.617,+27:56:13.19,2024-06-14 08:24:40.003,2024-06-17,19.2787,ABMag,g - ZTF,0.912,GtowardsCl,2MASX J15223753+2756131,"['2MASX J15223753+2756131' '230.656' '27.937' '0.912' 'inf' 'GtowardsCl'
 'GiC']",,,,Jesper Sollerman (SU),Yes
2024ljd,21:13:39.384,+02:29:36.30,2024-06-11 10:32:42.432,2024-06-17,20.2545,ABMag,g - ZTF,1.174,Galaxy,NFP J211339.4+022938,['NFP J211339.4+022938' '318.414' '2.494' '1.174' 'inf' 'Galaxy' 'G'],,,,K. De (Caltech) on behalf of ZTF,No
2024ljb,13:53:51.025,+38:08:28.21,2024-06-16 06:28:54.000,2024-06-17,19.088,ABMag,g - ZTF,2.075,Galaxy,LEDA 2118916,['LEDA 2118916' '208.463' '38.141' '2.075' 'inf' 'Galaxy' 'G'],,,,I. Pérez-Fournon,Yes
2024lib,10:33:16.511,+11:01:18.32,2024-06-15 21:28:30.720,2024-06-17,18.66,ABMag,L - GOTO,2.243,Galaxy,SDSSCGB 70146.1,['SDSSCGB 70146.1' '158.318' '11.022' '2.243' 'inf' 'Galaxy' 'G'],,,,A. Kumar,Yes
2024ljk,10:23:06.989,-19:45:15.84,2024-05-25 06:42:10.656,2024-06-17,20.05,ABMag,i - P1,3.433,Galaxy,LEDA  850943,['LEDA  850943' '155.778' '-19.755' '3.433' 'inf' 'Galaxy' 'G'],,,,D. O. Jones (UC Santa Cruz),No
2024lia,22:05:36.705,-13:27:40.63,2024-06-12 10:35:19.999,2024-06-17,20.097,ABMag,g - ZTF,3.462,Seyfert2,LEDA  191352,['LEDA  191352' '331.402' '-13.461' '3.462' 'inf' 'Seyfert2' 'Sy2'],,,,Eli Gendreau-Distler (UC Berkeley),No
2024lis,12:54:34.987,+47:29:08.22,2024-04-18 07:11:26.304,2024-06-17,20.93,ABMag,w - P1,3.933,BrightestCG,SDSS J125435.00+472912.1,"['SDSS J125435.00+472912.1' '193.646' '47.487' '3.933' 'inf' 'BrightestCG'
 'BiC']",ClG,[RRB2014] RM J125435.0+472912.2,"['[RRB2014] RM J125435.0+472912.2' '193.646' '47.487' '4.031' 'inf' 'ClG'
 'ClG']",K. C. Chambers,Yes
2024lin,13:41:52.125,+29:41:39.02,2024-06-14 04:59:16.002,2024-06-17,20.2438,ABMag,g - ZTF,4.02,Galaxy,LEDA 1874847,['LEDA 1874847' '205.468' '29.695' '4.02' 'inf' 'Galaxy' 'G'],,,,Jesper Sollerman (SU),No
2024liy,21:45:38.273,+27:15:52.57,2024-06-14 10:33:46.000,2024-06-17,20.704,ABMag,g - ZTF,4.995,Galaxy,LEDA 1802773,['LEDA 1802773' '326.409' '27.266' '4.995' 'inf' 'Galaxy' 'G'],,,,I. Pérez-Fournon,No
2024lit,14:52:56.829,+28:02:03.42,2024-04-18 08:36:12.672,2024-06-17,20.45,ABMag,w - P1,7.363,GtowardsCl,SDSS J145256.94+280156.2,"['SDSS J145256.94+280156.2' '223.237' '28.032' '7.363' 'inf' 'GtowardsCl'
 'GiC']",Galaxy,SDSSCGB 1246.2,['SDSSCGB 1246.2' '223.236' '28.032' '8.656' 'inf' 'Galaxy' 'G'],K. C. Chambers,No
2024ljo,04:12:05.872,-11:05:37.58,2024-03-19 05:45:48.096,2024-06-17,19.52,ABMag,i - P1,8.852,Galaxy,LEDA  970039,['LEDA  970039' '63.026' '-11.096' '8.852' 'inf' 'Galaxy' 'G'],,,,D. O. Jones (UC Santa Cruz),No
2024liw,18:01:03.476,+57:44:53.27,2024-06-14 07:55:13.995,2024-06-17,20.4737,ABMag,r - ZTF,9.732,Galaxy,LEDA 2570658,['LEDA 2570658' '270.265' '57.751' '9.732' 'inf' 'Galaxy' 'G'],,,,Jesper Sollerman (SU),No
2024lii,13:36:18.020,+51:26:26.82,2024-04-18 07:17:35.232,2024-06-17,20.43,ABMag,w - P1,9.858,Galaxy,Gaia DR3 1559939376109442816,"['Gaia DR3 1559939376109442816' '204.075' '51.444' '9.858' 'inf' 'Galaxy'
 'G']",,,,K. C. Chambers,No
