TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024pte,10:34:55.010,+56:03:42.95,2024-07-14 15:30:14.400,2024-07-20,18.5,ABMag,G - Gaia,0.052,QSO,[VV2006] J103455.0+560342,['[VV2006] J103455.0+560342' '158.729' '56.062' '0.052' 'inf' 'QSO' 'QSO'],S.T. Hodgkin,Yes
2024pub,21:50:13.400,-68:02:50.39,2024-07-15 18:54:43.200,2024-07-20,17.76,ABMag,G - Gaia,0.059,QSO,PMN J2150-6803,['PMN J2150-6803' '327.556' '-68.047' '0.059' 'inf' 'QSO' 'QSO'],S.T. Hodgkin,No
2024ptf,11:11:52.700,-00:48:39.24,2024-07-14 14:34:04.800,2024-07-20,18.5,ABMag,G - Gaia,0.071,QSO,[VV2006] J111152.7-004840,['[VV2006] J111152.7-004840' '167.97' '-0.811' '0.071' 'inf' 'QSO' 'QSO'],S.T. Hodgkin,Yes
2024puf,00:41:51.936,-09:36:59.08,2024-07-19 06:27:14.688,2024-07-20,18.564,ABMag,orange - ATLAS,0.306,GtowardsCl,LEDA 2800538,['LEDA 2800538' '10.466' '-9.616' '0.306' 'inf' 'GtowardsCl' 'GiC'],J. Tonry,Yes
2024ptn,15:18:18.295,+45:43:37.00,2024-07-18 07:36:13.248,2024-07-20,18.509,ABMag,orange - ATLAS,0.34,Galaxy,SDSS J151818.27+454337.2,['SDSS J151818.27+454337.2' '229.576' '45.727' '0.34' 'inf' 'Galaxy' 'G'],J. Tonry,Yes
2024pss,15:26:18.344,-15:38:44.02,2024-07-09 04:39:43.001,2024-07-20,19.1695,ABMag,g - ZTF,1.168,Galaxy,LEDA  908358,['LEDA  908358' '231.576' '-15.646' '1.168' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),No
2024pts,01:05:04.180,-07:08:46.61,2024-07-16 10:57:06.998,2024-07-20,19.4069,ABMag,g - ZTF,1.478,Galaxy,2MASX J01050429-0708475,['2MASX J01050429-0708475' '16.268' '-7.146' '1.478' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),No
2024psx,10:56:00.160,-03:13:48.25,2024-07-13 08:29:45.600,2024-07-20,18.27,ABMag,G - Gaia,2.186,Galaxy,LEDA 1074308,['LEDA 1074308' '164.0' '-3.23' '2.186' 'inf' 'Galaxy' 'G'],S.T. Hodgkin,No
2024ptj,22:31:25.890,-60:43:37.60,2024-07-14 00:44:38.400,2024-07-20,18.98,ABMag,G - Gaia,2.585,Galaxy,ATHDFS J223126.2-604337,['ATHDFS J223126.2-604337' '337.859' '-60.727' '2.585' 'inf' 'Galaxy' 'G'],S.T. Hodgkin,No
2024ptq,03:32:34.458,+19:34:20.43,2024-07-18 14:26:41.568,2024-07-20,18.084,ABMag,orange - ATLAS,3.152,Galaxy,LEDA 1597447,['LEDA 1597447' '53.144' '19.572' '3.152' 'inf' 'Galaxy' 'G'],J. Tonry,No
