TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Reporter
2023tpb,15:11:34.020,+40:51:35.03,2023-09-22 01:42:14.400,2023-09-26,18.7,ABMag,G - Gaia,0.045,QSO,SDSS J151134.01+405135.0,['SDSS J151134.01+405135.0' '227.892' '40.86' '0.045' 'inf' 'QSO' 'QSO'],,,,S.T. Hodgkin
2023tpq*,11:21:10.410,+45:07:55.02,2023-09-21 04:07:40.800,2023-09-26,18.48,ABMag,G - Gaia,0.05,QSO,[VV2006] J112110.4+450755,['[VV2006] J112110.4+450755' '170.293' '45.132' '0.05' 'inf' 'QSO' 'QSO'],,,,S.T. Hodgkin
2023tpe,09:11:41.050,+33:03:54.00,2023-09-21 22:36:28.800,2023-09-26,17.96,ABMag,G - Gaia,0.06,QSO,SDSS J091141.05+330353.9,['SDSS J091141.05+330353.9' '137.921' '33.065' '0.06' 'inf' 'QSO' 'QSO'],,,,S.T. Hodgkin
2023tpa,11:00:06.060,+44:21:44.35,2023-09-21 04:10:33.600,2023-09-26,19,ABMag,G - Gaia,0.063,Seyfert1,7C 105714.80+443757.00,"['7C 105714.80+443757.00' '165.025' '44.362' '0.063' 'inf' 'Seyfert1'
 'Sy1']",,,,S.T. Hodgkin
2023tov*,15:27:12.720,+34:21:46.40,2023-09-20 13:35:02.400,2023-09-26,18.16,ABMag,G - Gaia,0.078,QSO,[VV2006] J152712.7+342146,['[VV2006] J152712.7+342146' '231.803' '34.363' '0.078' 'inf' 'QSO' 'QSO'],,,,S.T. Hodgkin
2023tol,22:13:30.135,-22:53:46.63,2023-09-24 04:01:37.056,2023-09-26,19.3834,ABMag,g - Sloan,0.418,Galaxy,6dFGS gJ221330.2-225347,['6dFGS gJ221330.2-225347' '333.376' '-22.896' '0.418' 'inf' 'Galaxy' 'G'],,,,Tomás Cabrera (CMU)
2023tpy,08:02:52.606,+75:07:54.65,2023-09-25 10:16:08.003,2023-09-26,19.0252,ABMag,g - ZTF,0.436,Galaxy,Gaia DR3 1135790018232209920,"['Gaia DR3 1135790018232209920' '120.719' '75.132' '0.436' 'inf' 'Galaxy'
 'G']",,,,A. Munoz-Arancibia
2023tpl,07:08:41.680,+54:46:35.09,2023-09-25 12:55:18.624,2023-09-26,17.692,ABMag,cyan - ATLAS,0.442,GtowardsCl,MCG+09-12-038,['MCG+09-12-038' '107.174' '54.777' '0.442' '0.163' 'GtowardsCl' 'GiC'],,,,J. Tonry
2023tou,22:18:20.254,-17:46:08.13,2023-09-24 04:40:35.040,2023-09-26,21.6102,ABMag,g - Sloan,0.782,Galaxy,LEDA  877839,['LEDA  877839' '334.584' '-17.769' '0.782' 'inf' 'Galaxy' 'G'],,,,Tomás Cabrera (CMU)
2023tql*,00:13:48.317,+22:32:31.08,2023-09-19 09:42:50.996,2023-09-26,19.926,ABMag,g - ZTF,0.95,Galaxy,LEDA 1671884,['LEDA 1671884' '3.451' '22.542' '0.95' 'inf' 'Galaxy' 'G'],,,,A. Munoz-Arancibia
2023tog,22:04:20.455,-24:41:16.83,2023-09-24 04:03:06.912,2023-09-26,21.3456,ABMag,g - Sloan,1.983,Galaxy,2dFGRS TGS060Z214,['2dFGRS TGS060Z214' '331.086' '-24.688' '1.983' 'inf' 'Galaxy' 'G'],,,,Tomás Cabrera (CMU)
2023toa,22:53:59.735,-28:34:14.88,2023-09-24 05:26:56.256,2023-09-26,21.6926,ABMag,g - Sloan,2.102,Galaxy,2dFGRS TGS262Z139,['2dFGRS TGS262Z139' '343.498' '-28.571' '2.102' 'inf' 'Galaxy' 'G'],,,,Tomás Cabrera (CMU)
2023tpw,07:05:26.262,+51:24:01.45,2023-09-25 10:22:27.998,2023-09-26,20.5138,ABMag,g - ZTF,2.168,Galaxy,LEDA 2393474,['LEDA 2393474' '106.359' '51.401' '2.168' 'inf' 'Galaxy' 'G'],,,,A. Munoz-Arancibia
2023tqr*,07:54:40.820,+23:03:23.65,2023-09-25 14:42:31.968,2023-09-26,19.8,ABMag,w - P1,2.486,Galaxy,SDSS J075440.72+230325.7,['SDSS J075440.72+230325.7' '118.67' '23.057' '2.486' 'inf' 'Galaxy' 'G'],PairG,[PA2008] 118.669669+23.05716,"['[PA2008] 118.669669+23.05716' '118.67' '23.057' '2.555' 'inf' 'PairG'
 'PaG']",K. C. Chambers
2023tqo*,10:16:19.550,+35:59:26.80,2023-09-25 22:55:17.184,2023-09-26,16.5,VegaMag,Clear - ,3.452,Galaxy,LEDA 2073213,['LEDA 2073213' '154.08' '35.991' '3.452' 'inf' 'Galaxy' 'G'],,,,Mi Zhang
2023tot,22:27:53.070,-30:13:34.75,2023-09-24 03:42:57.312,2023-09-26,18.6378,ABMag,g - Sloan,3.77,Galaxy,LEDA  719854,['LEDA  719854' '336.971' '-30.225' '3.77' 'inf' 'Galaxy' 'G'],,,,Tomás Cabrera (CMU)
