TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Reporter
2023wun,06:08:27.829,-26:49:26.32,2023-11-04 10:01:37.920,2023-11-07,19.5813,ABMag,r - ZTF,0.366,Galaxy,2MASX J06082782-2649258,['2MASX J06082782-2649258' '92.116' '-26.824' '0.366' 'inf' 'Galaxy' 'G'],,,,K. De (Caltech) on behalf of ZTF
2023wum*,09:21:46.305,+57:33:20.39,2023-11-06 12:24:58.176,2023-11-07,19.895,ABMag,r - ZTF,0.392,Galaxy,LEDA 3098493,['LEDA 3098493' '140.443' '57.556' '0.392' 'inf' 'Galaxy' 'G'],Galaxy,SDSS J092146.10+573316.1,['SDSS J092146.10+573316.1' '140.442' '57.554' '4.536' 'inf' 'Galaxy' 'G'],K. De (Caltech) on behalf of ZTF
2023wtr*,08:58:34.912,+07:02:33.13,2023-11-02 10:30:43.200,2023-11-07,19.09,ABMag,r - ZTF,0.47,Seyfert2,2MASX J08583490+0702323,['2MASX J08583490+0702323' '134.645' '7.042' '0.47' 'inf' 'Seyfert2' 'Sy2'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wvn*,09:01:14.579,+44:56:55.13,2023-11-02 10:07:39.072,2023-11-07,18.3978,ABMag,r - ZTF,0.51,Galaxy,2MASX J09011458+4456551,['2MASX J09011458+4456551' '135.311' '44.949' '0.51' 'inf' 'Galaxy' 'G'],,,,K. De (Caltech) on behalf of ZTF
2023wtt,05:17:14.471,+21:13:57.38,2023-10-20 09:15:50.400,2023-11-07,19.68,ABMag,r - ZTF,0.54,Galaxy,2MASX J05171440+2113578,['2MASX J05171440+2113578' '79.31' '21.233' '0.54' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2020afgh*,11:30:29.573,+63:46:20.69,2020-11-12 11:19:40.800,2023-11-07,19.45,ABMag,r - ZTF,0.585,QSO,SDSS J113029.48+634620.4,['SDSS J113029.48+634620.4' '172.623' '63.772' '0.585' 'inf' 'QSO' 'QSO'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2022aeqv,03:19:48.548,-26:27:13.65,2022-09-17 10:35:02.400,2023-11-07,18.49,ABMag,g - ZTF,0.898,Seyfert1,LEDA  767650,['LEDA  767650' '49.952' '-26.454' '0.898' 'inf' 'Seyfert1' 'Sy1'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wvd,22:05:20.935,-05:26:33.89,2023-11-02 05:54:46.999,2023-11-07,19.5294,ABMag,r - ZTF,1.073,Galaxy,WINGS J220520.83-052632.8,['WINGS J220520.83-052632.8' '331.337' '-5.443' '1.073' 'inf' 'Galaxy' 'G'],,,,A. Munoz-Arancibia
2023wtu,03:19:48.550,-26:27:11.48,2023-10-11 10:16:19.200,2023-11-07,18.67,ABMag,g - ZTF,1.289,Seyfert1,LEDA  767650,['LEDA  767650' '49.952' '-26.454' '1.289' 'inf' 'Seyfert1' 'Sy1'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wtx,23:59:43.750,+51:54:16.89,2023-11-02 03:48:57.600,2023-11-07,20.14,ABMag,g - ZTF,1.362,Galaxy,2MASX J23594385+5154167,['2MASX J23594385+5154167' '359.933' '51.905' '1.362' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wts,00:27:18.108,+03:36:45.33,2023-11-02 06:01:26.400,2023-11-07,18.51,ABMag,r - ZTF,1.373,Galaxy,LEDA 1255523,['LEDA 1255523' '6.826' '3.612' '1.373' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wtw,17:35:37.515,+21:47:43.29,2023-10-05 04:29:16.800,2023-11-07,19.26,ABMag,g - ZTF,1.407,GinPair,2MASX J17353763+2147430,"['2MASX J17353763+2147430' '263.907' '21.795' '1.407' 'inf' 'GinPair'
 'GiP']",,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wuk,22:19:30.397,+29:23:17.61,2023-11-06 03:10:34.176,2023-11-07,18.958,ABMag,r - ZTF,3.103,GinPair,UGC 11985,['UGC 11985' '334.876' '29.388' '3.103' '1.007' 'GinPair' 'GiP'],,,,K. De (Caltech) on behalf of ZTF
