TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024prt,01:15:26.161,-30:56:18.17,2024-07-16 08:09:18.000,2024-07-19,19.75,ABMag,BG-q - BlackGem,1.409,Galaxy,2dFGRS TGS375Z240,['2dFGRS TGS375Z240' '18.859' '-30.938' '1.409' 'inf' 'Galaxy' 'G'],P. Groot,No
2024pry,14:24:32.103,+28:28:53.05,2024-07-11 04:29:39.998,2024-07-19,19.7942,ABMag,g - ZTF,1.453,Galaxy,LEDA 1837041,['LEDA 1837041' '216.133' '28.482' '1.453' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),Yes
2024prz,16:08:41.143,+06:15:15.81,2024-07-16 06:54:20.001,2024-07-19,19.8669,ABMag,r - ZTF,1.804,Galaxy,2MASX J16084124+0615154,['2MASX J16084124+0615154' '242.172' '6.254' '1.804' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),Yes
2024pru,04:31:33.178,-12:27:46.12,2024-07-17 10:06:08.000,2024-07-19,17.98,ABMag,BG-q - BlackGem,1.871,EmissionG,LEDA  952400,['LEDA  952400' '67.888' '-12.463' '1.871' '1.27' 'EmissionG' 'EmG'],P. Groot,No
2024prl,02:57:52.559,-37:21:21.66,2024-07-15 09:09:00.864,2024-07-19,18.168,ABMag,orange - ATLAS,3.687,EmissionG,LEDA  175666,['LEDA  175666' '44.468' '-37.356' '3.687' 'inf' 'EmissionG' 'EmG'],J. Tonry,No
2024psb,22:53:12.090,+12:04:02.77,2024-07-13 09:38:24.996,2024-07-19,20.3104,ABMag,r - ZTF,3.803,Galaxy,LEDA 1403225,['LEDA 1403225' '343.301' '12.068' '3.803' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),No
2024prw,14:24:32.723,+29:36:20.11,2024-07-11 04:29:39.998,2024-07-19,20.0639,ABMag,g - ZTF,4.281,Galaxy,2MASX J14243287+2936164,['2MASX J14243287+2936164' '216.137' '29.605' '4.281' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),No
2024psm,18:35:35.437,+22:30:16.77,2024-07-18 09:26:29.000,2024-07-19,19.9581,ABMag,g - ZTF,5.0,Galaxy,LEDA 2811416,['LEDA 2811416' '278.897' '22.504' '5.0' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,No
2024psi,23:50:33.149,-08:39:33.94,2024-07-18 10:02:22.001,2024-07-19,19.2917,ABMag,g - ZTF,5.137,Galaxy,2MASX J23503348-0839351,['2MASX J23503348-0839351' '357.64' '-8.66' '5.137' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia,No
2024prh,14:38:28.790,+14:20:02.39,2024-07-17 22:35:28.320,2024-07-19,18.91,ABMag,L - GOTO,8.614,Galaxy,SDSS J143828.31+142007.6,['SDSS J143828.31+142007.6' '219.618' '14.335' '8.614' 'inf' 'Galaxy' 'G'],A. Kumar,Yes
