TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter
2023aaep*,11:27:26.110,+43:01:05.66,2023-12-13 19:37:55.200,2023-12-16,17.64,ABMag,G - Gaia,0.018,QSO,[VV2006] J112726.1+430105,['[VV2006] J112726.1+430105' '171.859' '43.018' '0.018' 'inf' 'QSO' 'QSO'],S.T. Hodgkin
2023aacr,08:11:54.101,+19:57:02.88,2023-12-09 07:56:41.001,2023-12-16,20.1823,ABMag,r - ZTF,0.383,Galaxy,SDSSCGB 25926.4,['SDSSCGB 25926.4' '122.975' '19.951' '0.383' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023aaem*,08:51:10.174,+46:30:48.74,2023-12-09 07:40:48.000,2023-12-16,19.32,ABMag,r - ZTF,0.658,Galaxy,2MASX J08511019+4630482,['2MASX J08511019+4630482' '132.792' '46.513' '0.658' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023aadj,15:40:53.483,+21:51:45.14,2023-12-14 13:12:08.001,2023-12-16,19.5283,ABMag,r - ZTF,0.708,Galaxy,SDSSCGB 68558.1,['SDSSCGB 68558.1' '235.223' '21.862' '0.708' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023aaej,05:07:23.391,+73:44:37.66,2023-12-10 07:43:40.800,2023-12-16,20.03,ABMag,g - ZTF,0.763,Galaxy,LEDA 2757700,['LEDA 2757700' '76.847' '73.744' '0.763' 'inf' 'Galaxy' 'G'],C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023aada*,09:11:51.310,+57:14:38.35,2023-12-11 09:18:28.996,2023-12-16,20.2618,ABMag,g - ZTF,1.471,Galaxy,SDSS J091151.31+571436.8,['SDSS J091151.31+571436.8' '137.964' '57.244' '1.471' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023aaez,03:33:14.289,-15:00:32.08,2023-12-15 07:56:46.176,2023-12-16,20.26,ABMag,g - P1,1.682,Galaxy,LEDA  916963,['LEDA  916963' '53.309' '-15.009' '1.682' 'inf' 'Galaxy' 'G'],D. O. Jones (UC Santa Cruz)
2023aaev,05:43:48.603,-37:47:53.52,2023-12-15 13:06:38.592,2023-12-16,20.12,ABMag,L - GOTO,2.02,Galaxy,6dFGS gJ054348.6-374752,['6dFGS gJ054348.6-374752' '85.952' '-37.798' '2.02' 'inf' 'Galaxy' 'G'],J. Lyman
2023aaet*,08:07:13.597,+06:50:58.87,2023-12-15 14:16:31.584,2023-12-16,19.65,ABMag,L - GOTO,2.529,Galaxy,2MASX J08071358+0651019,['2MASX J08071358+0651019' '121.807' '6.85' '2.529' 'inf' 'Galaxy' 'G'],T. Killestein
2023aadd*,08:42:09.776,+50:01:25.42,2023-12-09 09:26:42.003,2023-12-16,20.5872,ABMag,g - ZTF,3.758,Galaxy,2MASX J08420979+5001293,['2MASX J08420979+5001293' '130.541' '50.025' '3.758' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
