TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter,SDSS_image
2024cmh,13:01:29.203,+07:50:29.55,2024-02-11 08:54:14.400,2024-02-14,18.2,ABMag,g - ZTF,0.622,Galaxy,LEDA 3800749,['LEDA 3800749' '195.372' '7.842' '0.622' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024cpo,15:08:03.781,+27:15:43.64,2024-02-11 10:19:12.000,2024-02-14,18,ABMag,g - ZTF,0.714,Galaxy,2MASX J15080372+2715440,['2MASX J15080372+2715440' '227.016' '27.262' '0.714' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024cpa,13:33:31.474,+49:14:22.07,2024-02-11 09:21:38.998,2024-02-14,19.1688,ABMag,g - ZTF,0.769,Galaxy,SDSS J133331.40+491421.6,['SDSS J133331.40+491421.6' '203.381' '49.239' '0.769' 'inf' 'Galaxy' 'G'],,,,,,,F. Forster,Yes
2024cph,13:18:48.756,+20:27:11.60,2024-02-09 12:50:40.416,2024-02-14,19.43,ABMag,w - P1,0.904,Galaxy,NGP9 F379-1343797,['NGP9 F379-1343797' '199.703' '20.453' '0.904' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024cmn,12:25:41.072,-16:37:24.74,2024-02-13 05:50:13.344,2024-02-14,18.067,ABMag,orange - ATLAS,0.929,Seyfert2,LEDA  157738,['LEDA  157738' '186.421' '-16.624' '0.929' 'inf' 'Seyfert2' 'Sy2'],,,,,,,J. Tonry,No
2024cpk,08:41:51.109,+16:09:28.51,2024-02-07 07:00:50.400,2024-02-14,20.12,ABMag,w - P1,0.966,GtowardsCl,DES J084151.12+160929.4,"['DES J084151.12+160929.4' '130.463' '16.158' '0.966' 'inf' 'GtowardsCl'
 'GiC']",,,,,,,K. C. Chambers,No
2024clz,09:46:44.062,-03:02:12.42,2024-02-01 06:28:48.000,2024-02-14,19.1,ABMag,g - ZTF,1.095,Galaxy,LEDA 1077637,['LEDA 1077637' '146.683' '-3.037' '1.095' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024clt,03:34:10.040,-28:24:44.96,2024-02-13 00:41:34.368,2024-02-14,18.923,ABMag,orange - ATLAS,1.195,Galaxy,SWIRE J033410.12-282444.3,['SWIRE J033410.12-282444.3' '53.542' '-28.412' '1.195' 'inf' 'Galaxy' 'G'],GtowardsCl,DES J033410.43-282451.9,"['DES J033410.43-282451.9' '53.543' '-28.414' '8.679' 'inf' 'GtowardsCl'
 'GiC']",,,,J. Tonry,No
2024cpn,19:34:15.252,+58:58:14.36,2024-02-11 12:15:50.400,2024-02-14,19.13,ABMag,r - ZTF,1.327,Galaxy,2MASX J19341506+5858144,['2MASX J19341506+5858144' '293.563' '58.971' '1.327' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024clf,03:23:04.608,-10:49:01.19,2024-02-11 03:02:52.800,2024-02-14,19.23,ABMag,g - ZTF,1.369,EmissionG,6dFGS gJ032304.7-104901,"['6dFGS gJ032304.7-104901' '50.77' '-10.817' '1.369' 'inf' 'EmissionG'
 'EmG']",,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024cpv,07:35:42.421,+41:54:48.95,2024-02-13 08:12:22.752,2024-02-14,20.3,ABMag,w - P1,1.723,Galaxy,2MASX J07354226+4154491,['2MASX J07354226+4154491' '113.926' '41.914' '1.723' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024cml,13:31:33.513,-05:18:12.27,2024-02-11 09:27:21.600,2024-02-14,20.31,ABMag,g - ZTF,1.741,Galaxy,2dFGRS TGN078Z061,['2dFGRS TGN078Z061' '202.89' '-5.304' '1.741' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024cpu,12:14:09.945,+14:04:25.59,2024-02-10 11:26:47.616,2024-02-14,20.48,ABMag,w - P1,1.78,Galaxy,[YWP2010] 183.540+14.073,['[YWP2010] 183.540+14.073' '183.542' '14.073' '1.78' 'inf' 'Galaxy' 'G'],LINER,2MASX J12140964+1404204,['2MASX J12140964+1404204' '183.54' '14.072' '6.696' 'inf' 'LINER' 'LIN'],Galaxy,[YWP2010] 183.540+14.072,['[YWP2010] 183.540+14.072' '183.542' '14.072' '7.632' 'inf' 'Galaxy' 'G'],K. C. Chambers,Yes
2024cnb,18:36:59.394,+31:06:37.19,2024-02-11 12:43:12.000,2024-02-14,19.79,ABMag,g - ZTF,2.461,Galaxy,2MASX J18365922+3106381,['2MASX J18365922+3106381' '279.247' '31.111' '2.461' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024cmz,15:11:43.941,+12:14:04.53,2024-02-11 11:55:40.800,2024-02-14,19.53,ABMag,r - ZTF,2.478,Galaxy,Z  77-40,['Z  77-40' '227.933' '12.234' '2.478' '2.299' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024cnf,14:26:56.967,-12:03:41.01,2024-02-13 11:15:21.600,2024-02-14,19.96,ABMag,r - ZTF,2.639,Galaxy,LEDA  119673,['LEDA  119673' '216.737' '-12.061' '2.639' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024cmw,19:18:05.886,+64:36:36.31,2024-02-11 12:46:04.800,2024-02-14,19.95,ABMag,g - ZTF,2.788,Galaxy,LEDA 2669860,['LEDA 2669860' '289.525' '64.611' '2.788' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024cmd,12:50:02.424,-04:13:37.75,2024-02-11 09:28:48.000,2024-02-14,20.05,ABMag,g - ZTF,3.003,Galaxy,LEDA 1061129,['LEDA 1061129' '192.509' '-4.227' '3.003' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024cmg,14:29:03.951,+73:16:15.26,2024-02-11 11:48:17.999,2024-02-14,19.31,ABMag,r - ZTF,3.454,Galaxy,LEDA 2754548,['LEDA 2754548' '217.263' '73.271' '3.454' 'inf' 'Galaxy' 'G'],,,,,,,Jesper Sollerman on behalf of ZTF,No
2024cmc,13:02:36.453,+00:47:55.58,2024-02-11 09:28:48.000,2024-02-14,19.83,ABMag,g - ZTF,3.75,Galaxy,2dFGRS TGN394Z050,['2dFGRS TGN394Z050' '195.653' '0.799' '3.75' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024cpm,12:40:30.929,+12:47:05.41,2024-02-10 11:35:13.920,2024-02-14,20.4,ABMag,w - P1,3.805,Galaxy,LEDA 1416141,['LEDA 1416141' '190.129' '12.786' '3.805' '4.506' 'Galaxy' 'G'],,,,,,,K. C. Chambers,Yes
2024cnl,18:00:48.636,+24:24:31.90,2024-02-13 13:03:17.004,2024-02-14,19.885,ABMag,r - ZTF,3.825,Galaxy,LEDA 1706676,['LEDA 1706676' '270.203' '24.41' '3.825' 'inf' 'Galaxy' 'G'],,,,,,,F. Forster,No
