TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter,SDSS_image
2024llt,11:02:12.220,+73:32:20.34,2024-06-16 06:05:49.056,2024-06-18,18.494,ABMag,orange - ATLAS,0.545,Galaxy,2MASX J11021206+7332208,['2MASX J11021206+7332208' '165.55' '73.539' '0.545' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024llb,10:02:27.814,-15:22:10.67,2024-06-14 18:51:48.672,2024-06-18,17.998,ABMag,orange - ATLAS,0.7,Galaxy,LEDA  182090,['LEDA  182090' '150.616' '-15.369' '0.7' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024lms,10:49:22.951,+19:33:39.51,2024-02-10 08:46:09.696,2024-06-18,20.73,ABMag,w - P1,3.061,Galaxy,SDSSCGB 32066.2,['SDSSCGB 32066.2' '162.346' '19.56' '3.061' 'inf' 'Galaxy' 'G'],Compact_Gr_G,SDSSCGB 32066,['SDSSCGB 32066' '162.343' '19.56' '9.0' 'inf' 'Compact_Gr_G' 'CGG'],Galaxy,SDSSCGB 32066.1,['SDSSCGB 32066.1' '162.346' '19.564' '9.266' 'inf' 'Galaxy' 'G'],K. C. Chambers,Yes
2024llc,01:33:42.470,+03:32:37.39,2024-06-16 03:36:00.000,2024-06-18,16,ABMag,g - Sloan,3.184,GtowardsCl,UGC  1118,['UGC  1118' '23.426' '3.543' '3.184' '0.597' 'GtowardsCl' 'GiC'],,,,,,,K. Z. Stanek,No
2024lne,14:24:37.137,-19:16:46.60,2024-03-17 13:19:51.744,2024-06-18,20.34,ABMag,w - P1,3.772,Galaxy,LEDA  857427,['LEDA  857427' '216.156' '-19.279' '3.772' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024lmc,13:00:46.727,+34:18:08.59,2024-02-17 15:00:48.384,2024-06-18,20.26,ABMag,w - P1,4.677,Galaxy,NGP9 F269-1311037,['NGP9 F269-1311037' '195.195' '34.301' '4.677' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024lmz,14:43:55.510,-06:39:45.77,2024-05-14 07:49:29.000,2024-06-18,20.823,ABMag,g - ZTF,5.1,Galaxy,2MASX J14435575-0639422,['2MASX J14435575-0639422' '220.982' '-6.662' '5.1' 'inf' 'Galaxy' 'G'],,,,,,,I. Pérez-Fournon,No
2024lnc,04:41:59.741,+06:09:08.29,2024-03-18 06:11:57.120,2024-06-18,19.98,ABMag,w - P1,5.767,Galaxy,2MASX J04420002+0609039,['2MASX J04420002+0609039' '70.5' '6.151' '5.767' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2023advk,16:53:06.632,+36:40:43.78,2023-06-24 06:51:51.000,2024-06-18,20.26,ABMag,g - ZTF,6.559,Galaxy,LEDA 3088440,['LEDA 3088440' '253.277' '36.681' '6.559' 'inf' 'Galaxy' 'G'],,,,,,,I. Pérez-Fournon,Yes
2024lla,01:23:21.722,-38:56:32.96,2024-06-15 03:43:14.592,2024-06-18,18.45,ABMag,orange - ATLAS,6.603,Galaxy,LEDA  603523,['LEDA  603523' '20.838' '-38.942' '6.603' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024lle,13:16:17.936,-20:33:49.56,2024-06-16 23:54:19.000,2024-06-18,17.71,ABMag,BG-q - BlackGem,8.488,Galaxy,LEDA  158589,['LEDA  158589' '199.075' '-20.566' '8.488' '4.096' 'Galaxy' 'G'],,,,,,,P. Groot,No
2024lly,12:27:25.825,+39:15:22.71,2024-02-17 13:58:15.168,2024-06-18,20.86,ABMag,w - P1,8.982,Galaxy,LEDA 2146435,['LEDA 2146435' '186.855' '39.258' '8.982' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
