TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter
2023uzk*,07:42:27.080,+46:56:42.94,2023-10-12 14:44:09.600,2023-10-16,17.96,ABMag,G - Gaia,0.074,Seyfert1,LEDA 3095768,['LEDA 3095768' '115.613' '46.945' '0.074' 'inf' 'Seyfert1' 'Sy1'],S.T. Hodgkin
2023uys,00:01:39.325,-02:58:51.37,2023-10-14 04:14:02.688,2023-10-16,18.218,ABMag,orange - ATLAS,0.724,Galaxy,6dFGS gJ000139.4-025852,['6dFGS gJ000139.4-025852' '0.414' '-2.981' '0.724' 'inf' 'Galaxy' 'G'],J. Tonry
2023uyt*,16:17:17.417,+24:24:49.55,2023-10-14 04:56:40.128,2023-10-16,18.383,ABMag,cyan - ATLAS,1.258,Galaxy,SDSS J161717.43+242448.3,['SDSS J161717.43+242448.3' '244.323' '24.413' '1.258' 'inf' 'Galaxy' 'G'],J. Tonry
2023uyq*,02:41:33.541,-07:35:02.90,2023-10-14 03:18:36.288,2023-10-16,18.717,ABMag,orange - ATLAS,1.673,Galaxy,2MASX J02413364-0735023,['2MASX J02413364-0735023' '40.39' '-7.584' '1.673' 'inf' 'Galaxy' 'G'],J. Tonry
2023vbr,23:08:12.466,+13:02:00.01,2023-10-15 04:20:45.001,2023-10-16,18.2371,ABMag,r - ZTF,2.006,Galaxy,Z 431-4,['Z 431-4' '347.051' '13.034' '2.006' 'inf' 'Galaxy' 'G'],F. Forster
2023uyz,20:06:11.440,-21:58:21.20,2023-10-13 05:48:00.288,2023-10-16,19.14,ABMag,w - P1,2.105,Galaxy,LEDA  821065,['LEDA  821065' '301.547' '-21.973' '2.105' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023vac,20:23:20.578,-18:11:18.37,2023-10-13 05:51:42.336,2023-10-16,20.45,ABMag,w - P1,2.378,Galaxy,2MASX J20232069-1811163,['2MASX J20232069-1811163' '305.836' '-18.188' '2.378' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023uzv*,08:41:57.258,+26:12:06.02,2023-10-13 14:45:56.736,2023-10-16,20.83,ABMag,w - P1,2.746,Galaxy,SDSS J084157.38+261208.1,['SDSS J084157.38+261208.1' '130.489' '26.202' '2.746' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023vbq,22:46:12.857,-27:15:26.13,2023-10-10 05:02:25.002,2023-10-16,19.975,ABMag,g - ZTF,3.001,Galaxy,2dFGRS TGS182Z028,['2dFGRS TGS182Z028' '341.554' '-27.258' '3.001' 'inf' 'Galaxy' 'G'],F. Forster
2023vag*,00:05:13.596,+11:34:43.01,2023-10-13 06:40:53.760,2023-10-16,20.62,ABMag,w - P1,3.052,Galaxy,LEDA 1395722,['LEDA 1395722' '1.306' '11.578' '3.052' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023vbi,09:31:50.829,+73:14:12.80,2023-10-15 10:45:35.997,2023-10-16,20.2623,ABMag,g - ZTF,3.359,Galaxy,LEDA 2754351,['LEDA 2754351' '142.96' '73.236' '3.359' 'inf' 'Galaxy' 'G'],F. Forster
2023vbn*,22:57:02.512,-08:56:58.57,2023-10-15 06:20:12.002,2023-10-16,19.9733,ABMag,r - ZTF,3.722,Galaxy,MCG-02-58-012,['MCG-02-58-012' '344.261' '-8.949' '3.722' 'inf' 'Galaxy' 'G'],F. Forster
2023vau,04:59:01.984,-19:16:52.63,2023-10-13 13:28:29.280,2023-10-16,20.96,ABMag,w - P1,4.468,Galaxy,LEDA  857414,['LEDA  857414' '74.758' '-19.28' '4.468' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023uzt,21:56:07.308,-18:41:50.09,2023-10-14 05:41:21.120,2023-10-16,20.29,ABMag,w - P1,4.606,Galaxy,2MASX J21560759-1841473,['2MASX J21560759-1841473' '329.031' '-18.696' '4.606' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023vba*,08:34:12.225,+12:55:31.23,2023-10-13 14:07:11.712,2023-10-16,20.34,ABMag,w - P1,4.606,Galaxy,SDSS J083412.27+125526.6,['SDSS J083412.27+125526.6' '128.551' '12.924' '4.606' 'inf' 'Galaxy' 'G'],K. C. Chambers
