TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter,SDSS_image
2024aoy,22:11:38.650,+21:48:17.35,2024-01-15 11:35:31.200,2024-01-22,18.79,ABMag,G - Gaia,0.051,QSO,SDSS J221138.65+214817.4,['SDSS J221138.65+214817.4' '332.911' '21.805' '0.051' 'inf' 'QSO' 'QSO'],,,,,,,S.T. Hodgkin,Yes
2024apf,23:34:17.200,+24:11:57.98,2024-01-17 11:21:07.200,2024-01-22,17.95,ABMag,G - Gaia,0.125,QSO,SDSS J233417.20+241157.9,['SDSS J233417.20+241157.9' '353.572' '24.199' '0.125' 'inf' 'QSO' 'QSO'],,,,,,,S.T. Hodgkin,No
2024apo,12:28:47.173,+07:27:59.67,2024-01-20 00:08:13.344,2024-01-22,18.841,ABMag,cyan - ATLAS,0.563,Galaxy,SDSS J122847.20+072759.4,['SDSS J122847.20+072759.4' '187.197' '7.467' '0.563' 'inf' 'Galaxy' 'G'],Galaxy,LEDA 1322519,['LEDA 1322519' '187.195' '7.466' '4.115' 'inf' 'Galaxy' 'G'],Seyfert2,2MASX J12284666+0727579,"['2MASX J12284666+0727579' '187.195' '7.466' '7.354' 'inf' 'Seyfert2'
 'Sy2']",J. Tonry,Yes
2024ape,15:20:15.070,-04:35:52.94,2024-01-18 01:24:57.600,2024-01-22,15.67,ABMag,G - Gaia,0.785,Seyfert1,6dFGS gJ152015.1-043553,"['6dFGS gJ152015.1-043553' '230.063' '-4.598' '0.785' 'inf' 'Seyfert1'
 'Sy1']",,,,,,,S.T. Hodgkin,No
2024aom,01:52:29.407,-18:59:34.51,2024-01-20 05:47:15.360,2024-01-22,18.84,ABMag,r - P1,3.646,Galaxy,2MASX J01522943-1859312,['2MASX J01522943-1859312' '28.123' '-18.992' '3.646' 'inf' 'Galaxy' 'G'],,,,,,,D. O. Jones (UC Santa Cruz),No
2024apn,00:52:16.694,+43:37:54.74,2024-01-20 06:46:15.168,2024-01-22,18.639,ABMag,orange - ATLAS,3.663,Galaxy,2MASX J00521694+4337525,['2MASX J00521694+4337525' '13.071' '43.631' '3.663' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024apr,10:42:37.561,-30:52:32.36,2024-01-20 07:36:25.344,2024-01-22,19.099,ABMag,orange - ATLAS,3.767,Galaxy,LEDA  711901,['LEDA  711901' '160.656' '-30.876' '3.767' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024aol,02:14:52.831,-14:56:18.41,2024-01-20 05:50:22.848,2024-01-22,19.87,ABMag,r - P1,5.537,Galaxy,LEDA  917969,['LEDA  917969' '33.719' '-14.937' '5.537' 'inf' 'Galaxy' 'G'],,,,,,,D. O. Jones (UC Santa Cruz),No
2024aon,03:48:17.256,-22:21:03.82,2024-01-20 06:41:09.312,2024-01-22,19.28,ABMag,i - P1,6.926,Galaxy,LEDA  815529,['LEDA  815529' '57.07' '-22.35' '6.926' 'inf' 'Galaxy' 'G'],,,,,,,D. O. Jones (UC Santa Cruz),No
2024apk,10:21:54.223,-62:57:23.85,2024-01-20 14:50:10.752,2024-01-22,19.47,ABMag,L - GOTO,7.418,Galaxy,LEDA 2792511,['LEDA 2792511' '155.472' '-62.955' '7.418' 'inf' 'Galaxy' 'G'],,,,,,,K. Ulaczyk,No
2024apm,12:03:52.942,+27:53:09.89,2024-01-21 12:01:35.904,2024-01-22,18.831,ABMag,orange - ATLAS,7.876,GtowardsCl,2MASX J12035351+2753138,"['2MASX J12035351+2753138' '180.973' '27.887' '7.876' 'inf' 'GtowardsCl'
 'GiC']",,,,,,,J. Tonry,Yes
2024aov,23:26:31.620,+00:50:10.81,2024-01-21 04:58:20.352,2024-01-22,16.785,ABMag,orange - ATLAS,8.166,Galaxy,Z 380-57,['Z 380-57' '351.63' '0.837' '8.166' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,Yes
