TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter,SDSS_image
2024eij,04:47:41.830,-24:35:01.92,2024-03-14 18:22:27.840,2024-03-17,18.243,ABMag,orange - ATLAS,0.274,Seyfert1,LEDA  788403,['LEDA  788403' '71.924' '-24.584' '0.274' 'inf' 'Seyfert1' 'Sy1'],,,,,,,J. Tonry,No
2024ems,10:48:09.711,+56:54:59.88,2024-03-14 10:17:43.872,2024-03-17,18.702,ABMag,orange - ATLAS,0.43,AGN,2MASS J10480970+5654594,['2MASS J10480970+5654594' '162.04' '56.917' '0.43' 'inf' 'AGN' 'AGN'],,,,,,,J. Tonry,Yes
2024ejz,13:37:40.690,+01:17:42.65,2024-03-15 09:51:08.064,2024-03-17,18.989,ABMag,orange - ATLAS,0.442,Galaxy,2dFGRS TGN403Z237,['2dFGRS TGN403Z237' '204.42' '1.295' '0.442' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,Yes
2024eht,17:43:53.406,+66:47:49.03,2024-03-14 09:17:16.800,2024-03-17,20.16,ABMag,g - ZTF,0.467,Galaxy,SDSSCGB 52426.2,['SDSSCGB 52426.2' '265.972' '66.797' '0.467' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024eiu,10:18:31.338,+41:43:17.33,2024-03-15 09:12:10.944,2024-03-17,19.056,ABMag,orange - ATLAS,0.769,Galaxy,LEDA 2185741,['LEDA 2185741' '154.631' '41.721' '0.769' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,Yes
2024ejm,10:58:01.664,+40:07:13.56,2024-03-14 10:29:29.760,2024-03-17,18.706,ABMag,orange - ATLAS,1.027,LINER,2MASX J10580170+4007126,['2MASX J10580170+4007126' '164.507' '40.12' '1.027' 'inf' 'LINER' 'LIN'],,,,,,,J. Tonry,Yes
2024ejr,07:03:57.605,+27:54:09.02,2024-03-15 06:50:22.272,2024-03-17,18.565,ABMag,orange - ATLAS,1.039,Galaxy,2MFGC 5608,['2MFGC 5608' '105.99' '27.902' '1.039' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024ekg,13:09:29.660,+17:46:39.68,2024-03-15 10:40:22.944,2024-03-17,19.009,ABMag,orange - ATLAS,1.063,Galaxy,LEDA 1541399,['LEDA 1541399' '197.374' '17.778' '1.063' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,Yes
2024elp,13:37:15.673,+22:13:00.69,2024-03-15 11:01:01.920,2024-03-17,18.835,ABMag,orange - ATLAS,1.107,Galaxy,NGP9 F380-1071789,['NGP9 F380-1071789' '204.315' '22.217' '1.107' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,Yes
2024ejt,04:51:38.641,-15:27:00.08,2024-03-13 01:10:28.416,2024-03-17,18.497,ABMag,orange - ATLAS,1.586,EmissionG,LEDA  911099,['LEDA  911099' '72.911' '-15.45' '1.586' 'inf' 'EmissionG' 'EmG'],,,,,,,J. Tonry,No
2024ejq,06:52:19.280,+49:41:30.18,2024-03-14 08:08:27.744,2024-03-17,18.337,ABMag,orange - ATLAS,1.82,Galaxy,UGC  3572,['UGC  3572' '103.08' '49.691' '1.82' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024els,14:46:39.315,+20:49:16.95,2024-03-15 12:08:15.936,2024-03-17,19.003,ABMag,orange - ATLAS,2.274,Galaxy,SDSS J144639.46+204916.1,['SDSS J144639.46+204916.1' '221.664' '20.821' '2.274' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,Yes
2024elw,09:13:05.530,+19:01:43.80,2024-03-15 08:29:29.184,2024-03-17,19.046,ABMag,orange - ATLAS,2.425,Galaxy,SDSSCGB 4585.2,['SDSSCGB 4585.2' '138.274' '19.029' '2.425' 'inf' 'Galaxy' 'G'],Compact_Gr_G,SDSSCGB 4585,['SDSSCGB 4585' '138.273' '19.027' '6.813' 'inf' 'Compact_Gr_G' 'CGG'],Galaxy,SDSSCGB 4585.1,['SDSSCGB 4585.1' '138.274' '19.027' '8.919' 'inf' 'Galaxy' 'G'],J. Tonry,No
2024ejb,11:06:52.700,+06:01:54.77,2024-03-14 05:07:42.816,2024-03-17,18.432,ABMag,orange - ATLAS,2.561,RadioG,SDSSCGB 20464.1,['SDSSCGB 20464.1' '166.719' '6.032' '2.561' 'inf' 'RadioG' 'rG'],,,,,,,J. Tonry,Yes
2024ehw,10:30:13.365,+04:03:09.70,2024-03-05 08:29:45.600,2024-03-17,19.77,ABMag,g - ZTF,2.585,Galaxy,2MASX J10301326+0403074,['2MASX J10301326+0403074' '157.555' '4.052' '2.585' 'inf' 'Galaxy' 'G'],,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024elf,17:36:27.180,+39:57:55.51,2024-03-15 13:42:55.008,2024-03-17,18.523,ABMag,orange - ATLAS,2.673,Galaxy,LEDA 2158476,['LEDA 2158476' '264.113' '39.965' '2.673' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024eln,10:37:59.599,+32:06:43.76,2024-03-15 10:05:56.256,2024-03-17,18.932,ABMag,orange - ATLAS,2.676,Galaxy,LEDA 1980775,['LEDA 1980775' '159.498' '32.111' '2.676' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,Yes
2024ejv,16:14:57.601,+06:56:36.05,2024-03-12 02:22:31.008,2024-03-17,18.927,ABMag,cyan - ATLAS,2.829,Galaxy,SDSS J161457.58+065633.2,['SDSS J161457.58+065633.2' '243.74' '6.943' '2.829' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,Yes
2024eji,12:12:46.443,+06:08:42.28,2024-03-11 22:29:33.216,2024-03-17,19.067,ABMag,cyan - ATLAS,2.839,GtowardsCl,SDSS J121246.35+060839.7,"['SDSS J121246.35+060839.7' '183.193' '6.144' '2.839' 'inf' 'GtowardsCl'
 'GiC']",,,,,,,J. Tonry,Yes
2024ejh,10:49:19.679,-06:49:34.63,2024-03-11 22:43:33.888,2024-03-17,19.528,ABMag,cyan - ATLAS,2.884,Galaxy,LEDA 1028181,['LEDA 1028181' '162.332' '-6.827' '2.884' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
