TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter
2023abbj*,09:34:06.660,+39:26:32.10,2023-12-20 21:27:21.600,2023-12-25,18.79,ABMag,G - Gaia,0.122,BLLac,ICRF J093406.6+392632,['ICRF J093406.6+392632' '143.528' '39.442' '0.122' 'inf' 'BLLac' 'BLL'],S.T. Hodgkin
2023abdp,21:27:27.300,-39:08:59.93,2023-12-22 06:17:16.800,2023-12-25,18.88,ABMag,G - Gaia,1.865,Galaxy,2MASX J21272719-3909013,['2MASX J21272719-3909013' '321.863' '-39.15' '1.865' 'inf' 'Galaxy' 'G'],S.T. Hodgkin
2023abdi*,12:02:02.853,+33:37:10.79,2023-12-17 13:14:04.416,2023-12-25,18.672,ABMag,orange - ATLAS,2.139,Galaxy,LEDA   83524,['LEDA   83524' '180.512' '33.62' '2.139' '1.117' 'Galaxy' 'G'],J. Tonry
2023abdk*,09:24:56.824,+40:23:57.34,2023-12-24 10:53:53.376,2023-12-25,18.153,ABMag,orange - ATLAS,2.356,RadioG,NVSS J092456+402359,['NVSS J092456+402359' '141.236' '40.4' '2.356' 'inf' 'RadioG' 'rG'],J. Tonry
2023abbm,23:18:23.494,+03:12:11.20,2023-10-19 06:56:28.608,2023-12-25,19.41,ABMag,w - P1,3.144,Galaxy,LEDA 1247328,['LEDA 1247328' '349.597' '3.203' '3.144' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023abbv,02:40:12.938,-19:58:50.55,2023-10-09 11:33:31.104,2023-12-25,20.14,ABMag,w - P1,3.231,Galaxy,PSO J040.0536-19.9798,['PSO J040.0536-19.9798' '40.054' '-19.98' '3.231' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023abdb,09:18:08.341,-16:38:10.81,2023-12-06 14:07:36.768,2023-12-25,21.09,ABMag,w - P1,3.557,Galaxy,LEDA  895647,['LEDA  895647' '139.534' '-16.636' '3.557' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023abde,22:32:50.042,+23:56:30.76,2023-12-24 05:46:56.352,2023-12-25,18.442,ABMag,orange - ATLAS,4.152,Galaxy,2MASX J22324980+2356328,['2MASX J22324980+2356328' '338.207' '23.943' '4.152' 'inf' 'Galaxy' 'G'],J. Tonry
2023abdd,01:24:34.139,+10:13:27.67,2023-11-18 04:58:56.640,2023-12-25,20.32,ABMag,w - P1,4.342,Galaxy,2MASX J01243390+1013304,['2MASX J01243390+1013304' '21.141' '10.225' '4.342' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023abdn,05:48:49.135,-24:15:22.32,2023-12-24 11:49:37.056,2023-12-25,19.61,ABMag,L - GOTO,4.755,Galaxy,2MASX J05484934-2415184,['2MASX J05484934-2415184' '87.205' '-24.255' '4.755' 'inf' 'Galaxy' 'G'],K. Wiersema
